RUN_TIME,MKT_TYPE,TIME_INTERVAL,CONGEST_TYPE,RUN_TYPE,EQUIPMENT_NAME,STATION_NAME,VOLTAGE_LEVEL,BINDING_LIMIT,MW_FLOW,OVERLOAD_MW,PCT_MW,
8/9/2026,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7208,46.7208,0,100,
8/9/2026 1:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7180,46.7180,0,100,
8/9/2026 2:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7121,46.7121,0,100,
8/9/2026 3:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7129,46.7129,0,100,
8/9/2026 4:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7125,46.7125,0,100,
8/9/2026 5:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7121,46.7121,0,100,
8/9/2026 6:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7138,46.7138,0,100,
8/9/2026 7:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7161,46.7161,0,100,
8/9/2026 8:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7178,46.7178,0,100,
8/9/2026 9:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7170,46.7170,0,100,
8/9/2026 10:00:00 AM,DAP,8/9/2026 6:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7056,46.7056,0,100,
8/9/2026 10:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7179,46.7179,0,100,
8/9/2026 11:00:00 AM,DAP,8/9/2026 6:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7076,46.7076,0,100,
8/9/2026 11:00:00 AM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.6618,46.6618,0,100,
8/9/2026 12:00:00 PM,DAP,8/9/2026 6:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.7241,46.7241,0,100,
8/9/2026 12:00:00 PM,DAP,8/9/2026 7:00:00 PM,BASE CASE,SCHED_RUN,14KIDAP_TR1,14KIDAP,138,46.6888,46.6888,0,100,
8/9/2026 12:00:00 PM,DAP,8/10/2026 10:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,225.0343,225.0343,0,100,
