RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,COMMODITY_TYPE,MARGINAL_PRICE,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CLUZ,03STA-RI_G02,G,En,7050.10,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CLUZ,03STA-RI_G03,G,En,7050.10,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CLUZ,03STA-RI_G04,G,En,7050.10,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026,RTD,5/9/2026 12:05:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 12:05:00 AM,RTD,5/9/2026 12:10:00 AM,CLUZ,01MAGAPIT_BAT,G,En,32000,
5/9/2026 12:05:00 AM,RTD,5/9/2026 12:10:00 AM,CMIN,14SARANG_U01,G,En,3809,
5/9/2026 12:10:00 AM,RTD,5/9/2026 12:15:00 AM,CLUZ,01SNMAN_BAT,G,En,32000.0002,
5/9/2026 12:10:00 AM,RTD,5/9/2026 12:15:00 AM,CMIN,11FDC_U01,G,En,3201.70,
5/9/2026 12:10:00 AM,RTD,5/9/2026 12:15:00 AM,CMIN,11FDC_U02,G,En,3201.70,
5/9/2026 12:10:00 AM,RTD,5/9/2026 12:15:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 12:15:00 AM,RTD,5/9/2026 12:20:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:15:00 AM,RTD,5/9/2026 12:20:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 12:15:00 AM,RTD,5/9/2026 12:20:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 12:15:00 AM,RTD,5/9/2026 12:20:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 12:15:00 AM,RTD,5/9/2026 12:20:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 12:20:00 AM,RTD,5/9/2026 12:25:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:20:00 AM,RTD,5/9/2026 12:25:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 12:20:00 AM,RTD,5/9/2026 12:25:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 12:20:00 AM,RTD,5/9/2026 12:25:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 12:20:00 AM,RTD,5/9/2026 12:25:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 12:25:00 AM,RTD,5/9/2026 12:30:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:25:00 AM,RTD,5/9/2026 12:30:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 12:30:00 AM,RTD,5/9/2026 12:35:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:30:00 AM,RTD,5/9/2026 12:35:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 12:35:00 AM,RTD,5/9/2026 12:40:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:35:00 AM,RTD,5/9/2026 12:40:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 12:40:00 AM,RTD,5/9/2026 12:45:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:40:00 AM,RTD,5/9/2026 12:45:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 12:45:00 AM,RTD,5/9/2026 12:50:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:45:00 AM,RTD,5/9/2026 12:50:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 12:50:00 AM,RTD,5/9/2026 12:55:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:50:00 AM,RTD,5/9/2026 12:55:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 12:50:00 AM,RTD,5/9/2026 12:55:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 12:50:00 AM,RTD,5/9/2026 12:55:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 12:50:00 AM,RTD,5/9/2026 12:55:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 12:55:00 AM,RTD,5/9/2026 1:00:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 12:55:00 AM,RTD,5/9/2026 1:00:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CLUZ,03STA-RI_G05,G,En,6793.20,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CLUZ,03STA-RI_G06,G,En,6793.20,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 1:00:00 AM,RTD,5/9/2026 1:05:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 1:05:00 AM,RTD,5/9/2026 1:10:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 1:05:00 AM,RTD,5/9/2026 1:10:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 1:05:00 AM,RTD,5/9/2026 1:10:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 1:05:00 AM,RTD,5/9/2026 1:10:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 1:10:00 AM,RTD,5/9/2026 1:15:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 1:10:00 AM,RTD,5/9/2026 1:15:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 1:10:00 AM,RTD,5/9/2026 1:15:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 1:10:00 AM,RTD,5/9/2026 1:15:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 1:15:00 AM,RTD,5/9/2026 1:20:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:15:00 AM,RTD,5/9/2026 1:20:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 1:15:00 AM,RTD,5/9/2026 1:20:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 1:15:00 AM,RTD,5/9/2026 1:20:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 1:15:00 AM,RTD,5/9/2026 1:20:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 1:20:00 AM,RTD,5/9/2026 1:25:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 1:20:00 AM,RTD,5/9/2026 1:25:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 1:20:00 AM,RTD,5/9/2026 1:25:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 1:20:00 AM,RTD,5/9/2026 1:25:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 1:25:00 AM,RTD,5/9/2026 1:30:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:30:00 AM,RTD,5/9/2026 1:35:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:35:00 AM,RTD,5/9/2026 1:40:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:35:00 AM,RTD,5/9/2026 1:40:00 AM,CMIN,14SARANG_U01,G,En,3809,
5/9/2026 1:40:00 AM,RTD,5/9/2026 1:45:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:40:00 AM,RTD,5/9/2026 1:45:00 AM,CMIN,14SARANG_U02,G,En,3740,
5/9/2026 1:45:00 AM,RTD,5/9/2026 1:50:00 AM,CLUZ,03SNGAB_G01,G,En,4283.14,
5/9/2026 1:45:00 AM,RTD,5/9/2026 1:50:00 AM,CMIN,14SARANG_U01,G,En,3809,
5/9/2026 1:50:00 AM,RTD,5/9/2026 1:55:00 AM,CVIS,08PEDC_U01,G,En,4389.9994,
5/9/2026 1:50:00 AM,RTD,5/9/2026 1:55:00 AM,CVIS,08PEDC_U02,G,En,4389.9994,
5/9/2026 1:50:00 AM,RTD,5/9/2026 1:55:00 AM,CMIN,14SARANG_U01,G,En,3809,
5/9/2026 1:55:00 AM,RTD,5/9/2026 2:00:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 1:55:00 AM,RTD,5/9/2026 2:00:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 2:00:00 AM,RTD,5/9/2026 2:05:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 2:00:00 AM,RTD,5/9/2026 2:05:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 2:05:00 AM,RTD,5/9/2026 2:10:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 2:10:00 AM,RTD,5/9/2026 2:15:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 2:15:00 AM,RTD,5/9/2026 2:20:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 2:15:00 AM,RTD,5/9/2026 2:20:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 2:15:00 AM,RTD,5/9/2026 2:20:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 2:15:00 AM,RTD,5/9/2026 2:20:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 2:20:00 AM,RTD,5/9/2026 2:25:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 2:20:00 AM,RTD,5/9/2026 2:25:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 2:25:00 AM,RTD,5/9/2026 2:30:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 2:25:00 AM,RTD,5/9/2026 2:30:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CLUZ,03STA-RI_G05,G,En,6793.20,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CLUZ,03STA-RI_G06,G,En,6793.20,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CMIN,10GNPK_U01,G,En,3500,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CMIN,10GNPK_U02,G,En,3500,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CMIN,10GNPK_U03,G,En,3500,
5/9/2026 2:30:00 AM,RTD,5/9/2026 2:35:00 AM,CMIN,10GNPK_U04,G,En,3500,
5/9/2026 2:35:00 AM,RTD,5/9/2026 2:40:00 AM,CMIN,14SARANG_U02,G,En,3463,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CMIN,11FDC_U01,G,En,3201.70,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CMIN,11FDC_U02,G,En,3201.70,
5/9/2026 2:40:00 AM,RTD,5/9/2026 2:45:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 2:45:00 AM,RTD,5/9/2026 2:50:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 2:45:00 AM,RTD,5/9/2026 2:50:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 2:45:00 AM,RTD,5/9/2026 2:50:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 2:45:00 AM,RTD,5/9/2026 2:50:00 AM,CMIN,14SARANG_U02,G,En,3463,
5/9/2026 2:50:00 AM,RTD,5/9/2026 2:55:00 AM,CLUZ,01MARVEL_G01,G,En,3129.9088,
5/9/2026 2:50:00 AM,RTD,5/9/2026 2:55:00 AM,CLUZ,01MARVEL_G02,G,En,3129.9088,
5/9/2026 2:55:00 AM,RTD,5/9/2026 3:00:00 AM,CLUZ,03PAGBIL_G03,G,En,3092.10,
5/9/2026 3:00:00 AM,RTD,5/9/2026 3:05:00 AM,CMIN,11FDC_U01,G,En,3201.70,
