RUN_TIME,ADV_ID,ADV_SDATE,ADV_TRAN_TYPE,ADV_TEXT_MESSAGE,
5/26/2026 10:02:18 PM,V220218,5/26/2026 10:02:09 PM,0,[NSO Update] Visayas Grid-05/26/2026 22:03: System Advisory: The Visayas Grid Yellow Alert Notice issued today has been lifted effective 2130H.  [WEBSMS],
5/26/2026 8:54:13 PM,L205413,5/26/2026 8:54:05 PM,0,Luzon Grid-05/26/2026 20:54: Castillejos-San Marcelino 230kV line 1 and line 2 were de-energized at 2052H and 2053H, respectively. (Planned Outage)  [WEBSMS],
5/26/2026 7:35:59 PM,M193559,5/26/2026 7:35:51 PM,0,Mindanao Grid-05/26/2026 19:36: Baloi - Agus 6 138kV Line 1 energized/restored at 1931H. (Planned Outage)  [WEBSMS],
5/26/2026 7:07:50 PM,M190750,5/26/2026 7:07:42 PM,0,Mindanao Grid-05/26/2026 19:07: Mindanao Spot Peak for May 26, 2026 is 2,569.25 MW at 1342H. The highest peak to date is 2,774.87 MW at 1458H on May 12, 2026.  [WEBSMS],
5/26/2026 6:00:42 PM,L180042,5/26/2026 6:00:34 PM,0,[NSO Update] Luzon Grid-05/26/2026 18:00: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=15424MW, PK=13238MW, RR=80MW, NetOpMargin: EVE=2106 Highest Unit O/L: GNPD 1&2 @668MW Derated Plant: GMEC 2 @305MW, MSLC1 @290MW, MSLC3 @285MW, PBL3 @330MW, SCPC @120MW, SLTEC 1 @120MW, SUAL 1 @270MW [WEBSMS],
5/26/2026 5:57:06 PM,M175706,5/26/2026 5:56:58 PM,0,[NSO Update] Mindanao Grid-05/26/2026 17:57: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3300MW, PK=2360MW, RR=77MW, NetOpMargin: EVE=863 Highest Unit O/L: TSI 1 @151.4MW Derated Plant: MA1 @46MW, MA2 @41MW, GNPK 2 @125MW [WEBSMS],
5/26/2026 5:56:11 PM,V175611,5/26/2026 5:56:03 PM,0,[NSO Update] Visayas Grid-05/26/2026 17:57: GRID UPDATE AS OF 6:00 PM System Condition: YELLOW ALERT CAP=2660MW, PK=2459MW, RR=40MW, NetOpMargin: EVE=161 Highest Unit O/L: PCPC @135MW Derated Plant: LEYTE-A @345MW, TGPP @116.7MW, BIDPP U1 @64.9MW, CABI BIOMASS @11.2MW, PDPP3-GOLF @10MW, PDPP3-CHARLIE @9MW, PDPP3-ECHO @9MW, PDPP3-HOTEL @8MW, CENPRI U5 @5.5MW, TAFT HYDRO @4.8MW, CASA 2 BIOMASS @4.5MW, UPPER TAFT @4MW, BDPP U4 @3MW, SEVILLA HYDRO @2MW, LOBOC HYDRO 2 @1MW, LOBOC HYDRO 1 @0.6MW, AMLAN HYDRO @0.4MW [WEBSMS],
5/26/2026 4:57:38 PM,L165738,5/26/2026 4:57:30 PM,0,Luzon Grid-05/26/2026 16:57: Dasmarinas-TMC II (Ternate) 115kV Line energized at 1656H. (Planned Outage)  [WEBSMS],
5/26/2026 3:07:49 PM,V150749,5/26/2026 3:07:42 PM,0,[NSO Update] Visayas Grid-05/26/2026 15:08: The SO-initiated Market Intervention issued today, 26-May-2026, for the Visayas grid has been lifted at 1449H. Market operations resumed starting interval 1455H.  [WEBSMS],
5/26/2026 2:53:42 PM,V145342,5/26/2026 2:53:34 PM,0,Visayas Grid-05/26/2026 14:54: Panay MLD restored with last feeder in at 1449H (Unplanned Outage)  [WEBSMS],
