TIME_INTERVAL,REGION,RESOURCE_NAME,SO_MW_INSTRUCTION,CATEGORY,MO_REMARKS
07/12/2026 7:30,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 7:35,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 7:40,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 7:45,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 7:50,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 7:55,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:00,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:05,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:10,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:15,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:20,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:25,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:30,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:35,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:40,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:45,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:50,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 8:55,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:00,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:05,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:10,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:15,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:20,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:25,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:30,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:35,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:40,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:45,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:50,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 9:55,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:00,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:05,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:10,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:15,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:20,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:25,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:30,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:35,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:40,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:45,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:50,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 10:55,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:00,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:05,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:10,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:15,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:20,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:25,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:30,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:35,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:40,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:45,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:50,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 11:55,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:00,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:05,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:10,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:15,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:20,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
07/12/2026 12:25,CVIS,07TPLPB4_U01,7,REAL POWER BALANCING,SO INSTRUCTION
