TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,CLEARED_PRICE,
6/26/2026 8:50:00 AM,LUZON,01AMBUK_U03,G,14980,
6/26/2026 8:50:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 8:50:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 8:50:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 8:50:00 AM,MINDANAO,10GNPK_U01,G,3246.30,
6/26/2026 8:50:00 AM,MINDANAO,10GNPK_U02,G,3500,
6/26/2026 8:50:00 AM,MINDANAO,10GNPK_U03,G,3500,
6/26/2026 8:50:00 AM,MINDANAO,10GNPK_U04,G,3246.30,
6/26/2026 8:50:00 AM,MINDANAO,11FDC_U01,G,3649.40,
6/26/2026 8:50:00 AM,MINDANAO,11FDC_U02,G,3654.40,
6/26/2026 8:50:00 AM,MINDANAO,11FDC_U03,G,3654.40,
6/26/2026 8:50:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 8:50:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
6/26/2026 8:50:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 8:50:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 8:50:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 8:50:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 8:50:00 AM,VISAYAS,05TPC_G02,G,8770,
6/26/2026 8:50:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 8:50:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 8:55:00 AM,LUZON,01MAGAT_U04,G,14985,
6/26/2026 8:55:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 8:55:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 8:55:00 AM,MINDANAO,10GNPK_U01,G,3246.30,
6/26/2026 8:55:00 AM,MINDANAO,10GNPK_U02,G,3500,
6/26/2026 8:55:00 AM,MINDANAO,10GNPK_U03,G,3500,
6/26/2026 8:55:00 AM,MINDANAO,10GNPK_U04,G,3246.30,
6/26/2026 8:55:00 AM,MINDANAO,11FDC_U01,G,3649.40,
6/26/2026 8:55:00 AM,MINDANAO,11FDC_U02,G,3654.40,
6/26/2026 8:55:00 AM,MINDANAO,11FDC_U03,G,3654.40,
6/26/2026 8:55:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 8:55:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
6/26/2026 8:55:00 AM,VISAYAS,05CEDC_U01,G,8500,
6/26/2026 8:55:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 8:55:00 AM,VISAYAS,05TPC_G02,G,8770,
6/26/2026 8:55:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 8:55:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 9:00:00 AM,LUZON,01MAGAT_U04,G,14985,
6/26/2026 9:00:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:00:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 9:00:00 AM,VISAYAS,05CEDC_U01,G,8500,
6/26/2026 9:00:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:00:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:00:00 AM,VISAYAS,05TPC_G02,G,8770,
6/26/2026 9:00:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:00:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 9:05:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 9:05:00 AM,LUZON,01PNTBNG_U02,G,500,
6/26/2026 9:05:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:05:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 9:05:00 AM,MINDANAO,10GNPK_U01,G,3246.30,
6/26/2026 9:05:00 AM,MINDANAO,10GNPK_U02,G,3500,
6/26/2026 9:05:00 AM,MINDANAO,10GNPK_U03,G,3500,
6/26/2026 9:05:00 AM,MINDANAO,10GNPK_U04,G,3246.30,
6/26/2026 9:05:00 AM,VISAYAS,05CEDC_U01,G,8520,
6/26/2026 9:05:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:05:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:05:00 AM,VISAYAS,05TPC_G02,G,8790,
6/26/2026 9:05:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:05:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 9:10:00 AM,LUZON,01AMBUK_U03,G,14980,
6/26/2026 9:10:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 9:10:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:10:00 AM,VISAYAS,05CEDC_U01,G,8520,
6/26/2026 9:10:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:10:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:10:00 AM,VISAYAS,05TPC_G02,G,8790,
6/26/2026 9:10:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:10:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 9:15:00 AM,LUZON,01MAGAT_U04,G,14985,
6/26/2026 9:15:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:15:00 AM,MINDANAO,10GNPK_U01,G,3246.30,
6/26/2026 9:15:00 AM,MINDANAO,10GNPK_U02,G,3500,
6/26/2026 9:15:00 AM,MINDANAO,10GNPK_U03,G,3500,
6/26/2026 9:15:00 AM,MINDANAO,10GNPK_U04,G,3246.30,
6/26/2026 9:15:00 AM,VISAYAS,05CEDC_U01,G,8520,
6/26/2026 9:15:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:15:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:15:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 9:15:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:15:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 9:20:00 AM,LUZON,01AMBUK_U03,G,14980,
6/26/2026 9:20:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 9:20:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:20:00 AM,MINDANAO,10GNPK_U01,G,3246.30,
6/26/2026 9:20:00 AM,MINDANAO,10GNPK_U02,G,3500,
6/26/2026 9:20:00 AM,MINDANAO,10GNPK_U03,G,3500,
6/26/2026 9:20:00 AM,MINDANAO,10GNPK_U04,G,3246.30,
6/26/2026 9:20:00 AM,MINDANAO,11FDC_U01,G,3639.40,
6/26/2026 9:20:00 AM,MINDANAO,11FDC_U02,G,3639.40,
6/26/2026 9:20:00 AM,MINDANAO,11FDC_U03,G,3639.40,
6/26/2026 9:20:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 9:20:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
6/26/2026 9:20:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 9:20:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 9:20:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:25:00 AM,LUZON,01AMBUK_U03,G,14980,
6/26/2026 9:25:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 9:25:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:25:00 AM,MINDANAO,11FDC_U01,G,3644.40,
6/26/2026 9:25:00 AM,MINDANAO,11FDC_U02,G,3644.40,
6/26/2026 9:25:00 AM,MINDANAO,11FDC_U03,G,3644.40,
6/26/2026 9:25:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 9:25:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
6/26/2026 9:25:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 9:25:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 9:25:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:25:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:25:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:30:00 AM,LUZON,01AMBUK_U02,G,17955,
6/26/2026 9:30:00 AM,LUZON,01AMBUK_U03,G,17950,
6/26/2026 9:30:00 AM,LUZON,01MAGAT_U02,G,17995,
6/26/2026 9:30:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:30:00 AM,MINDANAO,11FDC_U01,G,3649.40,
6/26/2026 9:30:00 AM,MINDANAO,11FDC_U02,G,3649.40,
6/26/2026 9:30:00 AM,MINDANAO,11FDC_U03,G,3649.40,
6/26/2026 9:30:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 9:30:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 9:30:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:30:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:30:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:35:00 AM,LUZON,01AMBUK_U02,G,17955,
6/26/2026 9:35:00 AM,LUZON,01AMBUK_U03,G,17950,
6/26/2026 9:35:00 AM,LUZON,01MAGAT_U02,G,17995,
6/26/2026 9:35:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:35:00 AM,MINDANAO,11FDC_U01,G,3649.40,
6/26/2026 9:35:00 AM,MINDANAO,11FDC_U02,G,3649.40,
6/26/2026 9:35:00 AM,MINDANAO,11FDC_U03,G,3649.40,
6/26/2026 9:35:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 9:35:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
6/26/2026 9:35:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 9:35:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 9:35:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:35:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:35:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:40:00 AM,LUZON,01AMBUK_U02,G,17955,
6/26/2026 9:40:00 AM,LUZON,01AMBUK_U03,G,17950,
6/26/2026 9:40:00 AM,LUZON,01MAGAT_U02,G,17995,
6/26/2026 9:40:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:40:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 9:40:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 9:40:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 9:40:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:45:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 9:45:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 9:45:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 9:45:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 9:45:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:50:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 9:50:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 9:50:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 9:50:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 9:50:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:50:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 9:55:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 9:55:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 9:55:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 9:55:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 9:55:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 9:55:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 10:00:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:00:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:00:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:00:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:00:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:00:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:00:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 10:05:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 10:05:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:05:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:05:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:05:00 AM,LUZON,01MAGAT_U04,G,10426,
6/26/2026 10:05:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:05:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:05:00 AM,VISAYAS,05CEDC_U01,G,8520,
6/26/2026 10:10:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:10:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:10:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:10:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 10:10:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:10:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:10:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:10:00 AM,LUZON,01MAGAT_U04,G,10426,
6/26/2026 10:10:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:10:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:15:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:15:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:15:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:15:00 AM,LUZON,01BINGA_U03,G,14980,
6/26/2026 10:15:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:15:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:15:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:15:00 AM,LUZON,01MAGAT_U04,G,10426,
6/26/2026 10:15:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:15:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:20:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:20:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:20:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:20:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:20:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:20:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:20:00 AM,LUZON,01MAGAT_U04,G,10426,
6/26/2026 10:20:00 AM,LUZON,03EERI_G02,G,15000,
