RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,PRICE,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Dr,1100,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Dr,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Dr,2000.08,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Fr,85,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Fr,4500,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Fr,24998,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Rd,2001,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Rd,24999.85,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Rd,23000,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Ru,5469.98,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Ru,23000,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Ru,24999.85,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Dr,1100,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Dr,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Dr,2000.08,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Fr,85,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Fr,4500,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Fr,2450,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Rd,2001,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Rd,24999.85,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Rd,23000,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Ru,2001,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Ru,23000,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Ru,24999.85,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CLUZ,Dr,2000.08,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CVIS,Dr,1100,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CMIN,Dr,0,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CVIS,Fr,4500,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CLUZ,Fr,2450,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CMIN,Fr,85,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CLUZ,Rd,23000,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CVIS,Rd,2001,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CMIN,Rd,24999.85,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CLUZ,Ru,23000,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CMIN,Ru,24999.85,
7/1/2026 12:10:00 AM,RTD,7/1/2026 12:15:00 AM,CVIS,Ru,2001,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CVIS,Dr,1100,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CMIN,Dr,0,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CLUZ,Dr,2000.08,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CMIN,Fr,85,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CVIS,Fr,4500,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CLUZ,Fr,2450,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CVIS,Rd,2001,
7/1/2026 12:15:00 AM,RTD,7/1/2026 12:20:00 AM,CMIN,Rd,24999.85,
