RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
7/12/2026,RTD,7/12/2026 12:05:00 AM,MINVIS1,N,365.78,-365.78,,
7/12/2026,RTD,7/12/2026 12:05:00 AM,VISLUZ1,N,-80.38,80.38,,
7/12/2026 12:05:00 AM,RTD,7/12/2026 12:10:00 AM,MINVIS1,N,339.87,-339.87,,
7/12/2026 12:05:00 AM,RTD,7/12/2026 12:10:00 AM,VISLUZ1,N,-120.49,120.49,,
7/12/2026 12:10:00 AM,RTD,7/12/2026 12:15:00 AM,MINVIS1,N,328.45,-328.45,,
7/12/2026 12:10:00 AM,RTD,7/12/2026 12:15:00 AM,VISLUZ1,N,-132.82,132.82,,
7/12/2026 12:15:00 AM,RTD,7/12/2026 12:20:00 AM,MINVIS1,N,310.08,-310.08,,
7/12/2026 12:15:00 AM,RTD,7/12/2026 12:20:00 AM,VISLUZ1,N,-148.24,148.24,,
7/12/2026 12:20:00 AM,RTD,7/12/2026 12:25:00 AM,MINVIS1,N,305.90,-305.90,,
7/12/2026 12:20:00 AM,RTD,7/12/2026 12:25:00 AM,VISLUZ1,N,-151.95,151.95,,
7/12/2026 12:25:00 AM,RTD,7/12/2026 12:30:00 AM,MINVIS1,N,301.83,-301.83,,
7/12/2026 12:25:00 AM,RTD,7/12/2026 12:30:00 AM,VISLUZ1,N,-178.46,178.46,,
7/12/2026 12:30:00 AM,RTD,7/12/2026 12:35:00 AM,MINVIS1,N,348.19,-348.19,,
7/12/2026 12:30:00 AM,RTD,7/12/2026 12:35:00 AM,VISLUZ1,N,-81.70,81.70,,
7/12/2026 12:35:00 AM,RTD,7/12/2026 12:40:00 AM,MINVIS1,N,374.42,-374.42,,
7/12/2026 12:35:00 AM,RTD,7/12/2026 12:40:00 AM,VISLUZ1,N,-80.89,80.89,,
7/12/2026 12:40:00 AM,RTD,7/12/2026 12:45:00 AM,MINVIS1,N,397.46,-397.46,,
7/12/2026 12:40:00 AM,RTD,7/12/2026 12:45:00 AM,VISLUZ1,N,-44.84,44.84,,
7/12/2026 12:45:00 AM,RTD,7/12/2026 12:50:00 AM,MINVIS1,N,385.86,-385.86,,
7/12/2026 12:45:00 AM,RTD,7/12/2026 12:50:00 AM,VISLUZ1,N,-59.01,59.01,,
7/12/2026 12:50:00 AM,RTD,7/12/2026 12:55:00 AM,MINVIS1,N,373.66,-373.66,,
7/12/2026 12:50:00 AM,RTD,7/12/2026 12:55:00 AM,VISLUZ1,N,-74.63,74.63,,
7/12/2026 12:55:00 AM,RTD,7/12/2026 1:00:00 AM,MINVIS1,N,365.91,-365.91,,
7/12/2026 12:55:00 AM,RTD,7/12/2026 1:00:00 AM,VISLUZ1,N,-85.48,85.48,,
7/12/2026 1:00:00 AM,RTD,7/12/2026 1:05:00 AM,MINVIS1,N,362.65,-362.65,,
7/12/2026 1:00:00 AM,RTD,7/12/2026 1:05:00 AM,VISLUZ1,N,-86.95,86.95,,
7/12/2026 1:05:00 AM,RTD,7/12/2026 1:10:00 AM,MINVIS1,N,358.22,-358.22,,
7/12/2026 1:05:00 AM,RTD,7/12/2026 1:10:00 AM,VISLUZ1,N,-87.25,87.25,,
7/12/2026 1:10:00 AM,RTD,7/12/2026 1:15:00 AM,MINVIS1,N,353.22,-353.22,,
7/12/2026 1:10:00 AM,RTD,7/12/2026 1:15:00 AM,VISLUZ1,N,-87.62,87.62,,
7/12/2026 1:15:00 AM,RTD,7/12/2026 1:20:00 AM,MINVIS1,N,353.65,-353.65,,
7/12/2026 1:15:00 AM,RTD,7/12/2026 1:20:00 AM,VISLUZ1,N,-77.24,77.24,,
7/12/2026 1:20:00 AM,RTD,7/12/2026 1:25:00 AM,MINVIS1,N,339.53,-339.53,,
7/12/2026 1:20:00 AM,RTD,7/12/2026 1:25:00 AM,VISLUZ1,N,-92.81,92.81,,
7/12/2026 1:25:00 AM,RTD,7/12/2026 1:30:00 AM,MINVIS1,N,318.84,-318.84,,
7/12/2026 1:25:00 AM,RTD,7/12/2026 1:30:00 AM,VISLUZ1,N,-109.79,109.79,,
7/12/2026 1:30:00 AM,RTD,7/12/2026 1:35:00 AM,MINVIS1,N,317.31,-317.31,,
7/12/2026 1:30:00 AM,RTD,7/12/2026 1:35:00 AM,VISLUZ1,N,-100.72,100.72,,
