RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CMIN,Dr,100,0,,0,100,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CMIN,En,1659.31,0,0,40.07,2149.37,0,450,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CLUZ,En,10076.25,0,0,195.77,10096.62,175.44,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CVIS,En,1819.84,0,0,14.38,1559.64,450,175.44,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CMIN,Fr,100,0,,0,100,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CVIS,Fr,134,0,,0,134,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CMIN,Rd,37.44,0,,0,37.44,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CLUZ,Rd,219,0,,0,219,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CVIS,Rd,40.40,0,,0,40.40,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CVIS,Ru,40.40,0,,0,40.40,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CMIN,Ru,37.44,0,,0,37.44,0,0,
7/24/2026,RTD,7/24/2026 12:05:00 AM,CLUZ,Ru,219,0,,0,219,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CMIN,Dr,100,0,,0,100,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CLUZ,En,10044.30,0,0,202.30,10073.80,172.90,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CMIN,En,1656.31,0,0,39.90,2146.19,0,450,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CVIS,En,1813.91,0,0,14.31,1551.10,450,172.90,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CVIS,Fr,134,0,,0,134,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CMIN,Fr,100,0,,0,100,0,0,
7/24/2026 12:05:00 AM,RTD,7/24/2026 12:10:00 AM,CMIN,Rd,37.44,0,,0,37.44,0,0,
