Luzon System Operations
Dispatch Instruction Report
13Apr2026-13Apr2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01ANDA_G01,"RAISE LOAD",04/13/2026 1:24:00 PM,25,72,MARKET INTERVENTION/SUSPENSION,"Constrained OFF: Market suspension: Due to HVDC Variance (RTD/Actual : -50/-91) and Solar Variance (RTD/Actual : 2597/2417)"
01ANDA_G01,"FOLLOW RTD",04/13/2026 3:38:00 PM,72,72,RTD,"From MARKET SUSPENSION instruction"
01ANGAT_A,"LOWER LOAD",04/13/2026 5:45:00 AM,38,20,RTD,"Constrained OFF Market suspension instruction."
01ANGAT_A,"FOLLOW RTD",04/13/2026 6:46:00 AM,20,0,RTD,"Lifted Market Suspension Instruction"
01BINGA_U01,"RAISE LOAD",04/13/2026 12:54:00 PM,0,32,CONTINGENCY RESERVE,"MO scheduling plants below Pmin (San Lorenzo 50/60 RTD:0 , Actual:160)"
01BINGA_U01,"FOLLOW RTD",04/13/2026 1:02:00 PM,32,0,RTD,"Re arm CR"
01BINGA_U01,"RAISE LOAD",04/13/2026 1:23:00 PM,0,33,CONTINGENCY RESERVE,"Due to Solar Variance (RTD/Actual : 2640/2490)"
01BINGA_U01,"FOLLOW RTD",04/13/2026 1:34:00 PM,32,0,RTD,"Re arm CR"
01BINGA_U02,"RAISE LOAD",04/13/2026 12:54:00 PM,0,33,CONTINGENCY RESERVE,"Due to MO scheduling plants below Pmin (San Lorenzo 50/60 RTD:0 , Actual:160)"
01BINGA_U02,"FOLLOW RTD",04/13/2026 1:02:00 PM,32,0,RTD,"Re arm CR"
01BINGA_U02,"RAISE LOAD",04/13/2026 1:23:00 PM,0,32,CONTINGENCY RESERVE,"Due to Solar Variance (RTD/Actual : 2640/2490)"
01BINGA_U02,"FOLLOW RTD",04/13/2026 1:34:00 PM,32,0,RTD,"Re arm CR"
01CNCEP_BAT,"RAISE LOAD",04/13/2026 8:13:00 AM,0,49,CONTINGENCY RESERVE,"Due to Solar Variance (RTD/Actual : 1780/1594)"
01CNCEP_BAT,"FOLLOW RTD",04/13/2026 8:38:00 AM,49,0,RTD,"re arm CR"
01CNCEP_BAT,"RAISE LOAD",04/13/2026 12:54:00 PM,0,49,CONTINGENCY RESERVE,"Due to Solar Variance (RTD/Actual : 2640/2490)"
01CNCEP_BAT,"FOLLOW RTD",04/13/2026 1:01:00 PM,49,0,RTD,"Re arm CR"
01CNCEP_BAT,"RAISE LOAD",04/13/2026 1:23:00 PM,0,49,CONTINGENCY RESERVE,"Due to Solar Variance (RTD/Actual : 2640/2490)"
01CNCEP_BAT,"RAISE LOAD",04/13/2026 1:23:00 PM,0,49,CONTINGENCY RESERVE,"Utilized CR due to Solar Plants variance"
