Luzon System Operations
Dispatch Instruction Report
20Apr2026-26Apr2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"ON-LINE",04/26/2026 7:55:00 AM,0,5,GENERATOR START-UP,"With CR schedule next interval."
01AMBUK_U01,"RAISE LOAD",04/26/2026 2:43:00 PM,5,35,CONTINGENCY RESERVE,"Utilized CR due to Solar Plants variance (RTD:2074,ACT:1488)"
01AMBUK_U01,"FOLLOW RTD",04/26/2026 3:17:00 PM,35,5,RTD,"Re-arm CR"
01AMBUK_U01,"DECLARED UNAVAILABLE",04/26/2026 5:07:00 PM,5,0,GENERATOR SHUTDOWN,"Due to low dam water elevation"
01AMBUK_U02,"ONLINE",04/23/2026 7:10:00 PM,0,5,GENERATOR START-UP,"WITH RTD"
01AMBUK_U02,"RAISE LOAD",04/23/2026 8:10:00 PM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC VARIANCE (RTD/ACTUAL)(11/-86MW)"
01AMBUK_U02,"FOLLOW RTD",04/23/2026 8:55:00 PM,36,5,CONTINGENCY RESERVE,"REARMED CR"
01AMBUK_U02,"RAISE LOAD",04/24/2026 2:02:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED TO ASSIST ON SHUTDOWN OF KALAYAAN UNIT 4."
01AMBUK_U02,"FOLLOW RTD",04/24/2026 2:09:00 AM,35,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"FOLLOW RTD",04/24/2026 2:11:00 AM,35,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"RAISE LOAD",04/24/2026 8:09:00 AM,7,38,CONTINGENCY RESERVE,"Utilize CR due to solar variance RTD/ACTUAL: 15621407MW. (market suspension)"
01AMBUK_U02,"FOLLOW RTD",04/24/2026 8:32:00 AM,35,7,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE LOAD",04/24/2026 10:04:00 AM,7,38,CONTINGENCY RESERVE,"Utilize CR due to solar variance RTD/ACTUAL: 2451/2070MW. (market suspension)"
01AMBUK_U02,"FOLLOW RTD",04/24/2026 1:02:00 PM,31,5,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE         LOAD",04/24/2026 3:43:00 PM,5,35,CONTINGENCY RESERVE,"Due to HVDC variance (RTD= 146MW/ ACT= -133MW)"
01AMBUK_U02,"EMERGENCY SHUTDOWN",04/24/2026 4:19:00 PM,35,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Due to low reservoir elevation - Mr. Francisco"
01AMBUK_U02,"ONLINE AS CR",04/26/2026,0,5,GENERATOR START-UP,"MARKET SUSPENSION: declared available and start of CR schedule"
01AMBUK_U02,"SHUTDOWN",04/26/2026 8:01:00 AM,5,0,GENERATOR SHUTDOWN,"End of CR schedule."
01AMBUK_U02,"ONLINE",04/26/2026 11:58:00 PM,0,5,GENERATOR START-UP,"with ASPA as CR next interval, declared available"
01AMBUK_U03,"RAISE LOAD",04/20/2026 12:59:00 PM,0,31,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2571/2151MW)"
01AMBUK_U03,"FOLLOW RTD",04/20/2026 2:27:00 PM,31,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U03,"RAISE LOAD",04/20/2026 2:41:00 PM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1866:1625MW) VARIANCE"
01AMBUK_U03,"FOLLOW RTD",04/20/2026 3:57:00 PM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U03,"RAISE LOAD",04/21/2026 8:05:00 AM,9,30,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(1522/1366MW)"
01AMBUK_U03,"FOLLOW RTD",04/21/2026 8:23:00 AM,30,0,CONTINGENCY RESERVE,"RE-ARMED CR"
01AMBUK_U03,"RAISE LOAD",04/21/2026 10:07:00 AM,10,36,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE(RTD/ACTUAL)(2585/2275MW)"
01AMBUK_U03,"FOLLOW RTD",04/21/2026 12:01:00 PM,36,0,CONTINGENCY RESERVE,"RE-ARMED CR"
01AMBUK_U03,"LOWER LOAD",04/22/2026 7:59:00 PM,32,5,MARKET INTERVENTION/SUSPENSION,"(Constrain-off) Due to Lumbangan Solar(with BESS) RTD variance (RTD/ACTUAL : 0/54MW)"
01AMBUK_U03,"FOLLOW RTD",04/22/2026 11:26:00 PM,5,5,RTD,"From MARKET SUSPENSION instruction"
01AMBUK_U03,"RAISE LOAD",04/23/2026 1:32:00 PM,5,36,CONTINGENCY RESERVE,"Utilized CR due to Solar Plants variance"
01AMBUK_U03,"FOLLOW RTD",04/23/2026 1:39:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U03,"RAISE         LOAD",04/24/2026 3:43:00 PM,5,35,CONTINGENCY RESERVE,"Due to HVDC variance (RTD= 146MW/ ACT= -133MW)"
01AMBUK_U03,"FOLLOW RTD",04/24/2026 4:23:00 PM,35,5,RTD,"Re-arm CR"
01AMBUK_U03,"SHUTDOWN AS CR",04/26/2026 12:04:00 AM,5,0,GENERATOR SHUTDOWN,"MARKET SUSPENSION: end of CR schedule"
01AMBUK_U03,"ON-LINE",04/26/2026 7:55:00 AM,0,5,GENERATOR START-UP,"With CR schedule next interval."
01AMBUK_U03,"RAISE LOAD",04/26/2026 2:43:00 PM,5,35,CONTINGENCY RESERVE,"Utilized CR due to Solar Plants variance (RTD:2074,ACT:1488)"
01AMBUK_U03,"FOLLOW RTD",04/26/2026 3:17:00 PM,35,5,RTD,"Re-arm CR"
01AMBUK_U03,"RAISE LOAD",04/26/2026 8:10:00 PM,5,35,CONTINGENCY RESERVE,"Utilized CR due to HVDC variance (RTD:84,ACT:-107)"
01AMBUK_U03,"FOLLOW RTD",04/26/2026 9:52:00 PM,35,5,RTD,"Re-arm CR"
