Luzon System Operations
Dispatch Instruction Report
25May2026-31May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01ACNPC_G01,"ONLINE",05/30/2026 6:20:00 AM,0,0.8,GENERATOR START-UP,"From unplanned outage"
01AMBUK_U01,"ONLINE AS  DR",05/25/2026 2:44:00 PM,5,36,DISPATCHABLE RESERVE,"Due to Solar Variance (RTD= 2,108MW/ ACT= 1,970MW)"
01AMBUK_U01,"FOLLOW RTD",05/25/2026 4:43:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U01,"SHUTDOWN",05/25/2026 9:04:00 PM,5,0,GENERATOR SHUTDOWN,"End of CR schedule"
01AMBUK_U01,"RAISE LOAD",05/26/2026 8:08:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1581:1513MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",05/26/2026 9:35:00 AM,36,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",05/26/2026 9:56:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO NON-RTD OF KALAYAAN 1 (0:-157MW) & KALAYAAN 3 (0:-155MW)"
01AMBUK_U01,"FOLLOW RTD",05/26/2026 10:23:00 AM,33,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",05/26/2026 10:44:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (2600:2277MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",05/26/2026 11:27:00 AM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE         LOAD",05/26/2026 10:43:00 PM,5,36,CONTINGENCY RESERVE,"Due to Terra Solar variance (RTD= 113MW/ ACT= 0MW)"
01AMBUK_U01,"FOLLOW RTD",05/26/2026 11:22:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"ONLINE AS  DR",05/25/2026 2:44:00 PM,5,36,DISPATCHABLE RESERVE,"Due to Solar Variance (RTD= 2,108MW/ ACT= 1,970MW)"
01AMBUK_U02,"FOLLOW RTD",05/25/2026 3:04:00 PM,36,5,RTD,"Re-arm CR"
01AMPHAW_G01,"ONLINE",05/31/2026 3:41:00 PM,0,2,GENERATOR START-UP,"From unplanned outage."
01ANDA_G01,"LOWER LOAD",05/27/2026 5:51:00 AM,57,30,MOT LOWER,"Due to tripping of Kalayaan 4 as pump"
01ANDA_G01,"FOLLOW RTD",05/27/2026 7:34:00 AM,30,25,RTD,"MOT LIFTED"
01ANDA_G01,"RAISE LOAD",05/28/2026 9:52:00 AM,45,68,MOT RAISE,"Due to Solar Generation variance (RTD/ACTUAL : 2478/2335MW)"
01ANDA_G01,"FOLLOW RTD",05/28/2026 10:04:00 AM,51,51,RTD,"From MOT RAISE"
01ANDA_G01,"LOWER LOAD",05/29/2026 6:44:00 AM,50,38,MOT LOWER,"Due to solar variance (RTD=429/ACT=519)"
01ANDA_G01,"FOLLOW RTD",05/29/2026 8:15:00 AM,38,45,RTD,"From MOT Lower. Follow 5-min RTD."
01ANGAT_A,"TRIPPED",05/30/2026 6:56:00 PM,11,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For unit 5, due to earth fault. Mr. Macalinao-PO"
01ANGAT_A,"TRIPPED",05/30/2026 6:56:00 PM,6,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For unit 4, due to earth fault. Mr. Macalinao-PO"
01ANGAT_A,"TRIPPED",05/30/2026 8:44:00 PM,5,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For unit 2, reason to be determined. Mr. Macalinao-PO"
01ANGAT_A,"TRIPPED",05/30/2026 8:44:00 PM,5,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For unit 3, reason to be determined. Mr. Macalinao-PO"
01ANGAT_A,"TRIPPED",05/30/2026 8:44:00 PM,6,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For unit 1, reason to be determined. Mr. Macalinao-PO"
01BAKUN_G01,"TRIPPED",05/25/2026 6:01:00 PM,13,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Bakun Unit 2 tripped due to winding temperature high - Mr. Real"
01BAKUN_G01,"ONLINE",05/25/2026 6:58:00 PM,0,3,GENERATOR START-UP,"From unplanned outage"
01BAKUN_G01,"ONLINE",05/26/2026 2:24:00 PM,0,1,GENERATOR START-UP,"Bakun HEPP U1 online"
01BAKUN_G01,"ONLINE",05/26/2026 2:24:00 PM,0,1,GENERATOR START-UP,"Bakun HEPP U1 online"
01BAKUN_G01,"TRIPPED",05/31/2026 8:48:00 PM,32,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For troubleshooting."
01BAUANG_GS1,"LOWER LOAD",05/26/2026 5:31:00 PM,26,10,MOT LOWER,"Due to HVDC variance (RTD= -150MW/ ACT=-106MW)"
01BAUANG_GS1,"FOLLOW RTD",05/26/2026 6:02:00 PM,10,0,RTD,"Reset MOT lower"
01BAUANG_GS1,"LOWER         LOAD",05/28/2026 3:29:00 PM,30,10,THERMAL LIMITS,"Bauang-Payocpoc 230kV Lines @277MW"
01BAUANG_GS1,"FOLLOW RTD",05/28/2026 3:47:00 PM,10,11,RTD,"Reset Thermal limits"
01BAUANG_GS1,"ADVISED TO START AS DR",05/28/2026 8:07:00 PM,0,30,DISPATCHABLE RESERVE,"Due to tripping of EERI 2 @390MW. System Frequency 59.40Hz"
01BAUANG_GS1,"ONLINE AS  DR",05/28/2026 8:14:00 PM,0,30,DISPATCHABLE RESERVE,"Due to tripping of EERI 2 @390MW. System Frequency 59.40Hz"
01BAUANG_GS1,"RAISE         LOAD",05/28/2026 8:22:00 PM,30,50,DISPATCHABLE RESERVE,"Due to tripping of EERI 2 @390MW. System Frequency 59.40Hz"
01BAUANG_GS1,"LOWER         LOAD",05/28/2026 8:31:00 PM,50,30,DISPATCHABLE RESERVE,"Re-arm DR"
01BAUANG_GS1,"ADVISED TO SHUTDOWN AS DR",05/28/2026 8:54:00 PM,30,0,DISPATCHABLE RESERVE,"Re-arm DR"
01BAUANG_GS1,"SHUTDOWN",05/28/2026 8:59:00 PM,0,0,RTD,"Re-arm DR"
01BAUANG_GS1,"ADVISED TO START AS DR",05/29/2026 1:28:00 PM,0,70,DISPATCHABLE RESERVE,"Due to tripping of EERI with 293MW load. Freq=59.45Hz."
01BAUANG_GS1,"ON-LINE AND RAISE LOAD",05/29/2026 1:38:00 PM,0,70,DISPATCHABLE RESERVE,"Due to tripping of EERI with 293MW load. Freq=59.45Hz."
01BAUANG_GS1,"HOLD LOAD",05/29/2026 1:43:00 PM,40,40,DISPATCHABLE RESERVE,"Due to tripping of EERI with 293MW load. Freq=59.45Hz."
01BAUANG_GS1,"LOWER LOAD",05/29/2026 1:48:00 PM,40,20,DISPATCHABLE RESERVE,"Re-arm dR."
01BAUANG_GS1,"HOLD LOAD",05/29/2026 2:01:00 PM,20,20,DISPATCHABLE RESERVE,"(RTD: 10MW) Due to high actual system demand & active steel mills cyclic operation (60MW)"
01BAUANG_GS1,"FOLLOW RTD",05/29/2026 2:03:00 PM,20,10,RTD,"Re-armed DR."
01BAUANG_GS1,"HOLD   LOAD",05/29/2026 6:06:00 PM,50,50,SECURITY - LOWER,"Due to loading of Baaung-Payocpoc 230kV lines"
01BAUANG_GS1,"FOLLOW RTD",05/29/2026 6:41:00 PM,50,39,RTD,"Re-set security lower."
01BAUANG_GS1,"RAISE LOAD",05/29/2026 7:08:00 PM,14,70,DISPATCHABLE RESERVE,"(RM) Due to forecast error (RTD: 12759MW; ACT: 12941MW)"
01BAUANG_GS1,"LOWER LOAD",05/29/2026 7:17:00 PM,70,50,DISPATCHABLE RESERVE,"Re-armed DR."
01BAUANG_GS1,"LOWER LOAD",05/29/2026 7:34:00 PM,50,30,DISPATCHABLE RESERVE,"Re-armed DR."
01BAUANG_GS1,"FOLLOW RTD",05/29/2026 7:44:00 PM,30,19,RTD,"Re-armed DR."
01BAUANG_GS1,"LOWER LOAD",05/31/2026 6:59:00 PM,63,40,SECURITY - LOWER,"Due to line limitation of Bauang - Payocpoc 230kv Line."
01BAUANG_GS1,"FOLLOW RTD",05/31/2026 7:05:00 PM,40,14,RTD,"From SECURITY LOWER"
01BAUANG_GS1,"RAISE LOAD",05/31/2026 9:41:00 PM,0,70,DISPATCHABLE RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11514:11630MW)"
01BAUANG_GS1,"FOLLOW RTD",05/31/2026 10:01:00 PM,70,40,RTD,"END OF RMS"
01BAUANG_GS1,"RAISE LOAD",05/31/2026 10:27:00 PM,7,71,DISPATCHABLE RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11356:11461MW)"
01BAUANG_GS2,"LOWER LOAD",05/25/2026 9:54:00 PM,60,55,SECURITY - LOWER,"Bauang-BPPC 230kV Line reached 275MW."
01BAUANG_GS2,"FOLLOW RTD",05/25/2026 10:05:00 PM,55,30,RTD,"Reset Security Lower"
01BAUANG_GS2,"LOWER LOAD",05/26/2026 5:31:00 PM,19,10,MOT LOWER,"Due to HVDC variance (RTD= -150MW/ ACT=-106MW)"
01BAUANG_GS2,"FOLLOW RTD",05/26/2026 6:02:00 PM,10,0,RTD,"Reset MOT lower"
01BAUANG_GS2,"ADVISED TO START AS DR",05/28/2026 8:07:00 PM,0,30,DISPATCHABLE RESERVE,"Due to tripping of EERI 2 @390MW. System Frequency 59.40Hz"
