Luzon System Operations
Dispatch Instruction Report
31May2026-31May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMPHAW_G01,"ONLINE",05/31/2026 3:41:00 PM,0,2,GENERATOR START-UP,"From unplanned outage."
01BAKUN_G01,"TRIPPED",05/31/2026 8:48:00 PM,32,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"For troubleshooting."
01BAUANG_GS1,"LOWER LOAD",05/31/2026 6:59:00 PM,63,40,SECURITY - LOWER,"Due to line limitation of Bauang - Payocpoc 230kv Line."
01BAUANG_GS1,"FOLLOW RTD",05/31/2026 7:05:00 PM,40,14,RTD,"From SECURITY LOWER"
01BAUANG_GS1,"RAISE LOAD",05/31/2026 9:41:00 PM,0,70,DISPATCHABLE RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11514:11630MW)"
01BAUANG_GS1,"FOLLOW RTD",05/31/2026 10:01:00 PM,70,40,RTD,"END OF RMS"
01BAUANG_GS1,"RAISE LOAD",05/31/2026 10:27:00 PM,7,71,DISPATCHABLE RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11356:11461MW)"
01BAUANG_GS2,"LOWER LOAD",05/31/2026 6:59:00 PM,70,50,SECURITY - LOWER,"Due to line limitation of Bauang - Payocpoc 230kv Line."
01BAUANG_GS2,"FOLLOW RTD",05/31/2026 7:05:00 PM,50,19,RTD,"From SECURITY LOWER"
01BAUANG_GS3,"ADVISE TO START",05/31/2026 6:31:00 PM,0,70,DISPATCHABLE RESERVE,"(RTD + DR) To compensate Security lower of Ilijan/ERRI Plants (Almost 375MW)"
01BAUANG_GS3,"ONLINE",05/31/2026 6:40:00 PM,0,70,DISPATCHABLE RESERVE,"(RTD + DR) To compensate Security lower of Ilijan/ERRI Plants (Almost 375MW)"
01BAUANG_GS3,"FOLLOW RTD",05/31/2026 7:09:00 PM,70,10,RTD,"RE-ARMED DR AND FOLLOW 5-MIN RTD"
01BINGA_U02,"RAISE LOAD",05/31/2026 11:03:00 AM,1,35,CONTINGENCY RESERVE,"Due to Solar Generation variance, emergency load down of Ilijan Plants,
and to compensate Security lower of Ilijan/ERRI Plants."
