Luzon System Operations
Dispatch Instruction Report
26Jun2026-26Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U02,"RAISE LOAD",06/26/2026 12:13:00 AM,5,36,CONTINGENCY RESERVE,"To assist in the start-up sequence of Kalayaan Pump 4"
01AMBUK_U02,"FOLLOW RTD",06/26/2026 1:15:00 AM,36,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"LOWER LOAD",06/26/2026 10:17:00 AM,36,5,MOT LOWER,"Due to Solar variance (RTD: 1925MW ; ACT: 2026MW)"
01AMBUK_U02,"FOLLOW RTD",06/26/2026 10:30:00 AM,5,36,RTD,"Reset MOT low, follow RTD."
01AMBUK_U02,"LOWER LOAD",06/26/2026 12:57:00 PM,36,5,MOT LOWER,"Due to Wind variance (RTD: 176MW ; ACT: 235MW)"
01AMBUK_U02,"FOLLOW RTD",06/26/2026 1:25:00 PM,5,17,RTD,"Reset MOT low, follow RTD."
01AMBUK_U03,"LOWER LOAD",06/26/2026 10:17:00 AM,33,5,MOT LOWER,"Due to Solar variance (RTD: 1925MW ; ACT: 2026MW)"
01AMBUK_U03,"FOLLOW RTD",06/26/2026 10:30:00 AM,5,36,RTD,"Reset MOT low, follow RTD."
01AMBUK_U03,"OFFLINE",06/26/2026 11:06:00 AM,0,0,GENERATOR SHUTDOWN,"Due to OMC, as per Mr. Sentino (IROC)"
01BINGA_U01,"RAISE LOAD",06/26/2026 5:15:00 AM,1,33,CONTINGENCY RESERVE,"Due to high actual system demand (RTD=9382/DEM=9455)"
01BINGA_U01,"FOLLOW RTD",06/26/2026 5:56:00 AM,33,1,RTD,"Re-arm CR."
01BINGA_U02,"FOLLOW RTD",06/26/2026 2:38:00 AM,33,1,RTD,"Re-arm CR."
01BINGA_U02,"RAISE LOAD",06/26/2026 5:15:00 AM,1,33,CONTINGENCY RESERVE,"Due to high actual system demand (RTD=9382/DEM=9455)"
01BINGA_U02,"FOLLOW RTD",06/26/2026 5:52:00 AM,33,1,RTD,"Re-arm CR."
01BINGA_U02,"FOLLOW RTD",06/26/2026 5:52:00 AM,33,1,RTD,"Re-arm CR."
01BINGA_U02,"RAISE LOAD",06/26/2026 9:40:00 AM,1,34,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01BINGA_U02,"FOLLOW RTD",06/26/2026 10:00:00 AM,34,0,RTD,"Re-armed CR. End of schedule as CR."
01BINGA_U03,"FOLLOW RTD",06/26/2026 2:13:00 AM,35,1,RTD,"Re-arm CR."
01BINGA_U03,"RAISE LOAD",06/26/2026 9:40:00 AM,1,35,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1975MW ; ACT: 1816MW)"
01BINGA_U03,"FOLLOW RTD",06/26/2026 10:15:00 AM,32,1,RTD,"Re-armed CR."
01BINGA_U03,"FOLLOW RTD",06/26/2026 12:57:00 PM,11,1,RTD,"Due to Wind variance (RTD: 176MW ; ACT: 235MW)"
01BINGA_U03,"FOLLOW RTD",06/26/2026 1:25:00 PM,1,1,RTD,"Reset MOT low, follow RTD."
01GIFT_G01,"ONLINE",06/26/2026 11:09:00 PM,0,10,GENERATOR START-UP,"FROM PLANNED OUTAGE"
01GNPD_U01,"FOLLOW RTD",06/26/2026 8:37:00 AM,562,564,RTD,"Re-armed CR."
01GNPD_U01,"LOWER LOAD",06/26/2026 8:40:00 AM,576,520,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01GNPD_U01,"FOLLOW RTD",06/26/2026 9:00:00 AM,519,545,RTD,"Reset MOT low, follow RTD."
01GNPD_U01,"RAISE LOAD",06/26/2026 9:42:00 AM,608,668,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01GNPD_U01,"FOLLOW RTD",06/26/2026 10:15:00 AM,652,608,RTD,"Re-armed CR."
01GNPD_U01,"RAISE LOAD",06/26/2026 2:34:00 PM,608,668,CONTINGENCY RESERVE,"Due to high actual demand"
01GNPD_U01,"FOLLOW RTD",06/26/2026 3:22:00 PM,656,668,RTD,"end of schedule RM as CR"
01GNPD_U02,"RAISE LOAD",06/26/2026 8:12:00 AM,513,526,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1317MW; ACT: 1091MW)"
01GNPD_U02,"FOLLOW RTD",06/26/2026 8:37:00 AM,562,560,RTD,"Reset MOT low, follow RTD."
01GNPD_U02,"LOWER LOAD",06/26/2026 8:40:00 AM,574,520,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01GNPD_U02,"FOLLOW RTD",06/26/2026 9:00:00 AM,518,547,RTD,"Reset MOT low, follow RTD."
01GNPD_U02,"RAISE LOAD",06/26/2026 9:42:00 AM,608,668,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01GNPD_U02,"FOLLOW RTD",06/26/2026 10:15:00 AM,659,629,RTD,"Re-armed CR."
01GNPD_U02,"RAISE LOAD",06/26/2026 2:34:00 PM,608,668,CONTINGENCY RESERVE,"Due to high actual demand"
01GNPD_U02,"FOLLOW RTD",06/26/2026 3:50:00 PM,656,668,RTD,"end of schedule RM as CR"
01IPOWER_G01,"ONLINE",06/26/2026 8:24:00 AM,0,0,GENERATOR START-UP,"From planned outage."
01MAGAT_U01,"RAISE LOAD",06/26/2026 7:10:00 AM,2,60,CONTINGENCY RESERVE,"Due to high actual system demand (RTD: 9253MW; ACT: 9311MW)"
01MAGAT_U01,"FOLLOW RTD",06/26/2026 8:30:00 AM,53,2,RTD,"Re-armed CR."
01MAGAT_U01,"RAISE LOAD",06/26/2026 10:45:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2033MW ; ACT: 1829MW)"
01MAGAT_U01,"FOLLOW RTD",06/26/2026 11:04:00 AM,48,2,RTD,"Re-armed CR."
01MAGAT_U02,"LOWER LOAD",06/26/2026 10:17:00 AM,57,2,MOT LOWER,"Due to Solar variance (RTD: 1925MW ; ACT: 2026MW)"
01MAGAT_U02,"FOLLOW RTD",06/26/2026 10:30:00 AM,2,33,RTD,"Reset MOT low, follow RTD."
01MAGAT_U02,"LOWER LOAD",06/26/2026 11:10:00 AM,60,2,MOT LOWER,"Due to Solar variance (RTD: 2157MW ; ACT: 2208MW)"
01MAGAT_U02,"FOLLOW RTD",06/26/2026 11:20:00 AM,2,0,RTD,"Reset MOT low, follow RTD."
01MAGAT_U02,"LOWER LOAD",06/26/2026 9:16:00 PM,33,0,MOT LOWER,"due to low actual demand"
01MAGAT_U02,"FOLLOW RTD",06/26/2026 9:26:00 PM,0,0,RTD,"from mot lower"
01MAGAT_U02,"FOLLOW RTD",06/26/2026 9:26:00 PM,0,0,RTD,"from mot lower"
01MAGAT_U02,"FOLLOW RTD",06/26/2026 10:31:00 PM,0,0,SECURITY - LOWER,"WITH ZERO (0MW) RTD"
01MAGAT_U03,"RAISE LOAD",06/26/2026 7:42:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 988MW; ACT: 869MW)"
01MAGAT_U03,"RAISE LOAD",06/26/2026 9:03:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01MAGAT_U03,"RAISE LOAD",06/26/2026 9:03:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01MAGAT_U03,"FOLLOW RTD",06/26/2026 10:05:00 AM,57,2,RTD,"Re-armed CR."
01MAGAT_U03,"RAISE LOAD",06/26/2026 10:45:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2033MW ; ACT: 1829MW)"
01MAGAT_U03,"FOLLOW RTD",06/26/2026 11:04:00 AM,48,2,RTD,"Re-armed CR."
01MAGAT_U03,"RAISE LOAD",06/26/2026 3:44:00 PM,2,60,CONTINGENCY RESERVE,"due to solar variance (RTD/actual : 1086/935)"
01MAGAT_U03,"LOWER LOAD",06/26/2026 10:04:00 PM,0,0,SECURITY - LOWER,"To avoid the emergency shutdown of Magat HEPP(Maris Dam = 104.45 meters) and maintain MVAR support(PGC limit) to the Cagayan Area, RTD OF MAGAT 3 = 42MW, WITH DR SCHEDULE OF 19MW"
01MAGAT_U04,"FOLLOW RTD",06/26/2026 8:30:00 AM,49,2,RTD,"Re-armed CR."
01MAGAT_U04,"RAISE LOAD",06/26/2026 9:03:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01MAGAT_U04,"RAISE LOAD",06/26/2026 9:03:00 AM,2,60,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1747MW ; ACT: 1684MW)"
01MAGAT_U04,"FOLLOW RTD",06/26/2026 10:05:00 AM,57,20,RTD,"Re-armed CR."
01MAGAT_U04,"LOWER LOAD",06/26/2026 12:57:00 PM,12,2,MOT LOWER,"Due to Wind variance (RTD: 176MW ; ACT: 235MW)"
01MAGAT_U04,"FOLLOW RTD",06/26/2026 1:25:00 PM,2,20,RTD,"Reset MOT low, follow RTD."
01MAGAT_U04,"RAISE LOAD",06/26/2026 3:44:00 PM,2,60,CONTINGENCY RESERVE,"due to solar variance (RTD/actual : 1086/935)"
01MARVEL_G02,"RAISE LOAD",06/26/2026 7:45:00 AM,275,305,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 988MW; ACT: 869MW)"
01MARVEL_G02,"FOLLOW RTD",06/26/2026 8:36:00 AM,300,275,RTD,"Re-armed CR."
01MARVEL_G02,"LOWER LOAD",06/26/2026 8:43:00 AM,275,230,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01MARVEL_G02,"FOLLOW RTD",06/26/2026 8:58:00 AM,251,275,RTD,"Reset MOT low, follow RTD."
01MPGC_U01,"LOWER LOAD",06/26/2026 1:02:00 PM,134,120,MOT LOWER,"Due to solar variance (RTD: 1761MW ; ACT: 1872MW)"
01MPGC_U01,"FOLLOW RTD",06/26/2026 1:17:00 PM,120,135,RTD,"Reset MOT low, follow RTD."
01MPGC_U02,"LOWER LOAD",06/26/2026 1:02:00 PM,132,120,MOT LOWER,"Due to solar variance (RTD: 1761MW ; ACT: 1872MW)"
01MPGC_U02,"FOLLOW RTD",06/26/2026 1:17:00 PM,120,133,RTD,"Reset MOT low, follow RTD."
01MPGC_U03,"LOWER LOAD",06/26/2026 1:02:00 PM,132,120,MOT LOWER,"Due to solar variance (RTD: 1761MW ; ACT: 1872MW)"
01MPGC_U03,"FOLLOW RTD",06/26/2026 1:17:00 PM,120,133,RTD,"Reset MOT low, follow RTD."
01MPGC_U04,"LOWER LOAD",06/26/2026 1:02:00 PM,136,120,MOT LOWER,"Due to solar variance (RTD: 1761MW ; ACT: 1872MW)"
01MPGC_U04,"FOLLOW RTD",06/26/2026 1:17:00 PM,120,137,RTD,"Reset MOT low, follow RTD."
01PNTBNG_U01,"LOWER LOAD",06/26/2026 1:07:00 PM,30,15,MOT LOWER,"Due to solar variance (RTD: 1754MW ; ACT: 1947MW)"
01PNTBNG_U01,"FOLLOW RTD",06/26/2026 1:17:00 PM,15,30,RTD,"Reset MOT low, follow RTD."
01PNTBNG_U02,"LOWER LOAD",06/26/2026 8:42:00 AM,29,15,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01PNTBNG_U02,"FOLLOW RTD",06/26/2026 8:55:00 AM,15,49,RTD,"Reset MOT low, follow RTD."
01SMC_G02,"LOWER LOAD",06/26/2026 8:38:00 AM,92,80,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01SMC_G02,"FOLLOW RTD",06/26/2026 9:01:00 AM,80,69,RTD,"Reset MOT low, follow RTD."
01SMC_G02,"LOWER LOAD",06/26/2026 1:07:00 PM,134,120,MOT LOWER,"Due to solar variance (RTD: 1754MW ; ACT: 1947MW)"
01SMC_G02,"FOLLOW RTD",06/26/2026 1:18:00 PM,120,134,RTD,"Reset MOT low, follow RTD."
01SMC_G03,"LOWER LOAD",06/26/2026 8:38:00 AM,76,60,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01SMC_G03,"FOLLOW RTD",06/26/2026 9:01:00 AM,58,60,RTD,"Reset MOT low, follow RTD."
01SMC_G03,"LOWER LOAD",06/26/2026 1:07:00 PM,134,120,MOT LOWER,"Due to solar variance (RTD: 1754MW ; ACT: 1947MW)"
01SMC_G03,"FOLLOW RTD",06/26/2026 1:18:00 PM,120,134,RTD,"Reset MOT low, follow RTD."
01SMC_G04,"LOWER LOAD",06/26/2026 8:38:00 AM,105,80,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01SMC_G04,"FOLLOW RTD",06/26/2026 9:01:00 AM,80,547,RTD,"Reset MOT low, follow RTD."
01SMC_G04,"LOWER LOAD",06/26/2026 1:07:00 PM,132,120,MOT LOWER,"Due to solar variance (RTD: 1754MW ; ACT: 1947MW)"
01SMC_G04,"FOLLOW RTD",06/26/2026 1:18:00 PM,120,134,RTD,"Reset MOT low, follow RTD."
01SUAL_G01,"LOWER LOAD",06/26/2026 6:24:00 AM,359,309,MOT LOWER,"Due to Solar variance (RTD: 229MW ; ACT: 326MW)"
01SUAL_G01,"FOLLOW RTD",06/26/2026 7:05:00 AM,309,300,RTD,"Reset MOT low, follow RTD."
01SUAL_G02,"LOWER LOAD",06/26/2026 6:24:00 AM,372,322,MOT LOWER,"Due to Solar variance (RTD: 229MW ; ACT: 326MW)"
01SUAL_G02,"FOLLOW RTD",06/26/2026 7:05:00 AM,322,349,RTD,"Reset MOT low, follow RTD."
01SUAL_G02,"LOWER LOAD",06/26/2026 8:38:00 AM,428,400,MOT LOWER,"Due to Solar variance (RTD: 1298MW ; ACT: 1546MW)"
01SUAL_G02,"FOLLOW RTD",06/26/2026 9:01:00 AM,400,400,RTD,"Reset MOT low, follow RTD."
03CALIRY_G01,"SHUTDOWN",06/26/2026 11:37:00 PM,14,0,GENERATOR SHUTDOWN,"WITH ZERO RTD"
03INARI_G01,"TRIPPED",06/26/2026 10:39:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"DUE TO UNBALANCE LOAD"
03INGRID_GS1,"RAISE LOAD",06/26/2026 9:40:00 AM,0,28,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1975MW ; ACT: 1816MW)"
03INGRID_GS1,"FOLLOW RTD",06/26/2026 10:04:00 AM,28,0,RTD,"Re-armed CR."
03INGRID_GS1,"RAISE LOAD",06/26/2026 10:35:00 AM,0,28,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2195MW ; ACT: 1882MW)"
03INGRID_GS1,"FOLLOW RTD",06/26/2026 11:02:00 AM,28,0,RTD,"Re-armed CR."
03INGRID_GS1,"RAISE LOAD",06/26/2026 11:24:00 AM,0,28,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2227MW ; ACT: 2034MW)"
03INGRID_GS1,"FOLLOW RTD",06/26/2026 12:23:00 PM,28,0,RTD,"Re-armed CR."
03INGRID_GS1,"RAISE LOAD",06/26/2026 1:37:00 PM,0,28,CONTINGENCY RESERVE,"Due to HVDC variance, (RTD: -100MW; ACT: -178MW)"
03INGRID_GS1,"FOLLOW RTD",06/26/2026 4:01:00 PM,28,0,RTD,"re arm CR"
03INGRID_GS1,"RAISE LOAD",06/26/2026 10:20:00 PM,0,28,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(10992/11048MW)"
03INGRID_GS1,"FOLLOW RTD",06/26/2026 11:39:00 PM,28,0,CONTINGENCY RESERVE,"RE-ARMED CR"
03INGRID_GS2,"RAISE LOAD",06/26/2026 10:48:00 AM,0,22,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2033MW ; ACT: 1829MW)"
03INGRID_GS2,"FOLLOW RTD",06/26/2026 11:02:00 AM,22,0,RTD,"Re-armed CR."
03INGRID_GS2,"RAISE LOAD",06/26/2026 9:08:00 PM,0,22,CONTINGENCY RESERVE,"due to high actual demand"
03INGRID_GS2,"FOLLOW RTD",06/26/2026 11:54:00 PM,22,0,CONTINGENCY RESERVE,"RE-ARMED CR"
03INGRID_GS3,"RAISE LOAD",06/26/2026 9:08:00 PM,0,22,CONTINGENCY RESERVE,"due to high actual demand"
03INGRID_GS3,"FOLLOW RTD",06/26/2026 11:54:00 PM,4,0,CONTINGENCY RESERVE,"RE-ARMED CR"
03INGRID_GS4,"RAISE LOAD",06/26/2026 9:40:00 AM,0,28,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1975MW ; ACT: 1816MW)"
03INGRID_GS4,"FOLLOW RTD",06/26/2026 10:04:00 AM,28,0,RTD,"Re-armed CR."
03INGRID_GS4,"RAISE LOAD",06/26/2026 10:35:00 AM,0,28,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 2195MW ; ACT: 1882MW)"
