Luzon System Operations
Dispatch Instruction Report
29Jun2026-05Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"ON-LINE",07/01/2026 9:58:00 AM,0,0,GENERATOR START-UP,"CR FOR SUCCEEDING INTERVALS"
01AMBUK_U02,"RAISE LOAD",06/29/2026 10:09:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1200:772MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",06/29/2026 10:48:00 AM,32,16,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"RAISE LOAD",06/30/2026 2:10:00 PM,5,36,CONTINGENCY RESERVE,"Due to solar variance (RTD=1565/ACT=1148)"
01AMBUK_U02,"FOLLOW RTD",06/30/2026 2:55:00 PM,36,5,RTD,"Re-arm CR."
01AMBUK_U02,"RAISE LOAD",06/30/2026 3:12:00 PM,0,31,CONTINGENCY RESERVE,"Due to solar variance (RTD=1082/ACT=574)"
01AMBUK_U02,"FOLLOW RTD",06/30/2026 3:36:00 PM,24,5,RTD,"Re-arm CR."
01AMBUK_U02,"RAISE LOAD",07/01/2026 9:28:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (-8:-48MW) & VRE SOLAR (1821:1711MW) VARIANCES"
01AMBUK_U02,"FOLLOW RTD",07/01/2026 10:01:00 AM,36,0,RTD,"END OF RMS"
01AMBUK_U02,"ON-LINE",07/01/2026 11:58:00 AM,0,0,GENERATOR START-UP,"CR FOR SUCCEEDING INTERVALS"
01AMBUK_U02,"RAISE LOAD",07/01/2026 12:13:00 PM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH INTRA HOUR SYSTEM DEMAND"
01AMBUK_U02,"FOLLOW RTD",07/01/2026 4:57:00 PM,36,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"RAISE LOAD",07/01/2026 9:44:00 PM,5,36,CONTINGENCY RESERVE,"Due to tripping of Sual 1 (242MW)"
01AMBUK_U02,"FOLLOW RTD",07/01/2026 9:58:00 PM,36,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"RAISE LOAD",07/02/2026 9:09:00 AM,5,36,CONTINGENCY RESERVE,"(RTD+CR) Due to Solar Generation variance (RTD/ACTUAL : 1678/1394MW)"
01AMBUK_U02,"FOLLOW RTD",07/02/2026 9:42:00 AM,36,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"RAISE LOAD",07/02/2026 12:55:00 PM,5,36,CONTINGENCY RESERVE,"(RTD+CR) Due to Solar Generation variance (RTD/ACTUAL : 1987/1751MW)"
01AMBUK_U02,"FOLLOW RTD",07/02/2026 1:15:00 PM,36,5,RTD,"RE-ARMED CR AND FOLLOW 5-MIN RTD"
01AMBUK_U02,"RAISE LOAD",07/02/2026 2:40:00 PM,5,36,CONTINGENCY RESERVE,"Due to VRE variance (RTD=1908/ACT=1352)"
01AMBUK_U02,"FOLLOW RTD",07/02/2026 3:02:00 PM,36,0,RTD,"End of CR schedule."
01AMBUK_U02,"SHUTDOWN",07/02/2026 3:03:00 PM,0,0,GENERATOR SHUTDOWN,"Declared unavailable due to maintenance outage."
01AMBUK_U02,"ONLINE",07/04/2026 11:52:00 PM,0,5,GENERATOR START-UP,"With CR schedule for next interval"
01AMBUK_U02,"RAISE LOAD",07/05/2026 12:21:00 PM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (2683:2430MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/05/2026 1:07:00 PM,33,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"RAISE         LOAD",07/05/2026 7:03:00 PM,5,36,CONTINGENCY RESERVE,"Due to MO forecast error (RDT= 11,124MW/ ACT= 11,325MW)"
01AMBUK_U02,"FOLLOW RTD",07/05/2026 7:38:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE         LOAD",07/05/2026 11:52:00 PM,5,36,CONTINGENCY RESERVE,"Due to Tera Solar variance (RTD= 360MW/ ACT= 108MW)"
01AMBUK_U03,"RAISE LOAD",06/30/2026 1:57:00 AM,5,35,CONTINGENCY RESERVE,"Due to high actual system demand"
01AMBUK_U03,"FOLLOW RTD",06/30/2026 2:44:00 AM,36,5,CONTINGENCY RESERVE,"RE-ARMED CR"
01AMBUK_U03,"ON-LINE",07/01/2026 10:57:00 AM,0,0,GENERATOR START-UP,"CR FOR SUCCEEDING INTERVALS"
01AMBUK_U03,"ON-LINE",07/02/2026 11:50:00 PM,0,5,GENERATOR START-UP,"On-line as gen."
