Luzon System Operations
Dispatch Instruction Report
20Jul2026-26Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"RAISE LOAD",07/24/2026 7:57:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO TOTAL VRE (1095:701MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",07/24/2026 9:04:00 AM,33,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",07/24/2026 9:16:00 PM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (400:1MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",07/24/2026 10:13:00 PM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"LOWER LOAD",07/25/2026 8:23:00 AM,35,5,MOT LOWER,"DUE TO VRE SOLAR (975:1041MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",07/25/2026 10:04:00 AM,5,5,RTD,"MOT LIFTED"
01AMBUK_U02,"RAISE LOAD",07/20/2026 12:40:00 PM,9,31,CONTINGENCY RESERVE,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2966/2378MW)"
01AMBUK_U02,"FOLLOW RTD",07/20/2026 1:13:00 PM,26,5,RTD,"REARMED CR"
01AMBUK_U02,"RAISE LOAD",07/20/2026 1:54:00 PM,5,31,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2585/2502MW)"
01AMBUK_U02,"FOLLOW RTD",07/20/2026 3:07:00 PM,32,5,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE LOAD",07/20/2026 4:32:00 PM,5,36,CONTINGENCY RESERVE,"Utilized as CR due to solar variance (RTD/ACT: 1016/963MW)"
01AMBUK_U02,"FOLLOW RTD",07/20/2026 6:41:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE LOAD",07/20/2026 8:49:00 PM,5,36,CONTINGENCY RESERVE,"Utilized as CR due to tripping of Masinloc 4 (260MW); lowest freq=59.67Hz"
01AMBUK_U02,"FOLLOW RTD",07/20/2026 10:04:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"RAISE         LOAD",07/20/2026 11:11:00 PM,5,36,CONTINGENCY RESERVE,"Due to HVDC variance (RTD= 52MW/ ACT = 0MW)"
01AMBUK_U02,"FOLLOW RTD",07/20/2026 11:57:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"ON-LINE",07/21/2026 10:02:00 AM,0,0,CONTINGENCY RESERVE,"CR"
01AMBUK_U02,"RAISE LOAD",07/21/2026 11:43:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (-50:-100MW) & VRE SOLAR (2912:2662MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/21/2026 12:31:00 PM,36,0,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"RAISE LOAD",07/21/2026 1:15:00 PM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (2839:2588MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/21/2026 1:44:00 PM,32,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"RAISE         LOAD",07/21/2026 4:15:00 PM,5,36,CONTINGENCY RESERVE,"Due to tripping of Sual 2 @470MW, Frequency 59.44Hz"
01AMBUK_U02,"FOLLOW RTD",07/21/2026 4:26:00 PM,36,5,RTD,"Re-arm CR"
01AMBUK_U02,"ONLINE",07/24/2026 2:21:00 AM,0,5,GENERATOR START-UP,"With CR schedule"
01AMBUK_U02,"SHUTDOWN",07/24/2026 2:46:00 AM,5,0,GENERATOR SHUTDOWN,"End of CR schedule"
01AMBUK_U02,"ONLINE",07/24/2026 4:29:00 AM,0,5,GENERATOR START-UP,"With CR schedule"
01AMBUK_U02,"RAISE LOAD",07/24/2026 7:57:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO TOTAL VRE (1095:701MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/24/2026 9:04:00 AM,33,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U02,"LOWER LOAD",07/25/2026 8:23:00 AM,35,5,MOT LOWER,"DUE TO VRE SOLAR (975:1041MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/25/2026 8:32:00 AM,5,0,RTD,"MOT LIFTED"
01AMBUK_U03,"RAISE LOAD",07/20/2026 12:40:00 PM,10,31,CONTINGENCY RESERVE,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2966/2378MW)"
01AMBUK_U03,"RAISE LOAD",07/20/2026 1:54:00 PM,5,31,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2585/2502MW)"
