Luzon System Operations
Dispatch Instruction Report
27Jul2026-02Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"RAISE LOAD",07/27/2026 2:25:00 PM,5,35,CONTINGENCY RESERVE,"Utilized as CR due to Terra solar variance (RTD/ACT: 750/377MW)"
01AMBUK_U01,"FOLLOW RTD",07/27/2026 3:15:00 PM,30,5,RTD,"Re-arm CR"
01AMBUK_U01,"LOWER LOAD",07/28/2026 7:00:00 PM,19,5,MOT LOWER,"Due to low actual system demand (RTD/ACTUAL Demand: 11516/11430MW)"
01AMBUK_U01,"FOLLOW RTD",07/28/2026 7:41:00 PM,5,5,RTD,"From MOT LOWER"
01AMBUK_U01,"RAISE LOAD",07/29/2026 4:39:00 AM,5,35,CONTINGENCY RESERVE,"Due to high actual system demand.(RTD: 8802MW; ACT: 8853MW)"
01AMBUK_U01,"FOLLOW RTD",07/29/2026 6:35:00 AM,30,0,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",07/29/2026 7:57:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (906:469MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",07/29/2026 8:27:00 AM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",07/29/2026 8:59:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (118:74MW) & VRE SOLAR (1179:707MW) VARIANCES"
01AMBUK_U01,"FOLLOW RTD",07/29/2026 9:19:00 AM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",07/29/2026 3:48:00 PM,5,35,CONTINGENCY RESERVE,"Due to high actual system demand.(RTD: 10400MW; ACT: 10461MW)"
01AMBUK_U01,"FOLLOW RTD",07/29/2026 4:28:00 PM,35,5,RTD,"Re-armed CR."
01AMBUK_U01,"FOLLOW RTD",07/30/2026 12:33:00 AM,35,5,RTD,"Re-armed CR."
01AMBUK_U01,"RAISE LOAD",07/31/2026 10:15:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO TRIPPING OF MPGC 2 (133:0MW) AND HVDC (-50:-114MW) & VRE SOLAR (2775:2603MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",07/31/2026 10:39:00 AM,35,0,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"HOLD LOAD",08/01/2026 10:12:00 AM,5,5,MOT LOWER,"Due to RTD of Terra Solar and Masinloc 4 become 0 from 750MW and 114MW, respectively."
01AMBUK_U01,"FOLLOW RTD",08/01/2026 10:35:00 AM,5,5,RTD,"From MOT Lower. Follow 5-min RTD."
01AMBUK_U01,"RAISE LOAD",08/01/2026 1:51:00 PM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11254:11445MW) & VRE SOLAR (1618:1577MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",08/01/2026 2:12:00 PM,31,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"FOLLOW RTD",08/02/2026 9:25:00 AM,25,5,RTD,"Re-armed CR."
01AMBUK_U02,"LOWER LOAD",07/28/2026 7:00:00 PM,36,5,MOT LOWER,"Due to low actual system demand (RTD/ACTUAL Demand: 11516/11430MW)"
01AMBUK_U02,"FOLLOW RTD",07/28/2026 7:08:00 PM,5,0,RTD,"From MOT LOWER"
01AMBUK_U02,"RAISE LOAD",07/29/2026 8:59:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (118:74MW) & VRE SOLAR (1179:707MW) VARIANCES"
01AMBUK_U02,"RAISE LOAD",07/29/2026 9:05:00 AM,0,35,DISPATCHABLE RESERVE,"UTILIZED DUE TO VRE SOLAR (1273:763MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",07/29/2026 9:19:00 AM,35,0,DISPATCHABLE RESERVE,"RE-ARMED"
01AMBUK_U02,"HOLD LOAD",08/01/2026 10:12:00 AM,5,5,MOT LOWER,"Due to RTD of Terra Solar and Masinloc 4 become 0 from 750MW and 114MW, respectively."
01AMBUK_U02,"FOLLOW RTD",08/01/2026 10:35:00 AM,5,5,RTD,"From MOT Lower. Follow 5-min RTD."
01AMBUK_U02,"RAISE LOAD",08/01/2026 1:51:00 PM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11254:11445MW) & VRE SOLAR (1618:1577MW) VARIANCE"
01AMBUK_U02,"FOLLOW RTD",08/01/2026 2:12:00 PM,31,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U03,"LOWER LOAD",07/28/2026 7:00:00 PM,36,5,MOT LOWER,"Due to low actual system demand (RTD/ACTUAL Demand: 11516/11430MW)"
01AMBUK_U03,"FOLLOW RTD",07/28/2026 7:41:00 PM,5,5,RTD,"From MOT LOWER"
01AMBUK_U03,"LOWER LOAD",07/28/2026 8:35:00 PM,19,5,MOT LOWER,"Due to low actual system demand (RTD/ACTUAL Demand: 11280/11229MW)"
01AMBUK_U03,"FOLLOW RTD",07/28/2026 8:50:00 PM,5,5,RTD,"From MOT LOWER"
01AMBUK_U03,"RAISE LOAD",07/29/2026 4:39:00 AM,5,35,CONTINGENCY RESERVE,"Due to high actual system demand.(RTD: 8802MW; ACT: 8853MW)"
01AMBUK_U03,"FOLLOW RTD",07/29/2026 6:36:00 AM,31,0,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U03,"RAISE LOAD",07/29/2026 7:57:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (906:469MW) VARIANCE"
01AMBUK_U03,"FOLLOW RTD",07/29/2026 8:27:00 AM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U03,"RAISE LOAD",07/29/2026 8:59:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (118:74MW) & VRE SOLAR (1179:707MW) VARIANCES"
01AMBUK_U03,"FOLLOW RTD",07/29/2026 9:19:00 AM,35,5,CONTINGENCY RESERVE,"RE-ARMED"
