Luzon System Operations
Dispatch Instruction Report
30Jul2026-30Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"FOLLOW RTD",07/30/2026 12:33:00 AM,35,5,RTD,"Re-armed CR."
01AMBUK_U03,"FOLLOW RTD",07/30/2026 12:33:00 AM,35,5,RTD,"Re-armed CR."
01AMPHAW_G01,"TRIPPED",07/30/2026 9:11:00 PM,3,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"DUE TO L2 L3 TO GROUND ALARM INDICATION"
01BINENG_G01,"TRIPPED",07/30/2026 9:11:00 PM,5,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"DUE TO L2 L3 TO GROUND ALARM INDICATION"
01BINENG_G03,"TRIPPED",07/30/2026 9:11:00 PM,2,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"DUE TO L2 L3 TO GROUND ALARM INDICATION"
01BINGA_U01,"RAISE LOAD",07/30/2026 3:34:00 PM,0,34,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(11653/11825MW)"
01BINGA_U01,"FOLLOW RTD",07/30/2026 3:40:00 PM,34,1,RTD,"REARMED CR"
01BINGA_U02,"RAISE LOAD",07/30/2026 4:20:00 AM,1,35,CONTINGENCY RESERVE,"Due to high actual system demand"
01BINGA_U02,"FOLLOW RTD",07/30/2026 5:24:00 AM,35,1,RTD,"Re-armed CR and follow 5-min RTD"
01BINGA_U03,"RAISE LOAD",07/30/2026 4:20:00 AM,1,35,CONTINGENCY RESERVE,"Due to high actual system demand"
01BINGA_U03,"FOLLOW RTD",07/30/2026 5:28:00 AM,35,1,RTD,"Re-armed CR and follow 5-min RTD"
01CNCEP_BAT,"RAISE LOAD",07/30/2026 8:01:00 AM,0,49,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1239:1088MW) VARIANCE"
01CNCEP_BAT,"FOLLOW RTD",07/30/2026 8:35:00 AM,49,0,CONTINGENCY RESERVE,"RE-ARMED"
01CNCEP_BAT,"RAISE LOAD",07/30/2026 3:14:00 PM,0,49,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(11634/11811MW)"
01CNCEP_BAT,"FOLLOW RTD",07/30/2026 3:17:00 PM,49,0,RTD,"REARMED CR"
01CNCEP_BAT,"RAISE LOAD",07/30/2026 3:33:00 PM,0,49,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(11653/11825MW)"
01CNCEP_BAT,"FOLLOW RTD",07/30/2026 3:39:00 PM,49,0,RTD,"REARMED CR"
01CNCEP_BAT,"RAISE LOAD",07/30/2026 10:32:00 PM,0,49,CONTINGENCY RESERVE,"UTILIZED DUE TO SAN LORENZO RTD/ACTUAL VARIANCE (265/163MW) DUE TO IP BOILER DRUM LEVEL CONTROL VALVE PROBLEM"
01CNCEP_BAT,"FOLLOW RTD",07/30/2026 10:39:00 PM,49,0,RTD,"REARMED CR"
01GNPD_U01,"LOWER LOAD",07/30/2026 1:32:00 AM,608,570,MOT LOWER,"Due to HVDC variance, (RTD: -180MW; ACT: -101MW)"
01GNPD_U01,"LOWER LOAD",07/30/2026 2:23:00 AM,570,540,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -180/-91MW)"
01GNPD_U01,"FOLLOW RTD",07/30/2026 3:51:00 AM,540,580,RTD,"From MOT LOWER"
01GNPD_U01,"RAISE LOAD",07/30/2026 5:08:00 AM,608,668,CONTINGENCY RESERVE,"Due to high actual system demand (RTD/ACTUAL Demand: 8370/8427MW)"
01GNPD_U01,"FOLLOW RTD",07/30/2026 5:54:00 AM,660,617,RTD,"Re-armed CR and follow 5-min RTD"
01GNPD_U01,"LOWER LOAD",07/30/2026 6:31:00 AM,593,550,MOT LOWER,"DUE TO HVDC (-175:-72MW) VARIANCE"
01GNPD_U01,"FOLLOW RTD",07/30/2026 7:57:00 AM,547,587,RTD,"MOT LIFTED"
01GNPD_U01,"RAISE LOAD",07/30/2026 8:09:00 AM,588,619,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1319:1115MW) VARIANCE"
01GNPD_U01,"FOLLOW RTD",07/30/2026 8:48:00 AM,657,631,CONTINGENCY RESERVE,"RE-ARMED"
01GNPD_U01,"LOWER LOAD",07/30/2026 10:10:00 AM,540,520,MOT LOWER,"DUE TO LOW ACTUAL SYSTEM DEMAND (10867:10783MW)"
01GNPD_U01,"LOWER LOAD",07/30/2026 10:19:00 AM,537,480,MOT LOWER,"DUE TO NON-COMPLIANCE OF SAN LORENZO 50 (68:161MW) & 60 (84:161MW)"
01GNPD_U01,"FOLLOW RTD",07/30/2026 10:39:00 AM,473,492,RTD,"MOT LIFTED"
01GNPD_U01,"FOLLOW RTD",07/30/2026 11:06:00 AM,481,552,RTD,"MOT LIFTED"
01GNPD_U01,"LOWER LOAD",07/30/2026 11:40:00 AM,503,480,MOT LOWER,"DUE TO LOW ACTUAL SYSTEM DEMAND (11130:11009MW)"
01GNPD_U01,"LOWER LOAD",07/30/2026 11:58:00 AM,488,400,MOT LOWER,"DUE TO NON-COMPLIANCE OF SAN LORENZO 50 (78:161MW) & 60 (84:161MW)"
01GNPD_U01,"FOLLOW RTD",07/30/2026 12:43:00 PM,419,454,RTD,"MOT LIFTED"
01GNPD_U01,"RAISE LOAD",07/30/2026 1:18:00 PM,491,551,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11366:11452MW)"
01GNPD_U01,"LOWER LOAD",07/30/2026 2:03:00 PM,634,606,MOT LOWER,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2034/2187MW)"
01GNPD_U01,"LOWER LOAD",07/30/2026 2:15:00 PM,632,600,MOT LOWER,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(1848/2240MW)"
01GNPD_U01,"FOLLOW RTD",07/30/2026 2:23:00 PM,611,639,RTD,"MOT CONSTRAIN OFF instruction lifted"
01GNPD_U02,"LOWER LOAD",07/30/2026 1:32:00 AM,608,570,MOT LOWER,"Due to HVDC variance, (RTD: -180MW; ACT: -101MW)"
01GNPD_U02,"LOWER LOAD",07/30/2026 2:23:00 AM,570,540,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -180/-91MW)"
01GNPD_U02,"FOLLOW RTD",07/30/2026 4:17:00 AM,540,579,RTD,"From MOT LOWER"
01GNPD_U02,"LOWER LOAD",07/30/2026 6:31:00 AM,593,550,MOT LOWER,"DUE TO HVDC (-175:-72MW) VARIANCE"
01GNPD_U02,"FOLLOW RTD",07/30/2026 7:57:00 AM,547,587,RTD,"MOT LIFTED"
01GNPD_U02,"RAISE LOAD",07/30/2026 8:09:00 AM,588,619,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1319:1115MW) VARIANCE"
01GNPD_U02,"FOLLOW RTD",07/30/2026 8:48:00 AM,657,631,CONTINGENCY RESERVE,"RE-ARMED"
01GNPD_U02,"LOWER LOAD",07/30/2026 10:10:00 AM,567,520,MOT LOWER,"DUE TO LOW ACTUAL SYSTEM DEMAND (10867:10783MW)"
01GNPD_U02,"LOWER LOAD",07/30/2026 10:19:00 AM,537,480,MOT LOWER,"DUE TO NON-COMPLIANCE OF SAN LORENZO 50 (68:161MW) & 60 (84:161MW)"
01GNPD_U02,"FOLLOW RTD",07/30/2026 10:39:00 AM,473,492,RTD,"MOT LIFTED"
01GNPD_U02,"FOLLOW RTD",07/30/2026 11:06:00 AM,485,518,RTD,"MOT LIFTED"
01GNPD_U02,"LOWER LOAD",07/30/2026 11:40:00 AM,460,400,MOT LOWER,"DUE TO LOW ACTUAL SYSTEM DEMAND (11130:11009MW)"
01GNPD_U02,"LOWER LOAD",07/30/2026 12:16:00 PM,374,334,MOT LOWER,"DUE TO NON-COMPLIANCE OF SAN LORENZO 50 (78:161MW) & 60 (84:161MW)"
01GNPD_U02,"FOLLOW RTD",07/30/2026 12:43:00 PM,353,406,RTD,"MOT LIFTED"
01GNPD_U02,"RAISE LOAD",07/30/2026 1:18:00 PM,440,500,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (11366:11452MW)"
01GNPD_U02,"LOWER LOAD",07/30/2026 2:03:00 PM,594,541,MOT LOWER,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(2034/2187MW)"
01GNPD_U02,"LOWER LOAD",07/30/2026 2:15:00 PM,566,510,MOT LOWER,"MOT CONSTRAIN OFF DUE TO SOLAR VARIANCE (RTD/ACTUAL)(1848/2240MW)"
01GNPD_U02,"FOLLOW RTD",07/30/2026 2:23:00 PM,549,605,RTD,"MOT CONSTRAIN OFF INSTRUCTION LIFTED"
01MAGAT_U01,"RAISE LOAD",07/30/2026 8:18:00 AM,2,54,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1436:1259MW) VARIANCE"
01MAGAT_U01,"FOLLOW RTD",07/30/2026 8:40:00 AM,41,2,CONTINGENCY RESERVE,"RE-ARMED"
01MAGAT_U01,"RAISE LOAD",07/30/2026 12:46:00 PM,2,54,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (-50:-89MW) & VRE SOLAR (2646:2593MW) VARIANCES"
01MAGAT_U01,"FOLLOW RTD",07/30/2026 1:34:00 PM,28,2,CONTINGENCY RESERVE,"RE-ARMED"
01MAGAT_U03,"RAISE LOAD",07/30/2026 8:18:00 AM,2,54,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (1436:1259MW) VARIANCE"
01MAGAT_U03,"FOLLOW RTD",07/30/2026 8:40:00 AM,41,2,CONTINGENCY RESERVE,"RE-ARMED"
01MAGAT_U03,"RAISE LOAD",07/30/2026 12:46:00 PM,2,54,CONTINGENCY RESERVE,"UTILIZED DUE TO HVDC (-50:-89MW) & VRE SOLAR (2646:2593MW) VARIANCES"
01MAGAT_U03,"FOLLOW RTD",07/30/2026 1:34:00 PM,28,2,CONTINGENCY RESERVE,"RE-ARMED"
01MARVEL_G02,"LOWER LOAD",07/30/2026 2:24:00 AM,287,250,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -180/-91MW)"
01MARVEL_G02,"FOLLOW RTD",07/30/2026 4:19:00 AM,250,278,RTD,"From MOT LOWER"
