Luzon System Operations
Dispatch Instruction Report
03Aug2026-09Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"RAISE LOAD",08/03/2026 7:21:00 AM,5,35,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 458MW ; ACT: 184MW)"
01AMBUK_U01,"FOLLOW RTD",08/03/2026 7:45:00 AM,35,5,RTD,"Re-armed CR."
01AMBUK_U01,"ONLINE AS CR",08/03/2026 7:56:00 PM,0,5,GENERATOR START-UP,"With schedule as CR for next interval."
01AMBUK_U01,"ONLINE AS CR",08/03/2026 7:56:00 PM,0,5,GENERATOR START-UP,"Hauling Works
Dismantling of existing Tower Nos. 1 and 2
Erection of replacement Tower Nos.1 and 2
Stringing works
Transfer of conductors from ERS to Tower Nos. 1 and 2 
With schedule as CR for the interval."
01AMBUK_U01,"RAISE LOAD",08/05/2026 2:30:00 PM,0,30,CONTINGENCY RESERVE,"Due to TERRA SOLAR variance (RTD: 950MW ; ACT: 200MW)"
01AMBUK_U01,"FOLLOW RTD",08/05/2026 2:48:00 PM,34,0,RTD,"Re-armed CR."
01AMBUK_U01,"RAISE LOAD",08/06/2026 5:58:00 AM,5,36,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (8026:8149MW)"
01AMBUK_U01,"FOLLOW RTD",08/06/2026 6:24:00 AM,33,0,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",08/06/2026 9:08:00 AM,5,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (9970:10020MW) AND HVDC (-50:-84MW) & VRE SOLAR (1536:1461MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",08/06/2026 9:33:00 AM,28,5,RTD,"Re-arm CR"
01AMBUK_U01,"RAISE LOAD",08/06/2026 4:13:00 PM,10,35,CONTINGENCY RESERVE,"UTILIZED DUE TO HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(10053/10252MW) AND WIND VARIANCE (81/39MW)"
01AMBUK_U01,"FOLLOW RTD",08/06/2026 4:36:00 PM,34,5,RTD,"REARMED CR"
01AMBUK_U01,"RAISE LOAD",08/07/2026 5:40:00 AM,5,37,CONTINGENCY RESERVE,"Due to Pagbilao 3 variance (RTD:244MW; ACT: 181MW)"
01AMBUK_U01,"FOLLOW RTD",08/07/2026 6:10:00 AM,33,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",08/07/2026 7:20:00 AM,5,37,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (413:193MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",08/07/2026 7:44:00 AM,34,5,CONTINGENCY RESERVE,"RE-ARMED"
01AMBUK_U01,"RAISE LOAD",08/07/2026 8:13:00 AM,5,37,CONTINGENCY RESERVE,"UTILIZED DUE TO VRE SOLAR (721:421MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",08/07/2026 8:39:00 AM,38,37,RTD,"END OF RMS"
01AMBUK_U01,"LOWER LOAD",08/07/2026 9:32:00 AM,14,5,MOT LOWER,"DUE TO LOW ACTUAL SYSTEM DEMAND (10320:10214MW) & HVDC (-100:-51MW) VARIANCE"
01AMBUK_U01,"FOLLOW RTD",08/07/2026 9:36:00 AM,5,14,RTD,"MOT LIFTED"
01AMBUK_U01,"LOWER LOAD",08/07/2026 1:34:00 PM,37,5,MOT LOWER,"Due to Masinloc 4 variance (RTD= 0MW/ ACT= 316MW)"
01AMBUK_U01,"FOLLOW RTD",08/07/2026 1:42:00 PM,5,5,RTD,"Reset MOT lower"
01AMBUK_U01,"LOWER LOAD",08/07/2026 11:31:00 PM,37,5,MOT LOWER,"Due to MO forecast error (RTD= 8,806MW/ ACT= 8,769MW)"
01AMBUK_U01,"FOLLOW RTD",08/08/2026 12:25:00 AM,5,37,RTD,"Reset MOT lower"
01AMBUK_U01,"RAISE LOAD",08/08/2026 10:25:00 AM,11,37,CONTINGENCY RESERVE,"Due to VRE variance (RTD=1088/ACT=950) and high actual system demand (RTD=9788'DEM=10041)"
01AMBUK_U01,"FOLLOW RTD",08/08/2026 10:37:00 AM,33,24,RTD,"Re-arm CR."
01AMBUK_U01,"RAISE         LOAD",08/08/2026 4:40:00 PM,5,37,CONTINGENCY RESERVE,"Due to wind variance (RTD= 213MW/ ACT= 160MW)"
01AMBUK_U01,"FOLLOW RTD",08/08/2026 6:03:00 PM,36,5,RTD,"REARMED CR"
01AMBUK_U01,"RAISE         LOAD",08/09/2026 4:32:00 AM,0,32,REGULATING RESERVE,"Due to tripping of Calaca U1 @157MW, Frequency 59.67Hz"
01AMBUK_U01,"FOLLOW RTD",08/09/2026 6:06:00 AM,36,36,RTD,"END OF CR SCHEDULE, CR CONVERTED TO ENERGY"
01AMBUK_U01,"RAISE LOAD",08/09/2026 11:11:00 AM,9,32,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(773/463MW)"
01AMBUK_U01,"FOLLOW RTD",08/09/2026 11:32:00 AM,33,0,RTD,"REARMED CR"
