Luzon System Operations
Dispatch Instruction Report
28Aug2026-28Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"RAISE LOAD",08/28/2026 11:52:00 PM,5,37,CONTINGENCY RESERVE,"UTILIZED DUE TO WIND VARIANCE (RTD/ACTUAL)(234/163MW), AND HIGH ACTUAL SYSTEM DEMAND (RTD/ACTUAL)(8569/8682MW)"
01AMBUK_U02,"FOLLOW RTD",08/28/2026 1:32:00 AM,5,37,RTD,"From MOT instruction"
01AMBUK_U03,"FOLLOW RTD",08/28/2026 12:01:00 AM,5,0,RTD,"From MOT instruction"
01AMBUK_U03,"RAISE LOAD",08/28/2026 9:21:00 AM,12,37,CONTINGENCY RESERVE,"Due to solar variance (RTD=810/ACT=475)"
01AMBUK_U03,"FOLLOW RTD",08/28/2026 9:54:00 AM,37,5,RTD,"Re-arm CR."
01CNCEP_BAT,"RAISE LOAD",08/28/2026 2:07:00 PM,0,49,CONTINGENCY RESERVE,"UTILIZED DUE TO SOLAR VARIANCE (RTD/ACTUAL)(736/718MW) and WIND VARIANCE (RTD/ACTUAL)(266/215)"
01CNCEP_BAT,"FOLLOW RTD",08/28/2026 2:12:00 PM,49,0,RTD,"REARMED CR"
01GNPD_U01,"FOLLOW RTD",08/28/2026 1:11:00 AM,608,608,RTD,"From MOT instruction"
01GNPD_U01,"LOWER LOAD",08/28/2026 1:23:00 AM,608,570,MOT LOWER,"Constrained OFF due to HVDC and wind variance, RTD/ACTUAL: -175/-116MW and 208/2901MW."
01GNPD_U01,"FOLLOW RTD",08/28/2026 1:41:00 AM,574,618,RTD,"From MOT instruction"
01GNPD_U01,"LOWER LOAD",08/28/2026 2:23:00 AM,609,580,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -180/-115MW)"
01GNPD_U01,"FOLLOW RTD",08/28/2026 3:28:00 AM,580,572,RTD,"From MOT LOWER"
