Luzon System Operations
Dispatch Instruction Report
04Sep2026-04Sep2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
01AMBUK_U01,"LOWER LOAD",09/04/2026 2:00:00 AM,37,5,MOT LOWER,"Due to low actual system demand (RTD=8840/DEM=8752)"
01AMBUK_U01,"FOLLOW RTD",09/04/2026 2:51:00 AM,5,37,RTD,"From MOT Lower. Follow 5-min RTD."
01AMBUK_U01,"RAISE LOAD",09/04/2026 11:39:00 AM,5,37,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1283MW ; ACT: 1088MW)"
01AMBUK_U01,"FOLLOW RTD",09/04/2026 11:45:00 AM,38,37,RTD,"Re-armed CR."
01AMBUK_U01,"LOWER LOAD",09/04/2026 11:53:00 PM,37,5,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -150/-79MW)"
01AMBUK_U02,"LOWER LOAD",09/04/2026 2:00:00 AM,37,5,MOT LOWER,"Due to low actual system demand (RTD=8840/DEM=8752)"
01AMBUK_U02,"FOLLOW RTD",09/04/2026 2:51:00 AM,5,37,RTD,"From MOT Lower. Follow 5-min RTD."
01AMBUK_U02,"RAISE LOAD",09/04/2026 11:39:00 AM,5,37,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1283MW ; ACT: 1088MW)"
01AMBUK_U02,"FOLLOW RTD",09/04/2026 11:45:00 AM,39,37,RTD,"Re-armed CR."
01AMBUK_U02,"LOWER LOAD",09/04/2026 11:53:00 PM,37,5,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -150/-79MW)"
01AMBUK_U03,"LOWER LOAD",09/04/2026 2:00:00 AM,35,5,MOT LOWER,"Due to low actual system demand (RTD=8840/DEM=8752)"
01AMBUK_U03,"FOLLOW RTD",09/04/2026 3:28:00 AM,5,5,RTD,"From MOT Lower. Follow 5-min RTD."
01AMBUK_U03,"LOWER LOAD",09/04/2026 11:53:00 PM,37,5,MOT LOWER,"Due to HVDC variance (RTD/ACTUAL : -150/-79MW)"
01ANDA_G01,"LOWER LOAD",09/04/2026 5:13:00 PM,50,30,MOT LOWER,"Constrain-off due to Terra Solar variance (RTD/ACT: 200/450MW)"
01ANDA_G01,"FOLLOW RTD",09/04/2026 8:39:00 PM,30,25,RTD,"Constrain-off lifted"
01APEC_G01,"LOWER LOAD",09/04/2026 7:05:00 PM,12,1,MOT LOWER,"Constrain-off due to MO forecast error (RTD/ACT: 10909/10769MW)"
01APEC_G01,"FOLLOW RTD",09/04/2026 8:38:00 PM,1,1,RTD,"Constrain-off lifted"
01BINENG_G01,"EMERGENCY SHUTDOWN",09/04/2026 9:18:00 AM,18,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Due to flushing of desander as per Mr. De Leon - PO"
01BINENG_G01,"ONLINE",09/04/2026 1:35:00 PM,0,0,GENERATOR START-UP,"From unplanned outage."
01BINENG_G03,"EMERGENCY SHUTDOWN",09/04/2026 7:31:00 AM,4,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Due to flushing of desander as per Mr. De Leon - PO"
01BINENG_G03,"ONLINE",09/04/2026 8:22:00 AM,0,0,GENERATOR START-UP,"From unplanned outage."
01BINGA_U03,"RAISE LOAD",09/04/2026 11:39:00 AM,1,32,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1283MW ; ACT: 1088MW)"
01BINGA_U03,"FOLLOW RTD",09/04/2026 11:45:00 AM,35,35,RTD,"Re-armed CR."
01BINGA_U04,"RAISE LOAD",09/04/2026 11:39:00 AM,1,35,CONTINGENCY RESERVE,"Due to Solar variance (RTD: 1283MW ; ACT: 1088MW)"
01BINGA_U04,"FOLLOW RTD",09/04/2026 11:45:00 AM,35,35,RTD,"Re-armed CR."
01GNPD_U01,"RAISE LOAD",09/04/2026 8:10:00 AM,612,625,CONTINGENCY RESERVE,"Due to forecast error (RTD: 9789MW; ACT: 9894MW)"
01GNPD_U01,"FOLLOW RTD",09/04/2026 8:26:00 AM,656,627,RTD,"Re-armed CR."
01GNPD_U01,"RAISE LOAD",09/04/2026 9:49:00 AM,616,668,CONTINGENCY RESERVE,"Due to Solar variance (RTD:995MW ; ACT: 654MW)"
01GNPD_U01,"FOLLOW RTD",09/04/2026 10:19:00 AM,655,615,RTD,"Re-armed CR."
