Mindanao System Operations
Dispatch Instruction Report
13Apr2026-19Apr2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/13/2026 2:05:00 PM,0.13,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/13/2026 9:12:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD | On duty: Jugo "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/14/2026 3:00:00 PM,3,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/14/2026 9:06:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD | On duty: Nubio "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/15/2026 2:45:00 PM,0.4,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/15/2026 7:37:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD | On duty: Luzon "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/16/2026 2:41:00 PM,0.1,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/16/2026 7:02:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From lower Load  to Follow RTD| ON DUTY: Duaba "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/17/2026 4:05:00 PM,0.4,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/17/2026 7:05:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From lower Load  to Follow RTD| ON DUTY: Agting "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/18/2026 6:11:00 PM,0.1,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/18/2026 6:44:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From lower Load  to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/13/2026 2:05:00 PM,0.13,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/13/2026 9:12:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD | On duty: Jugo "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/14/2026 3:00:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/14/2026 9:06:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD | On duty: Nubio "
