Mindanao System Operations
Dispatch Instruction Report
27Apr2026-03May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/27/2026 1:15:00 PM,7,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/27/2026 8:45:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/28/2026 1:07:00 PM,3.1,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/28/2026 8:10:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/29/2026 1:15:00 PM,5,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/29/2026 9:35:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U01,"REMAIN DESYNCHRONIZED",04/30/2026 1:42:00 PM,3,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U01,"FOLLOW RTD",04/30/2026 9:01:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Jugo "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/27/2026 3:05:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/27/2026 8:45:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/28/2026 1:07:00 PM,3,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/28/2026 8:10:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/29/2026 1:15:00 PM,5,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/29/2026 9:35:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"REMAIN DESYNCHRONIZED",04/30/2026 1:42:00 PM,3,0,MARKET INTERVENTION/SUSPENSION,"Advised not to cut-in as per scheduled RTD due to Market Suspension in ALL region due to the Declaration of State of National Ener "
09WMPC_U02,"FOLLOW RTD",04/30/2026 9:01:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"From Lower Load to Follow RTD| ON DUTY: Jugo "
