Mindanao System Operations
Dispatch Instruction Report
11May2026-17May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"LOWER LOAD",05/11/2026 10:04:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz.  | ON DUTY: Pedong "
09WMPC_U01,"FOLLOW RTD",05/11/2026 10:27:00 PM,0,0,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedong "
09WMPC_U01,"DECLARED FORCED OUTAGE",05/12/2026 1:05:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"WMPC Unit 1 declared unavailable at 1305H due to turbo charger shock pulse alarm at B-bank. (Forced Outage). "
09WMPC_U01,"DECLARED FORCED OUTAGE",05/12/2026 1:05:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"WMPC Unit 1 declared unavailable at 1305H (Forced Outage) due to turbo charger gas inlet casing B-bank. "
09WMPC_U01,"DECLARED AVAILABLE",05/12/2026 11:20:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage "
09WMPC_U01,"RAISE LOAD",05/15/2026 1:31:00 PM,7.4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=58.88Hz.  | ON DUTY: Mapanao "
09WMPC_U01,"FOLLOW RTD",05/15/2026 4:09:00 PM,10,4.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U02,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | O "
09WMPC_U02,"FOLLOW RTD",05/11/2026 4:56:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Agting "
09WMPC_U02,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao "
09WMPC_U02,"MO DISPATCH (RTD)",05/12/2026 3:37:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U02,"MO DISPATCH (RTD)",05/12/2026 9:26:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U02,"MO DISPATCH (RTD)",05/12/2026 10:13:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U02,"RAISE LOAD",05/13/2026 1:45:00 PM,8.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz from MO forecast variation of RTD=2696 vs ACTUAL=2715 | ON "
09WMPC_U02,"FOLLOW RTD",05/13/2026 1:52:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"RAISE LOAD",05/13/2026 4:12:00 PM,1.1,8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60Hz from MO forecast variation of RTD=2571 vs ACTUAL=2600 | ON D "
09WMPC_U02,"RAISE LOAD",05/13/2026 5:55:00 PM,8,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60.07Hz.  | ON DUTY: Luzon "
09WMPC_U02,"FOLLOW RTD",05/13/2026 6:44:00 PM,10,1.6,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U02,"DECLARED FORCED OUTAGE",05/14/2026 2:00:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared unavailable due to air starting wasn't able to build-up. (Forced Outage). "
09WMPC_U02,"DECLARED AVAILABLE",05/14/2026 4:45:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage. On-duty: Luzon "
09WMPC_U02,"RAISE LOAD",05/15/2026 1:31:00 PM,7.2,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=58.88Hz.  | ON DUTY: Mapanao "
09WMPC_U02,"LOWER LOAD",05/15/2026 4:37:00 PM,10,5.1,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.11Hz.  | ON DUTY: Mapanao "
09WMPC_U03,"LOWER LOAD",05/11/2026 5:07:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON "
09WMPC_U03,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,10,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao
10 "
09WMPC_U03,"MO DISPATCH (RTD)",05/13/2026 12:19:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U03,"DECLARED AVAILABLE",05/14/2026 12:00:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage. On-duty: Luzon "
09WMPC_U03,"MO DISPATCH (RTD)",05/14/2026 9:51:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"LOWER LOAD",05/11/2026 5:07:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON "
09WMPC_U04,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,10,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao
10 "
09WMPC_U04,"MO DISPATCH (RTD)",05/13/2026 12:06:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"ONLINE",05/14/2026 10:34:00 AM,0,5.5,GENERATOR START-UP,"WMPC DG04 online as MO Dispatch. "
09WMPC_U04,"MO DISPATCH (RTD)",05/14/2026 10:06:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"FOLLOW RTD",05/15/2026 6:58:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U04,"MO DISPATCH (RTD)",05/16/2026 7:16:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"ONLINE",05/17/2026 6:09:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatch. "
09WMPC_U04,"MO DISPATCH (RTD)",05/17/2026 7:04:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U05,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | O "
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:00:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Agting "
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:01:00 PM,7,5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Poleran "
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao "
09WMPC_U05,"MO DISPATCH (RTD)",05/12/2026 3:27:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U05,"MO DISPATCH (RTD)",05/12/2026 9:30:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U05,"MO DISPATCH (RTD)",05/12/2026 10:13:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U05,"RAISE LOAD",05/13/2026 1:45:00 PM,8.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz from MO forecast variation of RTD=2696 vs ACTUAL=2715 | ON "
09WMPC_U05,"FOLLOW RTD",05/13/2026 1:52:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U05,"RAISE LOAD",05/13/2026 4:12:00 PM,1.2,8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60Hz from MO forecast variation of RTD=2571 vs ACTUAL=2600 | ON D "
09WMPC_U05,"RAISE LOAD",05/13/2026 5:55:00 PM,8,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60.07Hz.  | ON DUTY: Luzon "
09WMPC_U05,"FOLLOW RTD",05/13/2026 6:44:00 PM,10,1.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U05,"RAISE LOAD",05/15/2026 1:31:00 PM,7.2,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=58.88Hz.  | ON DUTY: Mapanao "
09WMPC_U05,"FOLLOW RTD",05/15/2026 4:09:00 PM,10,4.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U06,"MO DISPATCH (RTD)",05/13/2026 12:05:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U06,"ONLINE",05/14/2026 10:46:00 AM,0,5.1,GENERATOR START-UP,"WMPC DG06 online as MO Dispatch. "
09WMPC_U06,"MO DISPATCH (RTD)",05/14/2026 9:56:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U07,"LOWER LOAD",05/11/2026 10:04:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz.  | ON DUTY: Pedong "
09WMPC_U07,"FOLLOW RTD",05/11/2026 10:27:00 PM,0,0,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedong "
09WMPC_U07,"MO DISPATCH (RTD)",05/13/2026 12:18:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U07,"ONLINE",05/14/2026 10:35:00 AM,0,5,GENERATOR START-UP,"WMPC DG07 online as MO Dispatch. "
09WMPC_U07,"MO DISPATCH (RTD)",05/14/2026 9:56:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U07,"RAISE LOAD",05/15/2026 2:48:00 PM,7,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.95Hz.  | ON DUTY: Mapanao "
09WMPC_U07,"FOLLOW RTD",05/15/2026 3:23:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U07,"FOLLOW RTD",05/15/2026 6:58:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U08,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | O "
09WMPC_U08,"LOWER LOAD",05/11/2026 5:06:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON "
09WMPC_U08,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao "
09WMPC_U08,"MO DISPATCH (RTD)",05/12/2026 3:28:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U08,"MO DISPATCH (RTD)",05/12/2026 9:32:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U08,"MO DISPATCH (RTD)",05/12/2026 10:14:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U08,"RAISE LOAD",05/13/2026 1:45:00 PM,8.3,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz from MO forecast variation of RTD=2696 vs ACTUAL=2715 | ON "
09WMPC_U08,"FOLLOW RTD",05/13/2026 1:52:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U08,"RAISE LOAD",05/13/2026 4:12:00 PM,1.2,8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60Hz from MO forecast variation of RTD=2571 vs ACTUAL=2600 | ON D "
09WMPC_U08,"RAISE LOAD",05/15/2026 1:31:00 PM,7.2,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=58.88Hz.  | ON DUTY: Mapanao "
09WMPC_U08,"LOWER LOAD",05/15/2026 4:37:00 PM,10,5.5,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.11Hz.  | ON DUTY: Mapanao "
09WMPC_U09,"DECLARED FORCED OUTAGE",05/11/2026 10:37:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"WMPC Unit 9 declared unavailable at 1037H (Forced Outage) due to generator reverse power alarm upon synchronization attempts. | ON "
09WMPC_U09,"DECLARED AVAILABLE",05/11/2026 11:05:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage "
09WMPC_U09,"DECLARED AVAILABLE",05/12/2026 8:15:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage "
09WMPC_U09,"MO DISPATCH (RTD)",05/13/2026 12:17:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U09,"ONLINE",05/14/2026 10:43:00 AM,0,4.5,GENERATOR START-UP,"WMPC DG09 online as MO Dispatch. "
09WMPC_U09,"MO DISPATCH (RTD)",05/14/2026 9:52:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U09,"FOLLOW RTD",05/15/2026 6:58:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U10,"MO DISPATCH (RTD)",05/12/2026 10:34:00 AM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U10,"MO DISPATCH (RTD)",05/13/2026 12:18:00 AM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U10,"RAISE LOAD",05/13/2026 8:10:00 AM,3,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from HVDC forecast variation of RTD=-323 vs ACTUAL=-400 | "
09WMPC_U10,"FOLLOW RTD",05/13/2026 9:38:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U10,"ONLINE",05/14/2026 10:38:00 AM,0,4.1,GENERATOR START-UP,"WMPC DG10 online as MO Dispatch. "
09WMPC_U10,"MO DISPATCH (RTD)",05/14/2026 10:52:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U10,"DECLARED FORCED OUTAGE",05/15/2026 12:22:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared unavailable due to speed control alarm. (Forced Outage). "
09WMPC_U10,"DECLARED AVAILABLE",05/15/2026 1:00:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage. On-duty: Agting "
09WMPC_U10,"RAISE LOAD",05/15/2026 11:08:00 AM,4.5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from MO forecast variation of RTD=2462 vs ACTUAL=2477 | O "
09WMPC_U10,"FOLLOW RTD",05/15/2026 1:17:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U10,"ONLINE",05/16/2026 6:13:00 PM,0,10,GENERATOR START-UP,"WMPC DG10 online as MO Dispatch. "
09WMPC_U10,"MO DISPATCH (RTD)",05/16/2026 7:09:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U10,"ONLINE",05/17/2026 5:44:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatch. "
09WMPC_U10,"MO DISPATCH (RTD)",05/17/2026 7:04:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
10AGUS4_U02,"FOLLOW RTD",05/11/2026 5:25:00 PM,40,52.7,RTD,"From MOT Lower to Follow RTD| ON DUTY: Villas "
10AGUS4_U03,"FOLLOW RTD",05/11/2026 5:25:00 PM,40,52.7,RTD,"From MOT Lower to Follow RTD| ON DUTY: Villas "
10AGUS6_U02,"LOWER LOAD",05/11/2026 5:03:00 PM,34,14.5,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.45Hz from MO forecast variation of RTD=2568 vs ACTUAL=2657 | O "
10AGUS6_U02,"FOLLOW RTD",05/11/2026 5:43:00 PM,14.5,34,RTD,"From MOT Lower to Follow RTD| ON DUTY: Omisol "
10AGUS6_U04,"TRIPPED",05/13/2026 10:57:00 PM,32,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Agus 6 HEPP Unit 4 auto-tripped at 2257H. Indication: Exciter Fault Alarm. (Unplanned Outage). "
10GNPK_U01,"FOLLOW RTD",05/11/2026 12:38:00 AM,120,107,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pagente "
10GNPK_U01,"LOWER LOAD",05/11/2026 1:01:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pagente "
10GNPK_U01,"FOLLOW RTD",05/11/2026 1:31:00 AM,95,97,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pagente "
10GNPK_U01,"RAISE LOAD",05/11/2026 9:48:00 AM,100,120,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.88Hz from HVDC forecast variation of RTD=-170 vs ACTUAL=-223 | "
10GNPK_U01,"RAISE LOAD",05/11/2026 10:20:00 AM,120,130,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-195 vs ACTUAL=-213 | "
10GNPK_U01,"FOLLOW RTD",05/11/2026 10:45:00 AM,130,131.3,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao "
10GNPK_U01,"RAISE LOAD",05/11/2026 11:17:00 AM,132.1,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-193 vs ACTUAL=-223 | "
10GNPK_U01,"FOLLOW RTD",05/11/2026 2:20:00 PM,136,135.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao "
10GNPK_U01,"RAISE LOAD",05/12/2026 6:40:00 AM,92,97,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-295 vs ACTUAL=-334 | "
10GNPK_U01,"RAISE LOAD",05/12/2026 6:47:00 AM,97,105,MOT RAISE,"MOT Raise. Raised load to 105MW | ON DUTY: Marci "
10GNPK_U01,"RAISE LOAD",05/12/2026 7:23:00 AM,105,115,MOT RAISE,"MOT Raise. Raised load to 115MW | ON DUTY: Marci "
10GNPK_U01,"RAISE LOAD",05/12/2026 7:49:00 AM,115,120,MOT RAISE,"MOT Raise. Raised load to 120MW | ON DUTY: Marci "
10GNPK_U01,"RAISE LOAD",05/12/2026 8:00:00 AM,120,136,MOT RAISE,"MOT Raise. Raised load to 136MW | ON DUTY: Marci "
10GNPK_U01,"HOLD LOAD",05/12/2026 8:12:00 AM,130,130,MOT RAISE,"MOT Raise. Hold load at 130MW from 120MW| ON DUTY: Marci "
10GNPK_U01,"FOLLOW RTD",05/12/2026 8:51:00 AM,130,116,RTD,"From MOT Raised to Follow RTD| ON DUTY: Sauzo "
10GNPK_U01,"RAISE LOAD",05/12/2026 9:38:00 AM,125,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-248 vs ACTUAL=-284 | "
10GNPK_U01,"FOLLOW RTD",05/12/2026 10:24:00 AM,136,130.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Sauzo "
10GNPK_U01,"RAISE LOAD",05/12/2026 11:48:00 AM,133,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-281 vs ACTUAL=-304 | "
10GNPK_U01,"FOLLOW RTD",05/12/2026 3:36:00 PM,136,133,RTD,"From MOT Raised to Follow RTD| ON DUTY: Sauzo "
10GNPK_U01,"LOWER LOAD",05/12/2026 11:35:00 PM,135,125,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz.  | ON DUTY: Goc-Ong "
10GNPK_U01,"FOLLOW RTD",05/13/2026 12:33:00 AM,125,126,RTD,"From MOT Lower to Follow RTD| ON DUTY: Goc-Ong "
10GNPK_U01,"RAISE LOAD",05/13/2026 4:25:00 AM,102,121,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from MO forecast variation of RTD=1895 vs ACTUAL=1956 | O "
10GNPK_U01,"FOLLOW RTD",05/13/2026 5:13:00 AM,121,107,RTD,"From MOT Raise to Follow RTD| ON DUTY: Goc-Ong "
10GNPK_U01,"RAISE LOAD",05/13/2026 7:58:00 AM,112,122,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.82Hz from HVDC forecast variation of RTD=-363 vs ACTUAL=-410 | "
10GNPK_U01,"RAISE LOAD",05/13/2026 8:04:00 AM,122,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.74Hz from HVDC forecast variation of RTD=-338 vs ACTUAL=-400 | "
10GNPK_U01,"FOLLOW RTD",05/13/2026 8:40:00 AM,136,131.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao "
10GNPK_U01,"RAISE LOAD",05/13/2026 9:00:00 AM,132,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.74Hz from HVDC forecast variation of RTD=-332 vs ACTUAL=-319 | "
10GNPK_U01,"FOLLOW RTD",05/13/2026 9:20:00 AM,136,133.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao "
10GNPK_U01,"RAISE LOAD",05/13/2026 1:38:00 PM,134.3,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz.  | ON DUTY: Limpao "
10GNPK_U01,"FOLLOW RTD",05/13/2026 2:32:00 PM,136,135.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao "
10GNPK_U01,"RAISE LOAD",05/14/2026 3:41:00 AM,92,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=1915 vs ACTUAL=1923 | O "
10GNPK_U01,"RAISE LOAD",05/14/2026 5:09:00 AM,110,120,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz from MO forecast variation of RTD=1925 vs ACTUAL=1944 | O "
10GNPK_U01,"FOLLOW RTD",05/14/2026 6:33:00 AM,120,107,RTD,"From MOT Raised to Follow RTD| ON DUTY: Suazo "
10GNPK_U01,"RAISE LOAD",05/14/2026 7:49:00 AM,107,125,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz.  | ON DUTY: Molde "
10GNPK_U01,"RAISE LOAD",05/14/2026 8:10:00 AM,125,132,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from HVDC forecast variation of RTD=-292 vs ACTUAL=-334 | "
10GNPK_U01,"RAISE LOAD",05/14/2026 8:40:00 AM,132,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from HVDC forecast variation of RTD=-231 vs ACTUAL=-279 | "
10GNPK_U01,"FOLLOW RTD",05/14/2026 10:03:00 AM,136,135.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Molde "
10GNPK_U01,"RAISE LOAD",05/15/2026 12:07:00 AM,93,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from MO forecast variation of RTD=2127 vs ACTUAL=2150 | O "
10GNPK_U01,"RAISE LOAD",05/15/2026 5:13:00 AM,105,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.82Hz.  | ON DUTY: Alonzo "
10GNPK_U01,"FOLLOW RTD",05/15/2026 5:33:00 AM,110,103.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Alonzo "
10GNPK_U01,"LOWER LOAD",05/15/2026 5:55:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=59.38Hz.  | ON DUTY: Alonzo "
10GNPK_U01,"FOLLOW RTD",05/15/2026 6:04:00 AM,95,102,RTD,"From MOT Lower to Follow RTD| ON DUTY: Alonzo "
10GNPK_U01,"LOWER LOAD",05/15/2026 9:06:00 AM,131.8,120,MOT RAISE,"MOT constrained OFF due to Low actual system demand at frequency=60Hz from MO forecast variation of RTD=2322 vs ACTUAL=2310 | ON D "
