Mindanao System Operations
Dispatch Instruction Report
11May2026-11May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"LOWER LOAD",05/11/2026 10:04:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz.  | ON DUTY: Pedong"
09WMPC_U01,"FOLLOW RTD",05/11/2026 10:27:00 PM,0,0,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedong"
09WMPC_U02,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | ON DUTY: Agting"
09WMPC_U02,"FOLLOW RTD",05/11/2026 4:56:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Agting"
09WMPC_U02,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao"
09WMPC_U03,"LOWER LOAD",05/11/2026 5:07:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON DUTY: Agting"
09WMPC_U03,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,10,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao
10"
09WMPC_U04,"LOWER LOAD",05/11/2026 5:07:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON DUTY: Agting"
09WMPC_U04,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,10,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao
10"
09WMPC_U05,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | ON DUTY: Agting"
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:00:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Agting"
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:01:00 PM,7,5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Poleran"
09WMPC_U05,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao"
09WMPC_U07,"LOWER LOAD",05/11/2026 10:04:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz.  | ON DUTY: Pedong"
09WMPC_U07,"FOLLOW RTD",05/11/2026 10:27:00 PM,0,0,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedong"
09WMPC_U08,"RAISE LOAD",05/11/2026 4:26:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | ON DUTY: Agting"
09WMPC_U08,"LOWER LOAD",05/11/2026 5:06:00 PM,10,0,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.4Hz from MO forecast variation of RTD=2551 vs ACTUAL=2518 | ON DUTY: Agting"
09WMPC_U08,"FOLLOW RTD",05/11/2026 5:58:00 PM,0,2.1,RTD,"From MOT Lower to Follow RTD| ON DUTY: Mapanao"
09WMPC_U09,"DECLARED FORCED OUTAGE",05/11/2026 10:37:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"WMPC Unit 9 declared unavailable at 1037H (Forced Outage) due to generator reverse power alarm upon synchronization attempts. | ON DUTY: Mapanao"
09WMPC_U09,"DECLARED AVAILABLE",05/11/2026 11:05:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage"
10AGUS4_U02,"FOLLOW RTD",05/11/2026 5:25:00 PM,40,52.7,RTD,"From MOT Lower to Follow RTD| ON DUTY: Villas"
10AGUS4_U03,"FOLLOW RTD",05/11/2026 5:25:00 PM,40,52.7,RTD,"From MOT Lower to Follow RTD| ON DUTY: Villas"
10AGUS6_U02,"LOWER LOAD",05/11/2026 5:03:00 PM,34,14.5,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.45Hz from MO forecast variation of RTD=2568 vs ACTUAL=2657 | ON DUTY: Omisol"
10AGUS6_U02,"FOLLOW RTD",05/11/2026 5:43:00 PM,14.5,34,RTD,"From MOT Lower to Follow RTD| ON DUTY: Omisol"
10GNPK_U01,"FOLLOW RTD",05/11/2026 12:38:00 AM,120,107,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pagente"
10GNPK_U01,"LOWER LOAD",05/11/2026 1:01:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pagente"
10GNPK_U01,"FOLLOW RTD",05/11/2026 1:31:00 AM,95,97,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pagente"
10GNPK_U01,"RAISE LOAD",05/11/2026 9:48:00 AM,100,120,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.88Hz from HVDC forecast variation of RTD=-170 vs ACTUAL=-223 | ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",05/11/2026 10:20:00 AM,120,130,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-195 vs ACTUAL=-213 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",05/11/2026 10:45:00 AM,130,131.3,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",05/11/2026 11:17:00 AM,132.1,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-193 vs ACTUAL=-223 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",05/11/2026 2:20:00 PM,136,135.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",05/11/2026 12:31:00 AM,110,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pagente"
10GNPK_U02,"LOWER LOAD",05/11/2026 1:01:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pagente"
10GNPK_U02,"FOLLOW RTD",05/11/2026 1:31:00 AM,95,97,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pagente"
10GNPK_U02,"RAISE LOAD",05/11/2026 7:45:00 AM,110,115,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",05/11/2026 9:19:00 AM,115,116.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U03,"FOLLOW RTD",05/11/2026 12:31:00 AM,110,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pagente"
10GNPK_U03,"LOWER LOAD",05/11/2026 1:01:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pagente"
10GNPK_U03,"FOLLOW RTD",05/11/2026 1:31:00 AM,95,97,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pagente"
10GNPK_U03,"RAISE LOAD",05/11/2026 6:32:00 AM,81.2,90,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from MO forecast variation of RTD=1846 vs ACTUAL=1876 | ON DUTY: Pajente"
10GNPK_U03,"RAISE LOAD",05/11/2026 7:20:00 AM,90,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.91Hz from HVDC forecast variation of RTD=-209 vs ACTUAL=-253 | ON DUTY: Pajente"
10GNPK_U03,"RAISE LOAD",05/11/2026 7:45:00 AM,110,120,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Limpao"
10GNPK_U03,"FOLLOW RTD",05/11/2026 8:51:00 AM,120,107,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U03,"RAISE LOAD",05/11/2026 9:17:00 AM,114,125,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-183 vs ACTUAL=-226 | ON DUTY: Limpao"
10GNPK_U03,"FOLLOW RTD",05/11/2026 9:50:00 AM,125,124.3,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U03,"RAISE LOAD",05/11/2026 11:17:00 AM,131,138,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-193 vs ACTUAL=-223 | ON DUTY: Limpao"
10GNPK_U03,"FOLLOW RTD",05/11/2026 12:19:00 PM,138,123.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U03,"RAISE LOAD",05/11/2026 8:35:00 PM,120,135,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from MO forecast variation of RTD=2426 vs ACTUAL=2455 | ON DUTY: Marci"
10GNPK_U03,"FOLLOW RTD",05/11/2026 9:24:00 PM,135,138,RTD,"From MOT Raised to Follow RTD| ON DUTY: Marci"
10GNPK_U04,"FOLLOW RTD",05/11/2026 12:31:00 AM,110,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pagente"
10GNPK_U04,"LOWER LOAD",05/11/2026 1:01:00 AM,102,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pagente"
10GNPK_U04,"FOLLOW RTD",05/11/2026 1:31:00 AM,95,97,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pagente"
10GNPK_U04,"RAISE LOAD",05/11/2026 6:32:00 AM,81.2,90,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from MO forecast variation of RTD=1846 vs ACTUAL=1876 | ON DUTY: Pajente"
10GNPK_U04,"RAISE LOAD",05/11/2026 7:20:00 AM,90,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.91Hz from HVDC forecast variation of RTD=-209 vs ACTUAL=-253 | ON DUTY: Pajente"
10GNPK_U04,"RAISE LOAD",05/11/2026 7:45:00 AM,110,120,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Limpao"
10GNPK_U04,"FOLLOW RTD",05/11/2026 8:51:00 AM,120,107,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U04,"RAISE LOAD",05/11/2026 9:17:00 AM,114,125,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-183 vs ACTUAL=-226 | ON DUTY: Limpao"
10GNPK_U04,"FOLLOW RTD",05/11/2026 9:50:00 AM,125,124.3,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U04,"RAISE LOAD",05/11/2026 11:17:00 AM,120,138,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-193 vs ACTUAL=-223 | ON DUTY: Limpao"
10GNPK_U04,"FOLLOW RTD",05/11/2026 2:20:00 PM,136,138,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U04,"RAISE LOAD",05/11/2026 8:35:00 PM,120,135,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from MO forecast variation of RTD=2426 vs ACTUAL=2455 | ON DUTY: Marci"
10GNPK_U04,"FOLLOW RTD",05/11/2026 9:24:00 PM,135,138,RTD,"From MOT Raised to Follow RTD| ON DUTY: Marci"
11FDC_U01,"LOWER LOAD",05/11/2026 1:02:00 AM,135,125,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Julita"
11FDC_U01,"FOLLOW RTD",05/11/2026 1:30:00 AM,125,121,RTD,"From MOT Lower to Follow RTD| ON DUTY: Julita"
11FDC_U01,"RAISE LOAD",05/11/2026 2:07:00 AM,121,128,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from MO forecast variation of RTD=1889 vs ACTUAL=1904 | ON DUTY: Julita"
11FDC_U01,"FOLLOW RTD",05/11/2026 2:30:00 AM,128,118,RTD,"From MOT Raised to Follow RTD| ON DUTY: Julita"
11FDC_U01,"RAISE LOAD",05/11/2026 7:39:00 AM,85.2,95,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-165 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U01,"RAISE LOAD",05/11/2026 7:48:00 AM,95,135,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U01,"FOLLOW RTD",05/11/2026 8:45:00 AM,135,132.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Zoleta"
11FDC_U02,"LOWER LOAD",05/11/2026 1:02:00 AM,135,125,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Julita"
11FDC_U02,"FOLLOW RTD",05/11/2026 1:30:00 AM,125,121,RTD,"From MOT Lower to Follow RTD| ON DUTY: Julita"
11FDC_U02,"RAISE LOAD",05/11/2026 2:07:00 AM,121,128,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from MO forecast variation of RTD=1889 vs ACTUAL=1904 | ON DUTY: Julita"
11FDC_U02,"FOLLOW RTD",05/11/2026 2:30:00 AM,128,118,RTD,"From MOT Raised to Follow RTD| ON DUTY: Julita"
11FDC_U02,"RAISE LOAD",05/11/2026 7:39:00 AM,85.2,95,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-165 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U02,"RAISE LOAD",05/11/2026 7:48:00 AM,95,135,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U02,"FOLLOW RTD",05/11/2026 8:45:00 AM,135,131.7,RTD,"From MOT Raised to Follow RTD| ON DUTY: Zoleta"
11FDC_U03,"LOWER LOAD",05/11/2026 1:02:00 AM,135,125,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Julita"
11FDC_U03,"FOLLOW RTD",05/11/2026 1:30:00 AM,125,121,RTD,"From MOT Lower to Follow RTD| ON DUTY: Julita"
11FDC_U03,"RAISE LOAD",05/11/2026 2:07:00 AM,121,128,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from MO forecast variation of RTD=1889 vs ACTUAL=1904 | ON DUTY: Julita"
11FDC_U03,"FOLLOW RTD",05/11/2026 2:30:00 AM,128,119,RTD,"From MOT Raised to Follow RTD| ON DUTY: Julita"
11FDC_U03,"RAISE LOAD",05/11/2026 7:39:00 AM,84.1,95,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC forecast variation of RTD=-165 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U03,"RAISE LOAD",05/11/2026 7:48:00 AM,95,135,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-211 vs ACTUAL=-253 | ON DUTY: Zoleta"
11FDC_U03,"FOLLOW RTD",05/11/2026 8:45:00 AM,135,135,RTD,"From MOT Raised to Follow RTD| ON DUTY: Zoleta"
11PKBUK_U01,"RAISE LOAD",05/11/2026 2:41:00 PM,0,5.2,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.89Hz from MO forecast variation of RTD=2677 vs ACTUAL=2690 | ON DUTY: Laid"
11PKBUK_U01,"LOWER LOAD",05/11/2026 5:27:00 PM,5.2,3,MOT RAISE,"MOT Raised. Lower load to 3 MW due to frequency = 60.12Hz | RTD Reference =5.2MW| ON DUTY: Laid"
11PKBUK_U01,"FOLLOW RTD",05/11/2026 6:08:00 PM,3,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Laid"
12NACSUR_G01,"RAISE LOAD",05/11/2026 4:27:00 PM,5.5,7,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60Hz from MO forecast variation of RTD=2616 vs ACTUAL=2644 | ON DUTY: Poleran"
12PKSFRA_U01,"RAISE LOAD",05/11/2026 3:24:00 PM,0,5.2,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD=2685 vs ACTUAL=2706 | ON DUTY: Santos"
12PKSFRA_U01,"FOLLOW RTD",05/11/2026 3:40:00 PM,5.2,5.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Santos"
12PKSFRA_U01,"RAISE LOAD",05/11/2026 4:43:00 PM,2.6,3,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60Hz from MO forecast variation of RTD=2605 vs ACTUAL=2628 | ON DUTY: Santos"
12PKSFRA_U01,"FOLLOW RTD",05/11/2026 6:11:00 PM,3,5.2,RTD,"From MOT Lower to Follow RTD| ON DUTY: Santos"
12PKSFRA_U02,"RAISE LOAD",05/11/2026 3:20:00 PM,1.4,5.2,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD=2685 vs ACTUAL=2706 | ON DUTY: Santos"
12PKSFRA_U02,"FOLLOW RTD",05/11/2026 3:40:00 PM,5.2,5.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Santos"
12PKSFRA_U02,"LOWER LOAD",05/11/2026 4:52:00 PM,5.2,3,MOT RAISE,"MOT Raised. Lower load to 3 MW due to frequency = 60.26Hz | RTD Reference =5.2MW| ON DUTY: Santos"
12PKSFRA_U02,"FOLLOW RTD",05/11/2026 6:11:00 PM,3,5.2,RTD,"From MOT Lower to Follow RTD| ON DUTY: Santos"
12TM2_U01,"RAISE LOAD",05/11/2026 3:30:00 PM,0,11.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from MO forecast variation of RTD=2680 vs ACTUAL=2703 | ON DUTY: Ederango"
12TM2_U01,"FOLLOW RTD",05/11/2026 6:18:00 PM,11.5,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Ederango"
12TM2_U02,"ONLINE",05/11/2026 11:01:00 AM,0,9.5,GENERATOR START-UP,"TM2 U2 online as MO Dispatch."
13TM1_U02,"RAISE LOAD",05/11/2026 9:16:00 PM,9.4,30,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz.  | ON DUTY: Pe'a"
13TM1_U02,"LOWER LOAD",05/11/2026 9:41:00 PM,30,15,MOT RAISE,"MOT Raised. Lower load to 15 MW due to frequency = 60.17Hz | RTD Reference =0MW| ON DUTY: Pe'a"
13TM1_U02,"FOLLOW RTD",05/11/2026 9:48:00 PM,15,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pe'a"
14PKPSOC_G01,"RAISE LOAD",05/11/2026 3:14:00 PM,0,21,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=2686 vs ACTUAL=2714 | ON DUTY: Castino"
14PKPSOC_G01,"RAISE LOAD",05/11/2026 3:26:00 PM,21,28,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=2680 vs ACTUAL=2709 | ON DUTY: Castino"
14PKPSOC_G01,"RAISE LOAD",05/11/2026 4:13:00 PM,28,34.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.92Hz.  | ON DUTY: Castino"
14PKPSOC_G01,"LOWER LOAD",05/11/2026 4:46:00 PM,34.9,14,MOT RAISE,"MOT Raised. Lower load to 14 MW due to frequency = 60.25Hz | RTD Reference =0MW| ON DUTY: Castino"
14PKPSOC_G01,"FOLLOW RTD",05/11/2026 4:54:00 PM,14,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Castino"
14SARANG_U01,"LOWER LOAD",05/11/2026 1:09:00 AM,108,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pedrosa"
14SARANG_U01,"FOLLOW RTD",05/11/2026 2:21:00 AM,95,81.7,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedrosa"
14SARANG_U01,"RAISE LOAD",05/11/2026 3:01:00 AM,66.1,75,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-407 vs ACTUAL=-441 | ON DUTY: Pedrosa"
14SARANG_U01,"FOLLOW RTD",05/11/2026 7:26:00 AM,75,61.4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Delfin"
14SARANG_U01,"RAISE LOAD",05/11/2026 7:52:00 AM,74.3,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-228 vs ACTUAL=-253 | ON DUTY: Delfin"
14SARANG_U01,"FOLLOW RTD",05/11/2026 8:50:00 AM,120,115,RTD,"From MOT Raised to Follow RTD| ON DUTY: Delfin"
14SARANG_U02,"FOLLOW RTD",05/11/2026 12:55:00 AM,100,81.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Dopio"
14SARANG_U02,"LOWER LOAD",05/11/2026 1:09:00 AM,86,75,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.47Hz | ON DUTY: Pedrosa"
14SARANG_U02,"FOLLOW RTD",05/11/2026 2:21:00 AM,75,71.5,RTD,"From MOT Lower to Follow RTD| ON DUTY: Pedrosa"
14SARANG_U02,"RAISE LOAD",05/11/2026 3:01:00 AM,53.4,65,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-407 vs ACTUAL=-441 | ON DUTY: Pedrosa"
14SARANG_U02,"RAISE LOAD",05/11/2026 6:04:00 AM,65,75,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz from MO forecast variation of RTD=1854 vs ACTUAL=1866 | ON DUTY: Pedrosa"
14SARANG_U02,"RAISE LOAD",05/11/2026 7:50:00 AM,75,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from HVDC forecast variation of RTD=-228 vs ACTUAL=-253 | ON DUTY: Delfin"
14SARANG_U02,"FOLLOW RTD",05/11/2026 8:50:00 AM,110,121,RTD,"From MOT Raised to Follow RTD| ON DUTY: Delfin"
14SUPKOR_G01,"RAISE LOAD",05/11/2026 3:17:00 PM,5,11,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD=2685 vs ACTUAL=2706 | ON DUTY: Cortel"
14SUPKOR_G01,"FOLLOW RTD",05/11/2026 4:40:00 PM,11,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Cortel"
EOF
