Mindanao System Operations
Dispatch Instruction Report
17Jun2026-17Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"RAISE LOAD",06/17/2026 10:10:00 AM,9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz.  | ON DUTY: Pedong"
09WMPC_U01,"FOLLOW RTD",06/17/2026 5:13:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U02,"MO DISPATCH (RTD)",06/17/2026 3:06:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched."
09WMPC_U02,"RAISE LOAD",06/17/2026 3:41:00 PM,6.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz.  | ON DUTY: Jugo"
09WMPC_U02,"FOLLOW RTD",06/17/2026 5:05:00 PM,10,5.6,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U02,"RAISE LOAD",06/17/2026 5:41:00 PM,2.5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz.  | ON DUTY: Pedong"
09WMPC_U02,"FOLLOW RTD",06/17/2026 7:14:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao"
09WMPC_U03,"MO DISPATCH (RTD)",06/17/2026 3:15:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched."
09WMPC_U03,"RAISE LOAD",06/17/2026 3:41:00 PM,5.3,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz.  | ON DUTY: Jugo"
09WMPC_U03,"FOLLOW RTD",06/17/2026 5:05:00 PM,10,5.6,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U03,"RAISE LOAD",06/17/2026 5:41:00 PM,1.6,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz.  | ON DUTY: Pedong"
09WMPC_U03,"FOLLOW RTD",06/17/2026 7:14:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao"
