Mindanao System Operations
Dispatch Instruction Report
22Jun2026-28Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"RAISE LOAD",06/23/2026 1:47:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD=2520 vs ACTUAL=2535 | "
09WMPC_U01,"FOLLOW RTD",06/23/2026 3:08:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong "
09WMPC_U01,"RAISE LOAD",06/24/2026 9:08:00 AM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from HVDC forecast variation of RTD=-275.3 vs ACTUAL=-294 "
09WMPC_U01,"FOLLOW RTD",06/24/2026 12:07:00 PM,10,2.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U01,"RAISE LOAD",06/24/2026 1:12:00 PM,1.5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from HVDC forecast variation of RTD=-139.9 vs ACTUAL=-157 "
09WMPC_U01,"FOLLOW RTD",06/24/2026 5:05:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U02,"RAISE LOAD",06/22/2026 9:18:00 AM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD=2240 vs ACTUAL=2231 | O "
09WMPC_U02,"FOLLOW RTD",06/22/2026 1:59:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong "
09WMPC_U02,"RAISE LOAD",06/22/2026 5:09:00 PM,4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=60.18Hz from HVDC forecast variation of RTD=-372 vs ACTUAL=-426 | "
09WMPC_U02,"FOLLOW RTD",06/22/2026 9:04:00 PM,10,1.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles "
09WMPC_U02,"RAISE LOAD",06/23/2026 1:07:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD=-327 vs ACTUAL=-360 | "
09WMPC_U02,"FOLLOW RTD",06/23/2026 3:08:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong "
09WMPC_U02,"RAISE LOAD",06/24/2026 1:12:00 PM,1.5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from HVDC forecast variation of RTD=-139.9 vs ACTUAL=-157 "
09WMPC_U02,"FOLLOW RTD",06/24/2026 5:27:00 PM,10,5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U02,"RAISE LOAD",06/24/2026 5:58:00 PM,3.4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.76Hz from HVDC forecast variation of RTD=-418.4 vs ACTUAL=-426 "
09WMPC_U02,"FOLLOW RTD",06/24/2026 9:53:00 PM,10,4.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Nubio "
09WMPC_U02,"RAISE LOAD",06/25/2026 1:28:00 PM,3.6,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from MO forecast variation of RTD=2620 vs ACTUAL=2633 | ON "
09WMPC_U03,"RAISE LOAD",06/22/2026 9:18:00 AM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD=2240 vs ACTUAL=2231 | O "
09WMPC_U03,"FOLLOW RTD",06/22/2026 1:59:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong "
