Mindanao System Operations
Dispatch Instruction Report
29Jun2026-05Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U04,"RAISE LOAD",06/29/2026 1:06:00 PM,4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz.  | ON DUTY: Mapanao "
09WMPC_U04,"FOLLOW RTD",06/29/2026 1:19:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon "
09WMPC_U04,"MO DISPATCH (RTD)",06/29/2026 5:37:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",06/29/2026 8:04:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",06/30/2026 1:49:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",06/30/2026 4:35:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",06/30/2026 6:07:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",06/30/2026 7:02:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",07/01/2026 1:26:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"DECLARED FORCED OUTAGE",07/01/2026 4:32:00 PM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Emergency shutdown due to Cylinder A9 exhaust gas leak. On-duty: Hugo. Unplanned Outage. "
09WMPC_U04,"DECLARED AVAILABLE",07/02/2026 12:05:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from forced outage. "
09WMPC_U04,"DECLARED UNAVAILABLE",07/02/2026 2:40:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared unavailable due to frequent starting failure due to main starting valve air leak. (Forced Outage) "
