Mindanao System Operations
Dispatch Instruction Report
06Jul2026-12Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09PANABNK_U01,"RAISE LOAD",07/08/2026 11:20:00 AM,0,4,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD=-219 vs ACTUAL=-228 | "
09PANABNK_U01,"FOLLOW RTD",07/08/2026 11:56:00 AM,4,4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Baconga "
09PANABNK_U01,"RAISE LOAD",07/10/2026 10:31:00 AM,0,4,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-258 vs ACTUAL=-264 | "
09PANABNK_U01,"FOLLOW RTD",07/10/2026 10:58:00 AM,4,4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Cabrera "
09PANABNK_U02,"RAISE LOAD",07/08/2026 5:23:00 PM,0,4.2,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz from MO forecast variation of RTD=2252 vs ACTUAL=2275 | ON "
09PANABNK_U02,"FOLLOW RTD",07/08/2026 5:47:00 PM,4.2,7.5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Bantilan "
09PANABNK_U02,"RAISE LOAD",07/12/2026 6:03:00 PM,0,4.2,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz.  | ON DUTY: Aguilar "
09PANABNK_U02,"FOLLOW RTD",07/12/2026 7:04:00 PM,4.2,4.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Aguilar "
09WMPC_U01,"FAILED TO CUT - IN",07/06/2026 2:54:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Failed to synchronize due governor oil leak.. "
09WMPC_U01,"DECLARED AVAILABLE",07/06/2026 3:08:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from forced outage. On-duty: Luzon "
09WMPC_U01,"RAISE LOAD",07/09/2026 2:41:00 PM,6.1,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz.  | ON DUTY: Pedong "
09WMPC_U01,"FOLLOW RTD",07/09/2026 3:46:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong "
09WMPC_U03,"MO DISPATCH (RTD)",07/06/2026 2:31:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U03,"MO DISPATCH (RTD)",07/06/2026 4:51:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U03,"MO DISPATCH (RTD)",07/08/2026 8:03:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U03,"MO DISPATCH (RTD)",07/08/2026 9:31:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U03,"DECLARED FORCED OUTAGE",07/09/2026 3:00:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared force outage due to no engine speed reading. On-duty: Hugo
 (Unplanned Outage). "
09WMPC_U03,"DECLARED AVAILABLE",07/09/2026 3:10:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Force Outage. On-duty: Hugo
 (Unplanned Outage). "
09WMPC_U04,"MO DISPATCH (RTD)",07/06/2026 1:04:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",07/06/2026 9:33:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",07/07/2026 9:51:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",07/08/2026 1:10:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U04,"MO DISPATCH (RTD)",07/08/2026 9:59:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
