Mindanao System Operations
Dispatch Instruction Report
25Jul2026-25Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U03,"DECLARED UNAVAILABLE",07/25/2026 6:09:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Unavailable due to HT low pressure stop. (Forced Outage)"
09WMPC_U03,"AVAILABLE",07/25/2026 6:25:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from forced outage."
09WMPC_U03,"RAISE LOAD",07/25/2026 6:36:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from MO forecast variation of RTD=2267 vs ACTUAL=2334   | ON DUTY:  Mapanao"
09WMPC_U03,"FOLLOW RTD",07/25/2026 7:33:00 PM,10,2,RTD,"From MOT Raised to Follow RTD| ON DUTY:  Mapanao"
09WMPC_U04,"DECLARED FORCED OUTAGE",07/25/2026 9:32:00 PM,5,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Shutdown due to cylinder A5 exhaust gas leak . (Forced Outage)"
09WMPC_U05,"RAISE LOAD",07/25/2026 6:36:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from MO forecast variation of RTD=2267 vs ACTUAL=2334   | ON DUTY:  Mapanao"
09WMPC_U05,"FOLLOW RTD",07/25/2026 7:33:00 PM,10,1.9,RTD,"From MOT Raised to Follow RTD| ON DUTY:  Mapanao"
09WMPC_U07,"DECLARED FORCED OUTAGE",07/25/2026 7:01:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Shutdown due to cylinder A3 fuel pump fuel leak . (Forced Outage)"
10AGUS2_U02,"ONLINE",07/25/2026 11:18:00 AM,0,10,GENERATOR START-UP,"Agus 2 U2 HEPP online at 1118H from PMS (GOMP)."
10AGUS2_U03,"RAISE LOAD",07/25/2026 6:13:00 PM,40,50,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.68Hz   | ON DUTY: Micabalo"
10AGUS2_U03,"FOLLOW RTD",07/25/2026 7:13:00 PM,50,40,RTD,"From MOT Raised to Follow RTD| ON DUTY: Micabalo"
10AGUS6_U03,"SHUTDOWN",07/25/2026 6:01:00 AM,49.4,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Agus 6 Unit 3  Shutdown. (OMC outage). ETC: 1200H today."
10AGUS6_U03,"ONLINE",07/25/2026 11:37:00 AM,0,37.5,GENERATOR START-UP,"Agus 6 U3 HEPP online at 1137H from OMC Outage."
10GNPK_U01,"RAISE LOAD",07/25/2026 1:59:00 AM,88.2,100,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD= -361 vs ACTUAL= -426 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",07/25/2026 2:33:00 AM,100,97,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",07/25/2026 2:51:00 AM,77,90,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.75Hz from HVDC forecast variation of RTD= -336 vs ACTUAL= -386 | ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",07/25/2026 3:12:00 AM,90,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD= -294 vs ACTUAL= -345 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",07/25/2026 4:46:00 AM,105,97,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"LOWER LOAD",07/25/2026 5:28:00 AM,109.7,100,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.22Hz from  HVDC forecast variation of RTD= -338 vs ACTUAL=  -274| ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",07/25/2026 5:49:00 AM,100,102,RTD,"From MOT Lower to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",07/25/2026 8:05:00 AM,97,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz  | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 8:38:00 AM,105,95,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"LOWER LOAD",07/25/2026 9:42:00 AM,97,93,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.23Hz from  MO forecast variation of RTD=2011 vs ACTUAL= 1998  | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 9:47:00 AM,93,101,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"RAISE LOAD",07/25/2026 10:37:00 AM,103.5,108,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from HVDC variation of RTD=-245 vs ACTUAL=-274 | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 11:26:00 AM,108,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"RAISE LOAD",07/25/2026 1:00:00 PM,98.5,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from MO variation of RTD=2108 vs ACTUAL=2096 | ON DUTY: Gerenia"
10GNPK_U01,"RAISE LOAD",07/25/2026 1:22:00 PM,110,115,MOT RAISE,"MOT Raise. Raised load to 115MW | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 1:34:00 PM,115,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"LOWER LOAD",07/25/2026 2:33:00 PM,120,115,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.24Hz  from HVDC variation of RTD=-285 vs ACTUAL=-258  | ON DUTY: Gerenia"
10GNPK_U01,"LOWER LOAD",07/25/2026 2:50:00 PM,115,110,MOT LOWER,"MOT Lower. Lower load to 110MW  | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 3:37:00 PM,110,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"LOWER LOAD",07/25/2026 3:56:00 PM,127.5,120,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz  from HVDC variation of RTD=-406 vs ACTUAL=-365  | ON DUTY: Gerenia"
10GNPK_U01,"FOLLOW RTD",07/25/2026 4:27:00 PM,120,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U01,"LOWER LOAD",07/25/2026 7:50:00 PM,138,130,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.25Hz  from MO forecast variation of RTD=2286 vs ACTUAL=2272  | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",07/25/2026 8:25:00 PM,130,136.5,RTD,"From MOT Lower to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"LOWER LOAD",07/25/2026 10:54:00 PM,106.5,100,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.26Hz    | ON DUTY: Limpao"
10GNPK_U01,"LOWER LOAD",07/25/2026 11:52:00 PM,100,90,MOT LOWER,"MOT Lower. Lower load to 90MW    | ON DUTY: Limpao"
10GNPK_U02,"RAISE LOAD",07/25/2026 1:59:00 AM,88.2,100,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from MO forecast variation of RTD= -361 vs ACTUAL= -426 | ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",07/25/2026 2:33:00 AM,100,97,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U02,"RAISE LOAD",07/25/2026 2:51:00 AM,77,90,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.75Hz from MO forecast variation of RTD= -336 vs ACTUAL= -386 | ON DUTY: Limpao"
10GNPK_U02,"RAISE LOAD",07/25/2026 3:12:00 AM,90,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD= -294 vs ACTUAL= -345 | ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",07/25/2026 4:46:00 AM,105,97,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U02,"LOWER LOAD",07/25/2026 5:28:00 AM,107.3,100,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.22Hz from  HVDC forecast variation of RTD= -338 vs ACTUAL=  -274| ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",07/25/2026 5:34:00 AM,100,110,RTD,"From MOT Lower to Follow RTD| ON DUTY: Limpao"
10GNPK_U02,"RAISE LOAD",07/25/2026 8:05:00 AM,97,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz  | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 8:38:00 AM,105,95,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"LOWER LOAD",07/25/2026 9:42:00 AM,96,93,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.23Hz from  MO forecast variation of RTD=2011 vs ACTUAL= 1998  | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 9:47:00 AM,93,101,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"RAISE LOAD",07/25/2026 10:37:00 AM,103.5,108,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from HVDC variation of RTD=-245 vs ACTUAL=-274 | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 11:26:00 AM,108,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"RAISE LOAD",07/25/2026 1:00:00 PM,98.5,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from MO variation of RTD=2108 vs ACTUAL=2096 | ON DUTY: Gerenia"
10GNPK_U02,"RAISE LOAD",07/25/2026 1:22:00 PM,110,115,MOT RAISE,"MOT Raise. Raised load to 115MW | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 1:34:00 PM,115,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"LOWER LOAD",07/25/2026 2:33:00 PM,119,115,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.24Hz  from HVDC variation of RTD=-285 vs ACTUAL=-258  | ON DUTY: Gerenia"
10GNPK_U02,"LOWER LOAD",07/25/2026 2:50:00 PM,115,110,MOT LOWER,"MOT Lower. Lower load to 110MW  | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 3:37:00 PM,110,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"LOWER LOAD",07/25/2026 3:56:00 PM,120,110,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz  from HVDC variation of RTD=-406 vs ACTUAL=-365  | ON DUTY: Gerenia"
10GNPK_U02,"FOLLOW RTD",07/25/2026 4:27:00 PM,110,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U02,"LOWER LOAD",07/25/2026 7:50:00 PM,125,120,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.25Hz  from MO forecast variation of RTD=2286 vs ACTUAL=2272  | ON DUTY: Limpao"
10GNPK_U02,"FOLLOW RTD",07/25/2026 8:25:00 PM,120,125,RTD,"From MOT Lower to Follow RTD| ON DUTY: Limpao"
10GNPK_U02,"LOWER LOAD",07/25/2026 10:54:00 PM,106.5,100,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.26Hz    | ON DUTY: Limpao"
10GNPK_U02,"LOWER LOAD",07/25/2026 11:52:00 PM,100,90,MOT LOWER,"MOT Lower. Lower load to 90MW    | ON DUTY: Limpao"
10GNPK_U03,"RAISE LOAD",07/25/2026 8:05:00 AM,97,105,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz  | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 8:38:00 AM,105,95,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"LOWER LOAD",07/25/2026 9:42:00 AM,98,93,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.23Hz from  MO forecast variation of RTD=2011 vs ACTUAL= 1998  | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 9:47:00 AM,93,102,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"RAISE LOAD",07/25/2026 10:37:00 AM,103.5,108,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from HVDC variation of RTD=-245 vs ACTUAL=-274 | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 11:26:00 AM,108,102,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"RAISE LOAD",07/25/2026 1:00:00 PM,98.5,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz  from MO variation of RTD=2108 vs ACTUAL=2096 | ON DUTY: Gerenia"
10GNPK_U03,"RAISE LOAD",07/25/2026 1:22:00 PM,110,115,MOT RAISE,"MOT Raise. Raised load to 115MW | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 2:01:00 PM,115,108,RTD,"From MOT Raised to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"LOWER LOAD",07/25/2026 2:33:00 PM,120,115,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.24Hz  from HVDC variation of RTD=-285 vs ACTUAL=-258  | ON DUTY: Gerenia"
10GNPK_U03,"LOWER LOAD",07/25/2026 2:50:00 PM,115,110,MOT LOWER,"MOT Lower. Lower load to 110MW  | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 3:37:00 PM,110,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"LOWER LOAD",07/25/2026 3:56:00 PM,131.2,120,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.27Hz  from HVDC variation of RTD=-406 vs ACTUAL=-365  | ON DUTY: Gerenia"
10GNPK_U03,"FOLLOW RTD",07/25/2026 4:27:00 PM,120,120,RTD,"From MOT Lower to Follow RTD| ON DUTY: Gerenia"
10GNPK_U03,"LOWER LOAD",07/25/2026 7:50:00 PM,138,130,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.25Hz  from MO forecast variation of RTD=2286 vs ACTUAL=2272  | ON DUTY: Limpao"
