Mindanao System Operations
Dispatch Instruction Report
27Jul2026-02Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09PANABNK_U01,"RAISE LOAD",07/28/2026 1:29:00 PM,0,3.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz. from MO forecast variation of RTD= 2386 vs ACTUAL= 2409  "
09PANABNK_U01,"FOLLOW RTD",07/28/2026 2:14:00 PM,3.5,4,RTD,"From MOT Raised to Follow RTD| ON DUTY: Baconga "
09PANABNK_U02,"RAISE LOAD",07/28/2026 5:29:00 PM,0,4,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD= 2269 vs ACTUAL= 2312 | "
09PANABNK_U02,"FOLLOW RTD",07/28/2026 5:55:00 PM,4,4.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Baconga "
09WMPC_U01,"MO DISPATCH (RTD)",07/27/2026 3:36:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U01,"MO DISPATCH (RTD)",07/27/2026 7:38:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U01,"RAISE LOAD",07/29/2026 1:39:00 PM,3.4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.66Hz  | ON DUTY: <Llera "
09WMPC_U01,"FOLLOW RTD",07/29/2026 2:32:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles "
09WMPC_U01,"RAISE LOAD",07/29/2026 2:52:00 PM,2.1,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz from  HVDC variation of RTD=-259 vs ACTUAL=-284  | ON DUT "
09WMPC_U01,"FOLLOW RTD",07/29/2026 9:11:00 PM,10,3.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles "
09WMPC_U01,"RAISE LOAD",07/31/2026 6:16:00 PM,4.9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz.  | ON DUTY: Angeles "
09WMPC_U01,"FOLLOW RTD",07/31/2026 6:47:00 PM,10,2.5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles "
09WMPC_U01,"RAISE LOAD",07/31/2026 6:58:00 PM,3.4,10,MOT RAISE,"MOT constrained ON due to forced outage of SEC1  | ON DUTY: Kho "
09WMPC_U01,"FOLLOW RTD",07/31/2026 7:44:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho "
09WMPC_U01,"RAISE LOAD",08/02/2026 6:22:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from MO forecast variation of RTD=2306 vs ACTUAL=2316 | O "
09WMPC_U01,"FOLLOW RTD",08/02/2026 6:43:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao "
09WMPC_U01,"TRIPPED",08/02/2026 6:43:00 PM,9.8,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Auto-tripped. Cause: Generator driving and bearing high temp. "
09WMPC_U01,"AVAILABLE",08/02/2026 11:00:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from forced outage. "
09WMPC_U02,"MO DISPATCH (RTD)",07/27/2026 5:56:00 PM,0,10,GENERATOR START-UP,"Online as MO Dispatched. "
09WMPC_U02,"MO DISPATCH (RTD)",07/27/2026 7:36:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U02,"MO DISPATCH (RTD)",07/29/2026 9:26:00 PM,10,0,GENERATOR SHUTDOWN,"Shutdown from MO Dispatched. "
09WMPC_U02,"RAISE LOAD",07/31/2026 10:08:00 AM,4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD=-318.6 vs ACTUAL=-334 "
09WMPC_U02,"FOLLOW RTD",07/31/2026 11:06:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles "
09WMPC_U02,"RAISE LOAD",07/31/2026 12:25:00 PM,0.1,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from HVDC forecast variation of RTD=-316.3 vs ACTUAL=-334 "
09WMPC_U02,"FOLLOW RTD",07/31/2026 1:20:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Agting "
09WMPC_U02,"ONLINE AS MRU",08/02/2026 7:55:00 AM,0,10,THERMAL LIMITS,"Utilized/Dispatched MRU to mitigate possible voltage sensitive load disengagement during N-2 condition while planned outage of Kau "
