Mindanao System Operations
Dispatch Instruction Report
03Aug2026-09Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09JIMDSL_U01,"RAISE LOAD",08/04/2026 3:34:00 PM,0,7.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-303 vs ACTUAL=-350 |  "
09JIMDSL_U01,"FOLLOW RTD",08/04/2026 10:54:00 PM,7.5,7.6,RTD,"From MOT Raised to Follow RTD| ON DUTY: Aguilar "
09JIMDSL_U01,"UTILIZED AS DR",08/06/2026 2:05:00 PM,0,7.5,DISPATCHABLE RESERVE,"Utilized/Dispatched DR due to HVDC forecast variation of RTD=-180 vs ACTUAL=-226. Visayas needed HVDC export, no more plants to MO "
09JIMDSL_U01,"END OF DR",08/06/2026 11:04:00 PM,7.5,7.6,DISPATCHABLE RESERVE,"End of Dispatchable Reserve and to follow RTD as Market Dispatched. On duty: Aguilar. Time of call: 23:04H "
09JIMDSL_U01,"RAISE LOAD",08/08/2026 1:45:00 PM,0,7.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC variation of RTD = -173 ACTUAL= -263 | ON DUTY: "
09JIMDSL_U01,"FOLLOW RTD",08/08/2026 9:12:00 PM,7.5,7.6,RTD,"From MOT Raise to Follow RTD| ON DUTY: Bantilan "
09JIMDSL_U02,"RAISE LOAD",08/04/2026 3:34:00 PM,0,8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-303 vs ACTUAL=-350 |  "
09JIMDSL_U02,"FOLLOW RTD",08/04/2026 10:54:00 PM,8,8.2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Aguilar "
09JIMDSL_U02,"UTILIZED AS DR",08/06/2026 2:05:00 PM,0,8,DISPATCHABLE RESERVE,"Utilized/Dispatched DR due to HVDC forecast variation of RTD=-180 vs ACTUAL=-226. Visayas needed HVDC export, no more plants to MO "
09JIMDSL_U02,"END OF DR",08/06/2026 11:04:00 PM,8,8.2,DISPATCHABLE RESERVE,"End of Dispatchable Reserve and to follow RTD as Market Dispatched. On duty: Aguilar. Time of call: 23:04H "
09JIMDSL_U02,"RAISE LOAD",08/08/2026 1:45:00 PM,0,8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.79Hz from HVDC variation of RTD = -173 ACTUAL= -263 | ON DUTY: "
09JIMDSL_U02,"FOLLOW RTD",08/08/2026 9:12:00 PM,8,8,RTD,"From MOT Raise to Follow RTD| ON DUTY: Bantilan "
09PANABNK_U01,"RAISE LOAD",08/04/2026 3:34:00 PM,0,7.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-303 vs ACTUAL=-350 |  "
09PANABNK_U01,"FOLLOW RTD",08/04/2026 10:54:00 PM,7.5,7.5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Aguilar "
09PANABNK_U02,"RAISE LOAD",08/04/2026 3:34:00 PM,0,7.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.8Hz from HVDC forecast variation of RTD=-303 vs ACTUAL=-350 |  "
09PANABNK_U02,"FOLLOW RTD",08/04/2026 10:54:00 PM,7.5,7.5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Aguilar "
