Mindanao System Operations
Dispatch Instruction Report
21Aug2026-21Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"RAISE LOAD",08/21/2026 4:33:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from HVDC forecast variation of RTD=-427 vs ACTUAL=-456 | ON DUTY: Angeles"
09WMPC_U01,"FOLLOW RTD",08/21/2026 6:59:00 PM,10,9.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U03,"RAISE LOAD",08/21/2026 4:33:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from HVDC forecast variation of RTD=-427 vs ACTUAL=-456 | ON DUTY: Angeles"
09WMPC_U03,"FOLLOW RTD",08/21/2026 6:59:00 PM,10,9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U05,"RAISE LOAD",08/21/2026 4:33:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from HVDC forecast variation of RTD=-427 vs ACTUAL=-456 | ON DUTY: Angeles"
09WMPC_U05,"FOLLOW RTD",08/21/2026 6:59:00 PM,10,9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U06,"RAISE LOAD",08/21/2026 2:38:00 PM,3,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.88Hz from HVDC forecast variation of RTD=-241 vs ACTUAL=-284 | ON DUTY: Banaag"
09WMPC_U06,"FOLLOW RTD",08/21/2026 3:05:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Banaag"
10AGUS1_U01,"SHUTDOWN",08/21/2026 8:07:00 AM,22,0,GENERATOR SHUTDOWN,"Shutdown PMS-GOMP. ETC: August 25, 2026. (Planned Outage)"
10AGUS6_U02,"SHUTDOWN",08/21/2026 9:01:00 AM,15,0,GENERATOR SHUTDOWN,"Shutdown PMS-GOMP. ETC: August 30, 2026. (Planned Outage)"
10GNPK_U01,"LOWER LOAD",08/21/2026 2:19:00 AM,102,90,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.28Hz.  | ON DUTY: Marci"
10GNPK_U01,"FOLLOW RTD",08/21/2026 2:59:00 AM,90,102,RTD,"From MOT Lower to Follow RTD| ON DUTY: Marci"
10GNPK_U01,"RAISE LOAD",08/21/2026 3:05:00 AM,102,110,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.74Hz.  | ON DUTY: Marci"
10GNPK_U01,"FOLLOW RTD",08/21/2026 4:18:00 AM,110,112,RTD,"From MOT Raised to Follow RTD| ON DUTY: Marci"
10GNPK_U01,"LOWER LOAD",08/21/2026 4:23:00 AM,107,95,MOT LOWER,"MOT constrained OFF due to Low actual system demand at frequency=60.12Hz.  | ON DUTY: Marci"
10GNPK_U01,"FOLLOW RTD",08/21/2026 5:00:00 AM,95,102,RTD,"From MOT Lower to Follow RTD| ON DUTY: Marci"
10GNPK_U01,"RAISE LOAD",08/21/2026 8:21:00 AM,93.7,103,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from HVDC forecast variation of RTD=-144 vs ACTUAL=-173 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",08/21/2026 9:56:00 AM,103,102.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",08/21/2026 10:08:00 AM,106.2,116,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.89Hz from HVDC forecast variation of RTD=-133 vs ACTUAL=-152 | ON DUTY: Limpao"
10GNPK_U01,"RAISE LOAD",08/21/2026 10:54:00 AM,116,126,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.87Hz from HVDC forecast variation of RTD=-100 vs ACTUAL=-152 | ON DUTY: Limpao"
10GNPK_U01,"FOLLOW RTD",08/21/2026 12:22:00 PM,126,111.1,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
