Mindanao System Operations
Dispatch Instruction Report
01Sep2026-01Sep2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U03,"FOLLOW RTD",09/01/2026 12:12:00 AM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U03,"RAISE LOAD",09/01/2026 12:26:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from HVDC forecast variation of RTD=-47 vs ACTUAL=-80 | ON DUTY: Kho"
09WMPC_U03,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U03,"RAISE LOAD",09/01/2026 11:23:00 PM,5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from HVDC forecast variation of RTD=-249 vs ACTUAL=-274 | ON DUTY: Angeles"
09WMPC_U03,"FOLLOW RTD",09/01/2026 11:43:00 PM,10,2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U04,"FOLLOW RTD",09/01/2026 12:12:00 AM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U04,"RAISE LOAD",09/01/2026 9:20:00 AM,9,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz.  | ON DUTY: Kho"
09WMPC_U04,"FOLLOW RTD",09/01/2026 10:34:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U05,"TRIPPED",09/01/2026 12:07:00 AM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Tripped due to Turbo charger vibration at A-Bank. (Forced Outage)"
09WMPC_U05,"FOLLOW RTD",09/01/2026 12:07:00 AM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U05,"AVAILABLE",09/01/2026 2:10:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage."
09WMPC_U05,"RAISE LOAD",09/01/2026 12:26:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from HVDC forecast variation of RTD=-47 vs ACTUAL=-80 | ON DUTY: Kho"
09WMPC_U05,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U05,"RAISE LOAD",09/01/2026 11:23:00 PM,5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from HVDC forecast variation of RTD=-249 vs ACTUAL=-274 | ON DUTY: Angeles"
09WMPC_U05,"FOLLOW RTD",09/01/2026 11:43:00 PM,10,1.6,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U06,"FOLLOW RTD",09/01/2026 12:12:00 AM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U06,"RAISE LOAD",09/01/2026 12:26:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from HVDC forecast variation of RTD=-47 vs ACTUAL=-80 | ON DUTY: Kho"
09WMPC_U06,"FOLLOW RTD",09/01/2026 5:03:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U06,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U06,"RAISE LOAD",09/01/2026 11:23:00 PM,5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.83Hz from HVDC forecast variation of RTD=-249 vs ACTUAL=-274 | ON DUTY: Angeles"
09WMPC_U06,"FOLLOW RTD",09/01/2026 11:43:00 PM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Angeles"
09WMPC_U07,"AVAILABLE",09/01/2026 11:20:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Jugo"
09WMPC_U07,"RAISE LOAD",09/01/2026 12:26:00 PM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.73Hz from HVDC forecast variation of RTD=-47 vs ACTUAL=-80 | ON DUTY: Kho"
09WMPC_U07,"DECLARED FORCED OUTAGE",09/01/2026 12:50:00 PM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared F.O. due to engine overspeed alarm
 On-duty: Nubio"
09WMPC_U07,"AVAILABLE",09/01/2026 2:50:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Kho"
09WMPC_U07,"RAISE LOAD",09/01/2026 3:59:00 PM,6,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.89Hz from MO forecast variation of RTD=2571 vs ACTUAL=2588 | ON DUTY: Kho"
09WMPC_U07,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U08,"AVAILABLE",09/01/2026 9:05:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Jugo"
09WMPC_U08,"RAISE LOAD",09/01/2026 9:16:00 AM,50,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.81Hz from MO forecast variation of RTD=2251 vs ACTUAL=2279 | ON DUTY: Kho"
09WMPC_U08,"FOLLOW RTD",09/01/2026 10:34:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U08,"DECLARED FORCED OUTAGE",09/01/2026 1:38:00 PM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared F.O. due to generator non-driving end bearing high temp shutdown
 On-duty: Nubio"
09WMPC_U08,"AVAILABLE",09/01/2026 2:00:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Jugo"
09WMPC_U08,"RAISE LOAD",09/01/2026 2:27:00 PM,1.5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz from MO forecast variation of RTD=2583 vs ACTUAL=2638 | ON DUTY: Kho"
09WMPC_U08,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U09,"RAISE LOAD",09/01/2026 9:02:00 AM,5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=2212 vs ACTUAL=2241 | ON DUTY: Kho"
09WMPC_U09,"FOLLOW RTD",09/01/2026 10:34:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U09,"DECLARED FORCED OUTAGE",09/01/2026 1:53:00 PM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared F.O. due to HT low pressure stop
 On-duty: Nubio"
09WMPC_U09,"AVAILABLE",09/01/2026 2:02:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Kho"
09WMPC_U09,"RAISE LOAD",09/01/2026 2:27:00 PM,6.1,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.84Hz from MO forecast variation of RTD=2583 vs ACTUAL=2638 | ON DUTY: Kho"
09WMPC_U09,"FOLLOW RTD",09/01/2026 5:07:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
09WMPC_U10,"FOLLOW RTD",09/01/2026 12:12:00 AM,10,0,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U10,"RAISE LOAD",09/01/2026 9:02:00 AM,5,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=2212 vs ACTUAL=2241 | ON DUTY: Kho"
09WMPC_U10,"FOLLOW RTD",09/01/2026 10:34:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Kho"
10AGUS4_U03,"RAISE LOAD",09/01/2026 1:21:00 PM,40,50,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from MO forecast variation of RTD=2546 vs ACTUAL=2623 | ON DUTY: Pacturanan"
10AGUS4_U03,"FOLLOW RTD",09/01/2026 11:33:00 PM,50,40,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pacturanan"
10AGUS5_U02,"SHUTDOWN",09/01/2026 8:05:00 AM,14,0,GENERATOR SHUTDOWN,"Agus 5 Unit 2 shutdown (GOMP/Planned Outage). On-duty: Fernandez"
10AGUS6_U01,"RAISE LOAD",09/01/2026 1:23:00 PM,22.8,34.5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.78Hz from MO forecast variation of RTD=2546 vs ACTUAL=2623 | ON DUTY: Pacturanan"
10AGUS6_U01,"FOLLOW RTD",09/01/2026 1:45:00 PM,34.5,34.5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pacturanan"
10GNPK_U03,"RAISE LOAD",09/01/2026 7:12:00 AM,121,136,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz.  | ON DUTY: Limpao"
10GNPK_U03,"FOLLOW RTD",09/01/2026 12:54:00 PM,136,135.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U04,"RAISE LOAD",09/01/2026 7:12:00 AM,120,123,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz.  | ON DUTY: Limpao"
10GNPK_U04,"FOLLOW RTD",09/01/2026 8:02:00 AM,123,128,RTD,"From MOT Raised to Follow RTD| ON DUTY: Limpao"
10GNPK_U04,"UTILIZED AS "CR"",09/01/2026 9:38:00 AM,121.5,138,CONTINGENCY RESERVE,"Utilized/Dispatched CR due to MO forecast variation of RTD=2312 vs ACTUAL=2342 | ON DUTY: Limpao"
10GNPK_U04,"FOLLOW RTD",09/01/2026 2:20:00 PM,138,138,RTD,"From utilizing/dispatch CR to Follow RTD| ON DUTY: Limpao"
10IDP1_U03,"RAISE LOAD",09/01/2026 9:42:00 AM,3.5,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U03,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.9,4.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U04,"RAISE LOAD",09/01/2026 9:42:00 AM,2.5,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U04,"DECLARED FORCED OUTAGE",09/01/2026 10:37:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared forced outage due to No RPM Response / End MOTR (Follow RTD) | ON DUTY: Nubio"
10IDP1_U04,"AVAILABLE",09/01/2026 11:10:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Nubio"
10IDP1_U04,"RAISE LOAD",09/01/2026 11:11:00 AM,0,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2462 vs ACTUAL=2487 | ON DUTY: Nubio"
10IDP1_U04,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.9,4.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U05,"RAISE LOAD",09/01/2026 9:42:00 AM,2.5,4.8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U05,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.8,4.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U07,"RAISE LOAD",09/01/2026 9:42:00 AM,2.5,5,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U07,"FOLLOW RTD",09/01/2026 10:10:00 PM,5,5,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U08,"RAISE LOAD",09/01/2026 9:42:00 AM,2.5,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U08,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.9,4.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U09,"RAISE LOAD",09/01/2026 9:42:00 AM,2.5,4.8,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U09,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.8,4.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
10IDP1_U11,"AVAILABLE",09/01/2026 7:00:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Tanghal"
10IDP1_U11,"RAISE LOAD",09/01/2026 9:42:00 AM,1.6,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.86Hz from MO forecast variation of RTD=2325 vs ACTUAL=2361 | ON DUTY: Jalova"
10IDP1_U11,"DECLARED FORCED OUTAGE",09/01/2026 10:37:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared forced outage due to No RPM Response / End MOTR (Follow RTD) | ON DUTY: Nubio"
10IDP1_U11,"AVAILABLE",09/01/2026 11:45:00 AM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Declared available from Forced Outage. On-duty: Nubio"
10IDP1_U11,"RAISE LOAD",09/01/2026 11:47:00 AM,0,4.9,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.85Hz from MO forecast variation of RTD=2466 vs ACTUAL=2489 | ON DUTY: Nubio"
10IDP1_U11,"FOLLOW RTD",09/01/2026 10:10:00 PM,4.9,4.9,RTD,"From MOT Raised to Follow RTD| ON DUTY: Luzon"
