Visayas System Operations
Dispatch Instruction Report
13Apr2026-19Apr2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/13/2026 6:17:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in, as SO dispatch under Market Suspension; RTD = 1 MW"
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/13/2026 10:07:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in, as SO dispatch under Market Suspension; RTD = 10.9 MW"
04CLBYBNK_G01,"FOLLOW RTD",04/13/2026 11:49:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN at 0 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/14/2026 10:16:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in, as SO dispatch under Market Suspension; RTD =10.9 MW"
04CLBYBNK_G01,"FOLLOW RTD",04/14/2026 11:13:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advised to follow RTD-EN=0 MW from SO dispatch under Market Suspension."
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/15/2026 8:27:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in with RTD-EN of 5.52 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"FOLLOW RTD",04/15/2026 10:26:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN at 0 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/16/2026 3:26:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in with RTD-EN of 10.9 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"ADVISE TO CUT - IN",04/16/2026 4:26:00 PM,0,10.9,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in unit as SO dispatch under Market Suspension due to limited power support from Luzon and Mindanao grid as verified"
04CLBYBNK_G01,"ADVICE TO CUT OUT",04/16/2026 7:23:00 PM,10.9,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out unit as SO dispatch under Market Suspension; RTD-EN=10.9"
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/16/2026 7:57:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in with RTD-EN of 7.5 MW as SO dispatch under Market Suspension"
04IASMOD_G01,"ADVISE NOT TO CUT - IN",04/13/2026 10:43:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in, as SO dispatch under Market Suspension; RTD =5.1 MW"
04IASMOD_G01,"FOLLOW RTD",04/13/2026 11:54:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN at 0 MW as SO dispatch under Market Suspension"
04IASMOD_G01,"ADVISE NOT TO CUT - IN",04/14/2026 10:06:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in, as SO dispatch under Market Suspension; RTD =10 MW"
04IASMOD_G01,"ADVISE TO CUT - IN",04/16/2026 4:23:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in unit as SO dispatch under Market Suspension due to limited power support from Luzon and Mindanao grid as verified"
04IASMOD_G01,"LOWER LOAD",04/16/2026 4:37:00 PM,10,5,MARKET INTERVENTION/SUSPENSION,"Advise to lower load as SO dispatch under Market Suspension; Real Power Balancing"
