Visayas System Operations
Dispatch Instruction Report
27Apr2026-03May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"FOLLOW RTD",04/27/2026 12:21:00 AM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN = 0 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"ADVISE TO CUT - IN",04/28/2026 2:56:00 PM,0,10.9,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 6.4 MW; RM = 4.5 MW; Cut-in time 1506H"
04CLBYBNK_G01,"ADVISE TO CUT - OUT",04/28/2026 3:20:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 7.5MW; RM = 3.4MW; Cut-out time 1524H"
04CLBYBNK_G01,"ADVISE NOT TO CUT - IN",04/28/2026 6:22:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in as SO dispatch under Market Suspension; RTD-EN = 7.5 MW; RM = 3.4 MW"
04CLBYBNK_G01,"FOLLOW RTD",04/28/2026 11:50:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN at 0 MW as SO dispatch under Market Suspension"
04CLBYBNK_G01,"ADVISE TO CUT IN",04/29/2026 11:32:00 AM,0,11,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension; (RTD=0). Real power balancing. Cut-in: 1140H"
04CLBYBNK_G01,"ADVICE TO CUT OUT",04/29/2026 12:07:00 PM,11,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out unit as SO dispatch under Market Suspension; (RTD=0)"
04CLBYBNK_G01,"LIFTED",05/01/2026 12:01:00 AM,0,0,MARKET INTERVENTION/SUSPENSION,"ERC has lifted the market suspension for Luzon, Visayas and Mindanao Grids today at 1948H. Market Operations will resume starting "
04CLBYBNK_G01,"ADVISED TO CUT IN",05/01/2026 2:19:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1428H."
04CLBYBNK_G01,"FOLLOW RTD",05/01/2026 3:01:00 PM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",05/01/2026 3:43:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1550H."
04CLBYBNK_G01,"FOLLOW RTD",05/01/2026 4:21:00 PM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G01,"ADVISE TO CUT - IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; RM = 10 MW; Cut-in time 1456H"
04IASMOD_G01,"FOLLOW RTD",04/28/2026 3:18:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; RM = 10MW; Cut-out time 1520H"
04IASMOD_G01,"ADVISE NOT TO CUT - IN",04/28/2026 3:22:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in as SO dispatch under Market Suspension; RTD-EN = 10 MW; RM = 10 MW"
04IASMOD_G01,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:45:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; CR = 10 MW; RTD = 0MW"
04IASMOD_G01,"ADVISE TO CUT - OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G01,"ADVISE TO CUT - IN",04/29/2026 3:28:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; RM = 1 MW; Cut-in time 1533H"
04IASMOD_G01,"ADVISE TO CUT - OUT",04/29/2026 7:01:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; DR = 10 MW; Cut-out time 1902H"
04IASMOD_G01,"LIFTED",05/01/2026 12:01:00 AM,0,0,MARKET INTERVENTION/SUSPENSION,"ERC has lifted the market suspension for Luzon, Visayas and Mindanao Grids today at 1948H. Market Operations will resume starting "
04IASMOD_G01,"ADVISED TO CUT - IN",05/01/2026 3:13:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1514H."
04IASMOD_G01,"FOLLOW RTD",05/01/2026 3:46:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G01,"ADVISED TO CUT IN",05/01/2026 4:21:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1622H."
04IASMOD_G01,"FOLLOW RTD",05/01/2026 5:36:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT - IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 10 MW; Cut-in time 1456H"
04IASMOD_G02,"ADVISE TO CUT - OUT",04/28/2026 3:13:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 10MW; Cut-out time 1515H"
04IASMOD_G02,"ADVISE TO CUT - OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G02,"ADVISE TO CUT - IN",04/29/2026 3:28:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 10 MW; Cut-in time 1533H"
04IASMOD_G02,"ADVISE TO CUT - OUT",04/29/2026 6:59:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; CR = 10 MW; Cut-out time 1900H"
04IASMOD_G02,"LIFTED",05/01/2026 12:01:00 AM,0,0,MARKET INTERVENTION/SUSPENSION,"ERC has lifted the market suspension for Luzon, Visayas and Mindanao Grids today at 1948H. Market Operations will resume starting "
04IASMOD_G02,"ADVISED TO CUT - IN",05/01/2026 3:13:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1514H."
04IASMOD_G02,"FOLLOW RTD",05/01/2026 3:46:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",05/01/2026 4:21:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1622H."
04IASMOD_G02,"FOLLOW RTD",05/01/2026 5:36:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT - IN",04/28/2026 2:51:00 PM,0,15,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 15 MW; Cut-in time 1458H"
04IASMOD_G03,"ADVISE TO CUT - OUT",04/28/2026 3:08:00 PM,15,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 16MW; Cut-out time 1510H"
04IASMOD_G03,"ADVISE TO CUT - OUT",04/28/2026 3:13:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 10MW; Cut-out time 1515H"
04IASMOD_G03,"ADVISE TO CUT - OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G03,"ADVISE TO CUT - IN",04/29/2026 3:28:00 PM,0,15,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 15 MW; Cut-in time 1540H"
04IASMOD_G03,"ADVISE TO CUT - OUT",04/29/2026 6:54:00 PM,15,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; CR = 15 MW; Cut-out time 1855H"
04IASMOD_G03,"LIFTED",05/01/2026 12:01:00 AM,0,0,MARKET INTERVENTION/SUSPENSION,"ERC has lifted the market suspension for Luzon, Visayas and Mindanao Grids today at 1948H. Market Operations will resume starting "
04IASMOD_G03,"ADVISED TO CUT - IN",05/01/2026 3:13:00 PM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1514H."
04IASMOD_G03,"FOLLOW RTD",05/01/2026 3:46:00 PM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",05/01/2026 4:21:00 PM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1622H."
04IASMOD_G03,"FOLLOW RTD",05/01/2026 5:36:00 PM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
