Visayas System Operations
Dispatch Instruction Report
28Apr2026-28Apr2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISE TO CUT-IN",04/28/2026 2:56:00 PM,0,10.9,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 6.4 MW; RM = 4.5 MW; Cut-in time 1506H"
04CLBYBNK_G01,"ADVISE TO CUT-OUT",04/28/2026 3:20:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 7.5MW; RM = 3.4MW; Cut-out time 1524H"
04CLBYBNK_G01,"ADVISE NOT TO CUT-IN",04/28/2026 6:22:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in as SO dispatch under Market Suspension; RTD-EN = 7.5 MW; RM = 3.4 MW"
04CLBYBNK_G01,"FOLLOW RTD",04/28/2026 11:50:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD-EN at 0 MW as SO dispatch under Market Suspension"
04IASMOD_G01,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; RM = 10 MW; Cut-in time 1456H"
04IASMOD_G01,"FOLLOW RTD",04/28/2026 3:18:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; RM = 10MW; Cut-out time 1520H"
04IASMOD_G01,"ADVISE NOT TO CUT-IN",04/28/2026 3:22:00 PM,0,0,MARKET INTERVENTION/SUSPENSION,"Advise not to cut-in as SO dispatch under Market Suspension; RTD-EN = 10 MW; RM = 10 MW"
04IASMOD_G01,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:45:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; CR = 10 MW; RTD = 0MW"
04IASMOD_G01,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G02,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 10 MW; Cut-in time 1456H"
04IASMOD_G02,"ADVISE TO CUT-OUT",04/28/2026 3:13:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 10MW; Cut-out time 1515H"
04IASMOD_G02,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G03,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,15,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 15 MW; Cut-in time 1458H"
04IASMOD_G03,"ADVISE TO CUT-OUT",04/28/2026 3:08:00 PM,15,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 16MW; Cut-out time 1510H"
04IASMOD_G03,"ADVISE TO CUT-OUT",04/28/2026 3:13:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 10MW; Cut-out time 1515H"
04IASMOD_G03,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1903H"
04IASMOD_G04,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 10 MW; Cut-in time 1500H"
04IASMOD_G04,"ADVISE TO CUT-OUT",04/28/2026 3:13:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 10MW; Cut-out time 1514H"
04IASMOD_G04,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1904H"
04IASMOD_G05,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,15,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; CR = 15 MW; Cut-in time 1503H"
04IASMOD_G05,"ADVISE TO CUT-OUT",04/28/2026 3:08:00 PM,15,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 16MW; Cut-out time 1510H"
04IASMOD_G05,"ADVISE TO CUT-OUT",04/28/2026 3:13:00 PM,15,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; CR = 15MW; Cut-out time 1514H"
04IASMOD_G05,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,0.2,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1904H"
04IASMOD_G06,"ADVISE TO CUT-IN",04/28/2026 2:51:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension for Real Power Balancing; RTD = 0 MW; RR = 10 MW; Cut-in time 1503H"
04IASMOD_G06,"ADVISE TO CUT-OUT",04/28/2026 3:10:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0MW; RR = 10MW; Cut-out time 1511H"
04IASMOD_G06,"ADVISE TO CUT-OUT",04/28/2026 7:02:00 PM,5,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 0 MW; RM = 0 MW; Cut-out time 1904H"
05CARMENDPP_U01,"ADVISE TO CUT IN",04/28/2026 1:19:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension; (RTD=10). Real power balancing. Cut-in: 1328H"
05CARMENDPP_U01,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:11:00 PM,6,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 0MW; RTD = 6MW"
05CARMENDPP_U01,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:27:00 PM,10,6,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 0MW; RTD = 10MW"
05CARMENDPP_U01,"ADVISE TO CONTINUE RUNNING",04/28/2026 5:07:00 PM,10,6,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 10MW; RTD = 0MW"
05CARMENDPP_U01,"ADVISE TO CONTINUE RUNNING",04/28/2026 5:52:00 PM,6,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 9.4MW; RTD = 0.6MW"
05CARMENDPP_U01,"ADVISE TO CUT-OUT",04/28/2026 8:29:00 PM,10,0,MARKET INTERVENTION/SUSPENSION,"Advise to cut-out; RTD = 10 MW; RM = 0 MW; Cut-out time 2031H"
05CARMENDPP_U02,"ADVISE TO CUT IN",04/28/2026 1:19:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in as SO dispatch under Market Suspension; (RTD=10). Real power balancing. Cut-in: 1327H"
05CARMENDPP_U02,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:11:00 PM,6,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 0MW; RTD = 6MW"
05CARMENDPP_U02,"ADVISE TO CONTINUE RUNNING",04/28/2026 3:27:00 PM,10,6,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 0MW; RTD = 10MW"
05CARMENDPP_U02,"ADVISE TO CONTINUE RUNNING",04/28/2026 5:07:00 PM,10,6,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 10MW; RTD = 0MW"
05CARMENDPP_U02,"ADVISE TO CONTINUE RUNNING",04/28/2026 5:52:00 PM,6,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running under Market Suspension for Real Power Balancing; RM = 9.4MW; RTD = 0.6MW"
