Visayas System Operations
Dispatch Instruction Report
04May2026-10May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISED TO CUT IN",05/06/2026 10:28:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Cut in: 2236H"
04CLBYBNK_G01,"FOLLOW RTD",05/06/2026 10:54:00 PM,10.9,0,RTD,"Advised to follow RTD-EN schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G01,"ADVISED TO CUT IN",05/06/2026 10:20:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Cut in: 2221H"
04IASMOD_G01,"FOLLOW RTD",05/06/2026 10:56:00 PM,10,0,RTD,"Advised to follow RTD-EN schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",05/06/2026 10:20:00 PM,0,13.6,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Cut in: 2221H"
04IASMOD_G03,"FOLLOW RTD",05/06/2026 10:56:00 PM,13.6,0,RTD,"Advised to follow RTD-EN schedule = 0 MW, from previous RMS dispatch."
04ISIDROSOL_G01,"PPC CONTROLLER ON",05/04/2026 6:14:00 AM,100.48,100.48,VRE OUTPUT RESTRICTION,"Advise to set PPC ON; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines; Setpoint set to maximum"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 6:22:00 AM,70,10,VRE OUTPUT RESTRICTION,"Decrease setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 6:52:00 AM,10,15,VRE OUTPUT RESTRICTION,"Increase setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 7:10:00 AM,15,20,VRE OUTPUT RESTRICTION,"Increase setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 7:54:00 AM,20,30,VRE OUTPUT RESTRICTION,"Increase setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 8:05:00 AM,30,40,VRE OUTPUT RESTRICTION,"Increase setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
04ISIDROSOL_G01,"SETPOINT",05/04/2026 8:09:00 AM,40,50,VRE OUTPUT RESTRICTION,"Increase setpoint; Emergency shutdown of Leyte-Luzon (NCS-OCS) 350kV HVDC Lines"
