Visayas System Operations
Dispatch Instruction Report
20May2026-20May2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04ORMOC_BAT,"MANUAL MODE OPERATION",05/20/2026 2:40:00 AM,0,0,CONTINGENCY RESERVE,"Advise to set to manual mode due to 05CARMEN_BAT ANCILLARY TEST"
04ORMOC_BAT,"APFC MODE OPERATION",05/20/2026 5:56:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to APFC mode; CR = 38.6 MW"
05CARMENDPP_U01,"ADVISE TO CUT-IN",05/20/2026 8:00:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 0809H"
05CARMENDPP_U01,"FOLLOW RTD",05/20/2026 9:13:00 AM,10,0.58,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05CARMENDPP_U01,"RAISE LOAD",05/20/2026 9:34:00 AM,1.07,10,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation"
05CARMENDPP_U01,"LOWER LOAD",05/20/2026 11:35:00 AM,10,6,MOT RAISE,"Advise to lower load as MOT Raise dispatch; Real Power Balancing"
05CARMENDPP_U01,"FOLLOW RTD",05/20/2026 11:56:00 AM,6,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CARMENDPP_U01,"ADVISE TO CUT-IN",05/20/2026 12:23:00 PM,0,10,MOT RAISE,"Advise to cut-in unit as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; unit cut-in at 1231H"
05CARMENDPP_U01,"FOLLOW RTD",05/20/2026 12:43:00 PM,10,5,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CARMENDPP_U01,"RAISE LOAD",05/20/2026 1:01:00 PM,5,10,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation"
05CARMENDPP_U01,"FOLLOW RTD",05/20/2026 2:27:00 PM,10,10,RTD,"Advise to follow RTD-EN; from MOT-R dispatch"
05CARMENDPP_U02,"FOLLOW RTD",05/20/2026 12:43:00 PM,10,5,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CARMENDPP_U03,"ADVISE TO CUT-IN",05/20/2026 9:02:00 AM,0,8.6,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 0911H"
05CARMENDPP_U03,"FOLLOW RTD",05/20/2026 9:08:00 AM,8.6,1.4,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05CARMENDPP_U03,"RAISE LOAD",05/20/2026 9:34:00 AM,1.49,10,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation"
05CARMENDPP_U03,"LOWER LOAD",05/20/2026 11:35:00 AM,10,6,MOT RAISE,"Advise to lower load as MOT Raise dispatch; Real Power Balancing"
05CARMENDPP_U03,"FOLLOW RTD",05/20/2026 11:56:00 AM,6,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CARMENDPP_U03,"ADVISE TO CUT-IN",05/20/2026 12:23:00 PM,0,10,MOT RAISE,"Advise to cut-in unit as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; unit cut-in at 1234H"
05CARMENDPP_U03,"RAISE LOAD",05/20/2026 1:01:00 PM,5,10,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation"
05CARMENDPP_U03,"FOLLOW RTD",05/20/2026 2:27:00 PM,10,10,RTD,"Advise to follow RTD-EN; from MOT-R dispatch"
05CARMEN_BAT,"MANUAL CHARGING",05/20/2026 5:14:00 PM,0,-5,REGULATING RESERVE,"Advise to manual charge. Under T&C."
05CEDC_U01,"RAISE LOAD",05/20/2026 6:02:00 AM,45.1,55,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; RTD-EN=45.1"
05CEDC_U01,"FOLLOW RTD",05/20/2026 6:47:00 AM,55,45.1,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CEDC_U01,"RAISE LOAD",05/20/2026 7:00:00 AM,45.1,55,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; RTD-EN=45.1"
05CEDC_U01,"RAISE LOAD",05/20/2026 7:12:00 AM,55,65,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; RTD-EN=45.1"
05CEDC_U01,"RAISE LOAD",05/20/2026 7:58:00 AM,65,75,MOT RAISE,"Advise to raise load as MOT Raise dispatch; 230 KV Leyte-Cebu line limitation; RTD-EN=53.96"
05CEDC_U01,"FOLLOW RTD",05/20/2026 8:25:00 AM,75,79.95,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
