Visayas System Operations
Dispatch Instruction Report
08Jun2026-14Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISE TO CUT IN",06/09/2026 10:25:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut-in under DR-RMS dispatch. Voltage support at Calbayog SS.(Cut In: 1031H)"
04CLBYBNK_G01,"FOLLOW RTD",06/09/2026 1:26:00 PM,10.9,7.5,RTD,"Advise to follow RTD from DR-RMS dispatch; RTD-EN=7.5MW."
04CLBYBNK_G01,"HOLD LOAD",06/11/2026 1:30:00 PM,5,5,RTD,"Advised to hold load. RTD-EN=10.9MW. Leyte-Cebu load management."
04CLBYBNK_G01,"FOLLOW RTD",06/11/2026 1:43:00 PM,5,1,RTD,"Advised to follow RTD from manual hold dispatch."
04IASMOD_G01,"MANUAL MODE OPERATION",06/10/2026 10:39:00 PM,0,0,REGULATING RESERVE,"Advise to manual mode under manual RR dispatch. AS testing of CARMEN BESS."
04IASMOD_G01,"FOLLOW RTD",06/10/2026 11:06:00 PM,0,0,REGULATING RESERVE,"Advised to follow RTD from manual RR."
04IASMOD_G04,"MANUAL MODE OPERATION",06/10/2026 10:39:00 PM,0,0,CONTINGENCY RESERVE,"Advise to manual mode under manual CR dispatch. AS testing of CARMEN BESS."
04IASMOD_G04,"AGC MODE",06/11/2026 2:08:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC Mode from manual CR Dispatch. AS testing of Carmen BESS."
04IASMOD_G05,"MANUAL MODE OPERATION",06/10/2026 10:39:00 PM,0,0,CONTINGENCY RESERVE,"Advise to manual mode under manual CR dispatch. AS testing of CARMEN BESS."
04IASMOD_G05,"AGC MODE",06/11/2026 2:08:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC Mode from manual CR Dispatch. AS testing of Carmen BESS."
04IASMOD_G06,"MANUAL MODE OPERATION",06/10/2026 10:39:00 PM,0,0,CONTINGENCY RESERVE,"Advise to manual mode under manual CR dispatch. AS testing of CARMEN BESS."
04IASMOD_G06,"AGC MODE",06/11/2026 2:08:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC Mode from manual CR Dispatch. AS testing of Carmen BESS."
04LEYTE_A,"MARKET INTERVENTION",06/09/2026 10:21:00 PM,376,376,MARKET INTERVENTION/SUSPENSION,"Informed plant personnel on MO-initiated Market Intervention is issued today for Luzon, Visayas, and Mindanao Grids for interval 2"
04LEYTE_A,"MARKET INTERVENTION LIFTED",06/09/2026 10:26:00 PM,376,376,MARKET INTERVENTION/SUSPENSION,"Informed about the MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225H due to "
04LEYTE_A,"LOWER LOAD",06/14/2026 11:39:00 AM,360,340,SECURITY - LOWER,"Advice to lower load under Security lower dispatch. Leyte-Cebu line management (345MW)"
04LEYTE_A,"FOLLOW RTD",06/14/2026 1:10:00 PM,340,360,RTD,"Advised to follow RTD energy schedule = 360 MW, from previous Security Lower dispatch."
04LEYTE_A,"LOWER LOAD",06/14/2026 1:36:00 PM,360,350,SECURITY - LOWER,"Advice to lower load under Security lower dispatch. Real Power Balancing."
04LEYTE_A,"FOLLOW RTD",06/14/2026 2:14:00 PM,350,360,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04LGPP_G01,"MARKET INTERVENTION",06/09/2026 10:21:00 PM,76.5,76.5,MARKET INTERVENTION/SUSPENSION,"Informed plant personnel on MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225"
04LGPP_G01,"MARKET INTERVENTION LIFTED",06/09/2026 10:26:00 PM,76.5,76.5,MARKET INTERVENTION/SUSPENSION,"Informed about the MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225H due to "
04LGPP_G01,"EMERGENCY SHUTDOWN",06/10/2026 1:22:00 PM,0,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"TGPP U2 emergency shutdown due to Steam Scrubber Leakage"
04LGPP_G01,"LOWER LOAD",06/14/2026 11:40:00 AM,115,95,SECURITY - LOWER,"Advice to lower load under Security lower dispatch. Leyte-Cebu line management (345MW)"
04LGPP_G01,"FOLLOW RTD",06/14/2026 1:27:00 PM,95,116,RTD,"Advised to follow RTD energy schedule = 116 MW, from previous Security Lower dispatch."
04LGPP_G01,"LOWER LOAD",06/14/2026 1:36:00 PM,116,90,SECURITY - LOWER,"Advice to lower load under Security lower dispatch. Real Power Balancing."
04LGPP_G01,"FOLLOW RTD",06/14/2026 2:40:00 PM,90,116.7,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04TONGO_BAT,"MANUAL CHARGING",06/10/2026 5:07:00 PM,0,-10,MARKET INTERVENTION/SUSPENSION,"Advised to manually charge by -10 MW with SOC of 32.4%. Real power balancing."
04TONGO_BAT,"STOP CHARGING",06/10/2026 6:02:00 PM,-10,0,MARKET INTERVENTION/SUSPENSION,"Advised to stop the manual charging. SOC 90.4 %. Real power balancing."
04TONGO_BAT,"APFC MODE OPERATION",06/10/2026 7:52:00 PM,0,0,REGULATING RESERVE,"Advised to switch back to APFC mode from manual mode."
04TONGO_BAT,"MANUAL CHARGE",06/11/2026 9:53:00 AM,0,-10,REGULATING RESERVE,"Advice to manual charge under manual RR dispatch. Real power balancing."
04TONGO_BAT,"APFC MODE OPERATION",06/11/2026 10:33:00 AM,-10,0,REGULATING RESERVE,"Advice to set to APFC mode from manual RR dispatch."
04TONGO_BAT,"MANUAL CHARGE",06/11/2026 1:29:00 PM,0,-10,REGULATING RESERVE,"Advised to manual charge under manual RR Dispatch. Leyte-Cebu line management."
04TONGO_BAT,"APFC MODE OPERATION",06/11/2026 1:39:00 PM,-10,0,REGULATING RESERVE,"Advised to set to APFC from manual RR Dispatch."
04TONGO_BAT,"MANUAL CHARGE",06/14/2026 8:02:00 AM,0,-5,REGULATING RESERVE,"Advice to manual charge under manual RR dispatch. Real power balancing."
04TONGO_BAT,"MANUAL CHARGE",06/14/2026 8:05:00 AM,-5,-10,REGULATING RESERVE,"Advice to manual charge under manual RR dispatch. Real power balancing."
04TONGO_BAT,"APFC MODE OPERATION",06/14/2026 9:01:00 AM,-10,0,REGULATING RESERVE,"Advised to stop the manual charging and switch back to APFC mode from previous Manual mode."
05CARMENDPP_U01,"ADVISE NOT TO CUT - IN",06/08/2026 7:51:00 AM,0,0,MOT LOWER,"Advised not to cut-in under MOT Lower dispatch. Real Power Balancing. (RTD-EN=5 MW)"
05CARMENDPP_U01,"FOLLOW RTD",06/08/2026 8:06:00 AM,0,0,RTD,"Advice to follow RTD from MOT lower dispatch. RTD-EN=0MW"
05CARMENDPP_U01,"ADVICE TO CUT IN",06/09/2026 12:42:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut-in as DR-RMS dispatch. Leyte-Cebu line management. cut-in: 0053H"
05CARMENDPP_U01,"CONTINUE RUNNING",06/09/2026 1:01:00 AM,10,10,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch. Leyte-Cebu line management. (MOT-R=10MW)"
05CARMENDPP_U01,"FOLLOW RTD",06/09/2026 2:25:00 AM,10,0,RTD,"Advised to follow RTD from MOT raise dispatch. (RTD-EN=0)"
05CARMENDPP_U01,"ADVISE TO CUT IN",06/09/2026 5:25:00 AM,0,10,MOT RAISE,"Advice to cut-in as MOT raise dispatch. Leyte-Cebu line management. cut-in: 0534H"
05CARMENDPP_U01,"FOLLOW RTD",06/09/2026 5:54:00 AM,10,0,RTD,"Advised to follow RTD from DR-RMS dispatch. (RTD-EN=0MW)"
05CARMENDPP_U01,"ADVISE TO CUT OUT",06/09/2026 11:43:00 AM,10,0,MOT LOWER,"Advise to cut out under MOT lower dispatch. Real Power Balancing. (RTD-EN = 10 MW)"
05CARMENDPP_U01,"FOLLOW RTD",06/09/2026 11:56:00 AM,0,0,RTD,"Advice to follow RTD from MOT lower dispatch. RTD-EN=0MW"
05CARMENDPP_U01,"FOLLOW RTD",06/09/2026 9:53:00 PM,10,4.31,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05CARMENDPP_U01,"MARKET INTERVENTION",06/09/2026 10:21:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Informed plant personnel on MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225"
05CARMENDPP_U01,"MARKET INTERVENTION LIFTED",06/09/2026 10:26:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Informed about the MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225H due to "
05CARMENDPP_U01,"ADVICE TO CUT IN",06/10/2026 1:13:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut-in as DR-RMS dispatch. Leyte-Cebu line management. Cut-in at 0121H"
05CARMENDPP_U01,"FOLLOW RTD",06/10/2026 1:43:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
05CARMENDPP_U01,"RAISE LOAD",06/10/2026 2:01:00 AM,0,10,MOT RAISE,"Advice to cut-in as MOT Raise dispatch. Leyte-Cebu line management. Cut-in at 0214H"
05CARMENDPP_U01,"FOLLOW RTD",06/10/2026 2:42:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous MOT Raise dispatch."
05CARMENDPP_U01,"LOWER LOAD",06/10/2026 9:54:00 AM,10,6,SECURITY - LOWER,"Advise to lower load as Security Lower dispatch; Real Power Balancing; RTD-EN=10"
05CARMENDPP_U01,"FOLLOW RTD",06/10/2026 10:02:00 AM,6,10,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
05CARMENDPP_U01,"DR - RMS IN EXCESS OF RTD - EN",06/10/2026 11:13:00 AM,10,10,DISPATCHABLE RESERVE,"Advise to continue running as DR-RMS dispatch at 6.9 MW in excess of RTD-EN at 3.10 MW"
05CARMENDPP_U01,"CONTINUE RUNNING",06/10/2026 1:21:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running as SO dispatch under Market Intervention; Real Power Balancing"
05CARMENDPP_U01,"FOLLOW RTD",06/10/2026 7:26:00 PM,10,10,RTD,"Advised to follow RTD energy schedule = 10 MW, from previous RMS dispatch."
05CARMENDPP_U01,"ADVISE TO CUT IN",06/11/2026 1:01:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under DR-RMS dispatch. Real Power Balancing.(Cut In: 0109H)"
05CARMENDPP_U01,"FOLLOW RTD",06/11/2026 1:11:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
05CARMENDPP_U01,"ADVICE TO CUT IN",06/11/2026 8:28:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut in as DR-RMS. Real power balancing, cut in time 0837H."
05CARMENDPP_U01,"FOLLOW RTD",06/11/2026 9:28:00 AM,9.8,10,RTD,"Advice to follow RTD from DR-RMS dispatch."
05CARMENDPP_U01,"HOLD LOAD",06/11/2026 9:36:00 AM,6,6,MOT LOWER,"Advice to hold load under MOT lower dispatch. Real power balancing."
05CARMENDPP_U01,"CONTINUE RUNNING",06/11/2026 9:47:00 AM,6,10,DISPATCHABLE RESERVE,"Advice to continue running as DR-RMS from MOT-Raise dispatch."
05CARMENDPP_U01,"LOWER LOAD",06/11/2026 10:03:00 AM,10,6,DISPATCHABLE RESERVE,"Advice to lower load under DR-RMS dispatch. Real power balancing."
05CARMENDPP_U01,"RAISE LOAD",06/11/2026 10:18:00 AM,6,10,DISPATCHABLE RESERVE,"Advice to Raise load under DR-RMS dispatch."
05CARMENDPP_U01,"DR ON TOP OF RTD ENERGY",06/11/2026 10:31:00 AM,5,10,DISPATCHABLE RESERVE,"Advised to follow  DR on top of RTD Dispatch. (RTD=5) (DR=5)"
05CARMENDPP_U01,"CONTINUE RUNNING",06/11/2026 12:16:00 PM,10,10,MOT RAISE,"Advised to continue running under MOT-Raise from DR-RMS dispatch. Real power balancing."
05CARMENDPP_U01,"FOLLOW RTD",06/11/2026 3:01:00 PM,10,10,RTD,"Advise to follow RTD from MOT Raise Dispatch"
05CARMENDPP_U01,"ADVICE TO CUT IN",06/12/2026 6:44:00 AM,0,10,MOT RAISE,"Advise to cut-in under MOT Raise dispatch. Contingency measures for the shutdown of 7LI1CEB-COM.(Cut In: 0655H)"
05CARMENDPP_U01,"FOLLOW RTD",06/12/2026 9:12:00 AM,10,0,RTD,"Advise to follow RTD from MOT Raise dispatch."
05CARMENDPP_U01,"ADVICE TO CUT IN",06/12/2026 10:57:00 AM,0,10,MOT RAISE,"Advise to cut-in under MOT Raise dispatch. Contingency measures for the shutdown of 7LI1CEB-COM.(Cut In: 1105H)"
05CARMENDPP_U01,"CONTINUE RUNNING",06/12/2026 11:11:00 AM,10,10,DISPATCHABLE RESERVE,"Advised to continue running under DR-RMS dispatch from MOT Raise dispatch. Contingency measure for the shutdown of 7LI1CEB-COM."
05CARMENDPP_U01,"CONTINUE LOAD",06/12/2026 11:26:00 AM,10,10,MOT RAISE,"Advise to continue running under MOT Raise dispatch from DR-RMS dispatch. Contingency measures for the shutdown of 7LI1CEB-COM."
05CARMENDPP_U01,"FOLLOW RTD",06/12/2026 4:16:00 PM,10,6,RTD,"Advise to follow RTD from MOT raise dispatch."
05CARMENDPP_U01,"ADVISED TO CUT IN",06/13/2026 6:57:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut-in unit as RMS dispatch. Unit cut-in at 0704H. Real power balancing."
05CARMENDPP_U01,"ADVICE TO CUT IN",06/13/2026 9:06:00 AM,0,10,MOT RAISE,"Advice to cut-in as MOT Raise dispatch. Real Power Balancing. Cut-in at 0918H"
05CARMENDPP_U01,"CONTINUE RUNNING",06/13/2026 1:46:00 PM,10,10,DISPATCHABLE RESERVE,"Advised to continue running under DR-RMS from MOT-Raise dispatch. Real power balancing."
05CARMENDPP_U01,"CONTINUE RUNNING",06/13/2026 2:10:00 PM,10,10,MOT RAISE,"Advised to continue running as MOT raise dispatch, from previous RMS dispatch. Real power balancing."
05CARMENDPP_U01,"FOLLOW RTD",06/13/2026 3:22:00 PM,10,8.5,RTD,"Advised to follow RTD energy schedule = 8.5 MW, from previous MOT raise dispatch."
05CARMENDPP_U01,"ADVISE TO CUT IN",06/14/2026 1:40:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in underDR-RMS dispatch. Leyte-Cebu load management. (Cut In: 0151H)"
05CARMENDPP_U01,"CONTINUE LOAD",06/14/2026 2:21:00 AM,10,10,MOT RAISE,"Advise to continue load under MOT raise dispatch from DR-RMS. Leyte-Cebu load management."
05CARMENDPP_U01,"FOLLOW RTD",06/14/2026 2:50:00 AM,10,0,RTD,"Advise to follow RTD from MOT raise dispatch."
05CARMENDPP_U01,"ADVICE TO CUT IN",06/14/2026 6:51:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in under DR-RMS Dispatch. Cut-in time at 0703H. Real Power Balancing."
05CARMENDPP_U01,"FOLLOW RTD",06/14/2026 7:12:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
05CARMENDPP_U01,"ADVICE TO CUT IN",06/14/2026 9:06:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in under DR-RMS Dispatch. Cut-in time at 0915H. Real Power Balancing."
05CARMENDPP_U01,"FOLLOW RTD",06/14/2026 9:20:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
05CARMENDPP_U01,"ADVISE TO CUT - IN",06/14/2026 4:16:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 1626H"
05CARMENDPP_U01,"CONTINUE RUNNING",06/14/2026 4:53:00 PM,10,10,MOT RAISE,"Advise to continue running as MOT Raise dispatch; from DR-RMS dispatch"
05CARMENDPP_U01,"FOLLOW RTD",06/14/2026 5:47:00 PM,10,10,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CARMENDPP_U02,"ADVISE NOT TO CUT - IN",06/08/2026 7:51:00 AM,0,0,MOT LOWER,"Advised not to cut-in under MOT Lower dispatch. Real Power Balancing. (RTD-EN=5 MW)"
05CARMENDPP_U02,"FOLLOW RTD",06/08/2026 8:06:00 AM,0,0,RTD,"Advice to follow RTD from MOT lower dispatch. RTD-EN=0MW"
05CARMENDPP_U02,"ADVICE TO CUT IN",06/09/2026 12:42:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut-in as DR-RMS dispatch. Leyte-Cebu line management. cut-in: 0055H"
05CARMENDPP_U02,"CONTINUE RUNNING",06/09/2026 1:06:00 AM,10,6.1,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch. Leyte-Cebu line management. (MOT-R=6.1MW)"
05CARMENDPP_U02,"CONTINUE RUNNING",06/09/2026 1:14:00 AM,6.1,10,DISPATCHABLE RESERVE,"Advise to continue running as DR dispatch from MOT raise dispatch. Leyte-Cebu line management. (DR-RMS=10MW)"
05CARMENDPP_U02,"CONTINUE RUNNING",06/09/2026 1:30:00 AM,10,10,MOT RAISE,"Advise to continue running as MOT raise dispatch from DR-RMS dispatch. (MOT raise=10MW)"
05CARMENDPP_U02,"FOLLOW RTD",06/09/2026 2:25:00 AM,10,0,RTD,"Advised to follow RTD from MOT raise dispatch. (RTD-EN=0)"
05CARMENDPP_U02,"ADVISE TO CUT IN",06/09/2026 5:24:00 AM,0,10,MOT RAISE,"Advice to cut-in as MOT raise dispatch. Leyte-Cebu line management. cut-in: 0540H"
05CARMENDPP_U02,"FOLLOW RTD",06/09/2026 5:54:00 AM,10,0,RTD,"Advised to follow RTD from DR-RMS dispatch. (RTD-EN=0MW)"
05CARMENDPP_U02,"ADVISE TO CUT IN",06/09/2026 7:27:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under DR-RMS dispatch. Real Power Balancing.(Cut In: 0735H)"
05CARMENDPP_U02,"FOLLOW RTD",06/09/2026 7:48:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
05CARMENDPP_U02,"ADVISE TO CUT OUT",06/09/2026 11:43:00 AM,5,0,MOT LOWER,"Advise to cut out under MOT lower dispatch. Real Power Balancing. (RTD-EN = 5 MW)"
05CARMENDPP_U02,"FOLLOW RTD",06/09/2026 11:46:00 AM,0,0,RTD,"Advice to follow RTD from MOT lower dispatch. RTD-EN=0MW"
05CARMENDPP_U02,"DR - RMS IN EXCESS OF RTD - EN",06/09/2026 9:48:00 PM,10,10,DISPATCHABLE RESERVE,"Advise to continue running as DR-RMS dispatch at 7.55 MW in excess of RTD-EN at 2.45 MW"
05CARMENDPP_U02,"FOLLOW RTD",06/09/2026 9:53:00 PM,10,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05CARMENDPP_U02,"MARKET INTERVENTION",06/09/2026 10:21:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Informed plant personnel on MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225"
05CARMENDPP_U02,"MARKET INTERVENTION LIFTED",06/09/2026 10:26:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Informed about the MO-initiated Market Intervention issued today for Luzon, Visayas, and Mindanao Grids for interval 2225H due to "
05CARMENDPP_U02,"ADVICE TO CUT IN",06/10/2026 1:02:00 AM,0,6.7,DISPATCHABLE RESERVE,"Advice to cut-in as DR-RMS dispatch. Leyte-Cebu line management. Cut-in at 0113H"
05CARMENDPP_U02,"FOLLOW RTD",06/10/2026 1:43:00 AM,6.7,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
05CARMENDPP_U02,"RAISE LOAD",06/10/2026 2:01:00 AM,0,10,MOT RAISE,"Advice to cut-in as MOT Raise dispatch. Leyte-Cebu line management. Cut-in at 0212H"
05CARMENDPP_U02,"FOLLOW RTD",06/10/2026 2:42:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous MOT Raise dispatch."
05CARMENDPP_U02,"LOWER LOAD",06/10/2026 9:54:00 AM,6.5,6,SECURITY - LOWER,"Advise to lower load as Security Lower dispatch; Real Power Balancing; RTD-EN=6.5"
05CARMENDPP_U02,"FOLLOW RTD",06/10/2026 10:02:00 AM,6,4.1,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
05CARMENDPP_U02,"EMERGENCY SHUTDOWN",06/10/2026 10:28:00 AM,8.23,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Emergency shutdown due to low lube oil pressure"
05CARMENDPP_U02,"ADVISE TO CUT - IN",06/10/2026 12:12:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 1218H"
05CARMENDPP_U02,"DR - RMS IN EXCESS OF RTD - EN",06/10/2026 12:49:00 PM,10,10,DISPATCHABLE RESERVE,"Advise to continue running as DR-RMS dispatch at 8.49 MW in excess of RTD-EN at 1.5 MW"
05CARMENDPP_U02,"CONTINUE RUNNING",06/10/2026 1:21:00 PM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue running as SO dispatch under Market Intervention; Real Power Balancing"
05CARMENDPP_U02,"FOLLOW RTD",06/10/2026 7:26:00 PM,10,10,RTD,"Advised to follow RTD energy schedule = 10 MW, from previous RMS dispatch."
05CARMENDPP_U02,"ADVISE TO CUT IN",06/11/2026 1:01:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under DR-RMS dispatch. Real Power Balancing.(Cut In: 0114H)"
05CARMENDPP_U02,"FOLLOW RTD",06/11/2026 1:31:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
05CARMENDPP_U02,"ADVICE TO CUT IN",06/11/2026 6:21:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut in as DR-RMS. Real power balancing, cut in time 0630H."
05CARMENDPP_U02,"FOLLOW RTD",06/11/2026 7:06:00 AM,10,0,RTD,"Advice to follow RTD energy from DR-RMS dispatch."
05CARMENDPP_U02,"ADVICE TO CUT IN",06/11/2026 8:28:00 AM,0,10,DISPATCHABLE RESERVE,"Advice to cut in as DR-RMS. Real power balancing, cut in time 0835H."
05CARMENDPP_U02,"FOLLOW RTD",06/11/2026 9:28:00 AM,9.8,5.3,RTD,"Advice to follow RTD from DR-RMS dispatch."
05CARMENDPP_U02,"HOLD LOAD",06/11/2026 9:36:00 AM,6,6,MOT LOWER,"Advice to hold load under MOT lower dispatch. Real power balancing."
05CARMENDPP_U02,"CONTINUE RUNNING",06/11/2026 9:41:00 AM,6,6,DISPATCHABLE RESERVE,"Advice to continue running as DR-RMS from MOT-lower. Real power balancing."
05CARMENDPP_U02,"CONTINUE RUNNING",06/11/2026 9:47:00 AM,6,10,DISPATCHABLE RESERVE,"Advice to continue running as DR-RMS from MOT-Raise dispatch."
05CARMENDPP_U02,"LOWER LOAD",06/11/2026 10:03:00 AM,10,6,DISPATCHABLE RESERVE,"Advice to lower load under DR-RMS dispatch. Real power balancing."
05CARMENDPP_U02,"RAISE LOAD",06/11/2026 10:18:00 AM,6,10,DISPATCHABLE RESERVE,"Advice to Raise load under DR-RMS dispatch."
05CARMENDPP_U02,"DR ON TOP OF RTD ENERGY",06/11/2026 10:31:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to follow  DR on top of RTD Dispatch. (RTD=0) (DR=10)"
05CARMENDPP_U02,"FOLLOW RTD",06/11/2026 3:01:00 PM,10,10,RTD,"Advise to follow RTD from DR-RMS Dispatch"
05CARMENDPP_U02,"ADVICE TO CUT IN",06/12/2026 6:44:00 AM,0,10,MOT RAISE,"Advise to cut-in under MOT Raise dispatch. Contingency measures for the shutdown of 7LI1CEB-COM.(Cut In: 0705H)"
05CARMENDPP_U02,"FOLLOW RTD",06/12/2026 9:12:00 AM,10,0,RTD,"Advise to follow RTD from MOT Raise dispatch."
