Visayas System Operations
Dispatch Instruction Report
28Jun2026-28Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04LEYTE_A,"LOWER  LOAD",06/28/2026 1:52:00 AM,340,320,SECURITY - LOWER,"Advice to lower load under security lower dispatch. Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=340 MW."
04LEYTE_A,"FOLLOW RTD",06/28/2026 4:27:00 AM,420,340,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04LEYTE_A,"LOWER LOAD",06/28/2026 7:29:00 AM,340,320,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=340MW)"
04LEYTE_A,"FOLLOW RTD",06/28/2026 7:57:00 AM,320,340,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=340MW)"
04LGPP_G01,"LOWER  LOAD",06/28/2026 1:53:00 AM,115.5,105,SECURITY - LOWER,"Advice to lower load under security lower dispatch. Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=115.5 MW."
04LGPP_G01,"FOLLOW RTD",06/28/2026 4:28:00 AM,105,115,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04LGPP_G01,"LOWER LOAD",06/28/2026 7:28:00 AM,115.5,100,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=115.5MW)"
04LGPP_G01,"FOLLOW RTD",06/28/2026 7:57:00 AM,110,115.5,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=115.5MW)"
05CARMENDPP_U02,"CUT-IN",06/28/2026 11:43:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real Power Balancing. Cut-in at 0032H"
05CARMENDPP_U03,"CUT-IN",06/28/2026 11:43:00 PM,0,5.1,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in at 2357H"
05CEDC_U01,"RAISE LOAD",06/28/2026 12:22:00 AM,71.96,78.2,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=71.96 MW"
05CEDC_U01,"FOLLOW RTD",06/28/2026 4:30:00 AM,78,64.17,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CEDC_U01,"RAISE LOAD",06/28/2026 2:15:00 PM,61.61,70,MOT RAISE,"Advise to raise load as MOT Raise dispatch. Real power balancing.  (RTD-EN=61.61MW)"
05CEDC_U01,"FOLLOW RTD",06/28/2026 2:23:00 PM,70,62.61,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch."
05CEDC_U01,"RAISE LOAD",06/28/2026 11:48:00 PM,75.7,83,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
05CEDC_U02,"RAISE LOAD",06/28/2026 12:22:00 AM,67.11,70,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=67.11 MW"
05CEDC_U02,"FOLLOW RTD",06/28/2026 5:06:00 AM,70,70.85,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CEDC_U02,"RAISE LOAD",06/28/2026 11:48:00 PM,61.4,83,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
05CEDC_U02,"RAISE LOAD",06/28/2026 11:55:00 PM,68,70,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
05CEDC_U03,"RAISE LOAD",06/28/2026 3:05:00 AM,55,83,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=55"
05CEDC_U03,"HOLD  LOAD",06/28/2026 3:19:00 AM,60,60,MOT RAISE,"Advise to hold load as MOT Raise dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=45.1"
05CEDC_U03,"RAISE LOAD",06/28/2026 4:06:00 AM,60,83,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1; RTD-EN=46.91"
05CEDC_U03,"FOLLOW RTD",06/28/2026 5:06:00 AM,83,83.1,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CEDC_U03,"RAISE LOAD",06/28/2026 11:48:00 PM,61.4,83,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
05CEDC_U03,"RAISE LOAD",06/28/2026 11:55:00 PM,68,70,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
05CPPC_U03,"CONTINUE RUNNING",06/28/2026 12:01:00 AM,6.2,6.2,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
05CPPC_U03,"FOLLOW RTD",06/28/2026 12:10:00 AM,6.2,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CPPC_U03,"ADVISE TO CUT-IN",06/28/2026 6:23:00 PM,0,6.2,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch. Cut-in: 1830H"
05CPPC_U03,"FOLLOW RTD",06/28/2026 6:32:00 PM,6.2,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
05CPPC_U04,"CONTINUE RUNNING",06/28/2026 12:01:00 AM,6.3,6.3,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
05CPPC_U04,"FOLLOW RTD",06/28/2026 12:10:00 AM,6.3,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CPPC_U04,"ADVISE TO CUT-IN",06/28/2026 6:23:00 PM,0,6.3,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch. Cut-in: 1828H"
05CPPC_U04,"FOLLOW RTD",06/28/2026 6:32:00 PM,6.2,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
05CPPC_U06,"FOLLOW RTD",06/28/2026 12:46:00 AM,6.3,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CPPC_U06,"ADVISE TO CUT-IN",06/28/2026 6:31:00 PM,0,6.3,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch. Cut-in: 1838H"
05CPPC_U06,"FOLLOW RTD",06/28/2026 6:51:00 PM,6.3,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
05CPPC_U07,"FOLLOW RTD",06/28/2026 12:46:00 AM,6.3,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
05CPPC_U07,"ADVISE TO CUT-IN",06/28/2026 6:31:00 PM,0,6.3,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch. Cut-in: 1839H"
05CPPC_U07,"FOLLOW RTD",06/28/2026 6:51:00 PM,6.3,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
05EAUC_U02,"CUT-IN",06/28/2026 11:42:00 PM,0,9,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real Power Balancing. Cut-in at 2351H"
05EAUC_U03,"CONTINUE RUNNING AS DR-RMS",06/28/2026 12:17:00 AM,8.7,11,DISPATCHABLE RESERVE,"Advise to continue running as DR-RMS dispatch; from RTD-EN dispatch"
05EAUC_U03,"FOLLOW RTD",06/28/2026 12:55:00 AM,11.5,6.01,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05EAUC_U04,"CONTINUE RUNNING AS DR-RMS",06/28/2026 12:55:00 AM,8.7,11.5,DISPATCHABLE RESERVE,"Advise to continue running as DR-RMS dispatch; from RTD-EN dispatch"
05EAUC_U04,"FOLLOW RTD",06/28/2026 2:41:00 AM,11.5,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
05KSPC_G01,"LOWER LOAD",06/28/2026 7:21:00 AM,95,85,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=95MW)"
05KSPC_G01,"FOLLOW RTD",06/28/2026 8:01:00 AM,85,90.82,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=90.2MW)"
05KSPC_G02,"LOWER LOAD",06/28/2026 7:21:00 AM,95,85,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=95MW)"
05KSPC_G02,"FOLLOW RTD",06/28/2026 8:01:00 AM,85,90.38,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=90.2MW)"
05TPC_G02,"LOWER LOAD",06/28/2026 7:20:00 AM,77,60,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=77MW)"
05TPC_G02,"FOLLOW RTD",06/28/2026 8:02:00 AM,60,71.8,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=71.8MW)"
05TPC_G02,"RAISE LOAD",06/28/2026 11:51:00 PM,77,83.6,MOT RAISE,"Advise to raise load as MOT Raise dispatch; Real Power Balancing"
06CENPRI_U01,"FOLLOW RTD",06/28/2026 1:23:00 AM,4.4,1.73,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
06CENPRI_U02,"FOLLOW RTD",06/28/2026 1:23:00 AM,4.4,1.7,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
06CENPRI_U03,"FOLLOW RTD",06/28/2026 1:23:00 AM,4.4,1.73,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
06CENPRI_U04,"FOLLOW RTD",06/28/2026 1:47:00 AM,5.5,0.9,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
06CENPRI_U05,"FOLLOW RTD",06/28/2026 1:47:00 AM,5,0.34,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
06PAL1A_U03,"LOWER LOAD",06/28/2026 6:23:00 AM,35.3,22.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=35.3MW)"
06PAL1A_U03,"FOLLOW RTD",06/28/2026 6:31:00 AM,22.9,35.3,RTD,"Advise to follow RTD-EN; from Security lower dispatch."
06PAL1A_U03,"LOWER LOAD",06/28/2026 6:54:00 AM,35.3,22.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=35.3MW)"
06PAL1A_U03,"FOLLOW RTD",06/28/2026 7:42:00 AM,22.9,22.9,RTD,"Advise to follow RTD-EN; from Security lower dispatch."
06PAL1A_U03,"CONTINUE RUNNING",06/28/2026 7:53:00 AM,22.9,22.9,SECURITY - LOWER,"Advise to continue running at Pmin under security lower dispatch from RTD-EN dispatch. Real power balancing. (RTD-EN=27.45MW)"
06PAL1A_U03,"FOLLOW RTD",06/28/2026 7:57:00 AM,22.9,22.9,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=22.9MW)"
06PAL2A_U01,"LOWER LOAD",06/28/2026 7:04:00 AM,18.8,8.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=18.8MW)"
06PAL2A_U01,"FOLLOW RTD",06/28/2026 7:57:00 AM,8.9,18.8,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=18.8MW)"
06PAL2A_U03,"LOWER LOAD",06/28/2026 6:19:00 AM,18.9,8.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=18.9MW)"
06PAL2A_U03,"FOLLOW RTD",06/28/2026 6:31:00 AM,8.9,18.9,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=18.9MW)"
06PAL2A_U03,"LOWER LOAD",06/28/2026 6:54:00 AM,18.9,8.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=18.9MW)"
06PAL2A_U03,"FOLLOW RTD",06/28/2026 7:42:00 AM,8.9,8.9,RTD,"Advise to follow RTD-EN; from Security lower dispatch."
06PAL2A_U03,"CONTINUE RUNNING",06/28/2026 7:53:00 AM,8.9,8.9,SECURITY - LOWER,"Advise to continue running at Pmin under security lower dispatch from RTD-EN dispatch. Real power balancing. (RTD-EN=12.57MW)"
06PAL2A_U03,"FOLLOW RTD",06/28/2026 7:57:00 AM,8.9,15,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=15MW)"
06PAL2A_U03,"LOWER LOAD",06/28/2026 9:46:00 AM,18.9,8.9,SECURITY - LOWER,"Advise to lower load under Security Lower dispatch. Real Power Balancing. (RTD-EN=18.9MW)"
06PAL2A_U03,"FOLLOW RTD",06/28/2026 10:42:00 AM,8.9,18.9,RTD,"Advise to follow RTD-EN; from Security lower dispatch. (RTD-EN=18.9MW)"
07BDPP_U01,"FOLLOW RTD",06/28/2026 4:29:00 AM,4,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07BDPP_U02,"FOLLOW RTD",06/28/2026 4:29:00 AM,4,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07BDPP_U02,"ADVISE TO CUT-IN",06/28/2026 6:24:00 PM,0,4,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch. Cut-in: 1831H"
07BDPP_U02,"FOLLOW RTD",06/28/2026 6:41:00 PM,4,2,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch. (RTD-EN=2MW)"
07BIDPP_G01,"RAISE LOAD",06/28/2026 1:54:00 AM,45,25,MOT RAISE,"Advice to lower load under MOT Raise dispatch. Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
07BIDPP_G01,"LOWER LOAD",06/28/2026 2:50:00 AM,25,15,MOT RAISE,"Advice to lower load under MOT Raise dispatch. Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
07BIDPP_G01,"FOLLOW RTD",06/28/2026 3:30:00 AM,15,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07TPLPB4_U01,"CONTINUE RUNNING",06/28/2026 12:20:00 AM,7,7,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
07TPLPB4_U01,"FOLLOW RTD",06/28/2026 3:47:00 AM,7,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07TPLPB4_U01,"CUT - IN",06/28/2026 11:49:00 PM,0,7,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in at 2356H"
07TPLPB4_U02,"CONTINUE RUNNING",06/28/2026 12:20:00 AM,7,7,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
07TPLPB4_U02,"FOLLOW RTD",06/28/2026 3:47:00 AM,7,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07TPLPB4_U02,"CUT - IN",06/28/2026 11:49:00 PM,0,7,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in at 2357H"
07TPLPB4_U04,"CONTINUE RUNNING",06/28/2026 12:20:00 AM,7,7,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch; Contingency measures for the shutdown of 230kV Daanbantayan-Tabango Line 1"
07TPLPB4_U04,"FOLLOW RTD",06/28/2026 3:47:00 AM,7,0,RTD,"Advise to follow RTD-EN; from MOT Raise dispatch"
07TPLPB4_U04,"CUT - IN",06/28/2026 11:49:00 PM,0,8,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in at 2358H"
