Visayas System Operations
Dispatch Instruction Report
29Jun2026-05Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"RESERVE MARKET UTILIZATION",07/02/2026 11:57:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut-in under Reserve Market schedule for Real Power Balancing; RTD = 0 MW; RM = 10.9 MW; Cut-in time 1206H"
04CLBYBNK_G01,"FOLLOW RTD",07/02/2026 12:19:00 PM,11,0,RTD,"Advise to follow RTD schedule; RTD = 0 MW; RM = 0 MW; Cut-out time 1224H"
04CLBYBNK_G01,"ADVISED TO CUT IN",07/03/2026 10:20:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1028H. Real power balancing."
04CLBYBNK_G01,"FOLLOW RTD",07/03/2026 10:49:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/03/2026 11:58:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1203H. Real power balancing."
04CLBYBNK_G01,"FOLLOW RTD",07/03/2026 12:18:00 PM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT - IN",06/30/2026 4:06:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; Real power balancing ; cut-in at 0406H"
04IASMOD_G02,"FOLLOW RTD",06/30/2026 4:41:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch"
04IASMOD_G02,"RESERVE MARKET UTILIZATION",07/02/2026 11:19:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under Reserve Market schedule for Real Power Balancing; RTD = 0 MW; RM = 10 MW; Cut-in time 1119H"
04IASMOD_G02,"FOLLOW RTD",07/02/2026 11:40:00 AM,10,0,RTD,"Advise to follow RTD schedule; RTD = 0 MW; RM = 0 MW; Cut-out time 1153H"
04IASMOD_G02,"ADVISED TO CUT IN",07/03/2026 10:19:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1040H. Real power balancing."
04IASMOD_G02,"FOLLOW RTD",07/03/2026 10:51:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/03/2026 11:47:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1200H. Real power balancing."
04IASMOD_G02,"FOLLOW RTD",07/03/2026 12:06:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT - IN",06/30/2026 4:06:00 AM,0,15,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; Real power balancing ; cut-in at 0406H"
04IASMOD_G03,"FOLLOW RTD",06/30/2026 4:41:00 AM,15,0,RTD,"Advise to follow RTD from DR-RMS dispatch"
04IASMOD_G03,"RESERVE MARKET UTILIZATION",07/02/2026 11:19:00 AM,0,15,DISPATCHABLE RESERVE,"Advise to cut-in under Reserve Market schedule for Real Power Balancing; RTD = 0 MW; RM = 15 MW; Cut-in time 1119H"
04IASMOD_G03,"FOLLOW RTD",07/02/2026 11:40:00 AM,15,0,RTD,"Advise to follow RTD schedule; RTD = 0 MW; RM = 0 MW; Cut-out time 1153H"
04IASMOD_G03,"ADVISED TO CUT IN",07/03/2026 10:19:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1040H. Real power balancing."
04IASMOD_G03,"FOLLOW RTD",07/03/2026 10:51:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/03/2026 11:47:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 1200H. Real power balancing."
04IASMOD_G03,"FOLLOW RTD",07/03/2026 12:06:00 PM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04ISIDROSOL_G01,"PPC CONTROLLER "ON"",07/04/2026 6:16:00 AM,100.48,100.48,VRE OUTPUT RESTRICTION,"Advise to switch 'PPC ON' and setpoint to maximum capacity as contingency measure of 230kV Tabango - Kananga Line 1 shutdown."
04ISIDROSOL_G01,"SETPOINT",07/04/2026 7:05:00 AM,100.48,18,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 18 MW as contingency measure of 230kV Kananga - Tabango Line 1 shutdown (System Security)"
04ISIDROSOL_G01,"PPC OFF",07/04/2026 3:49:00 PM,18,100.48,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04ISIDROSOL_G01,"PPC CONTROLLER "ON"",07/05/2026 5:35:00 AM,100.48,100.48,VRE OUTPUT RESTRICTION,"Advise to switch PPC ON as contingency measure of 230kV Tabango - Kananga Line 2 shutdown. Setpoint to maximum capacity."
04ISIDROSOL_G01,"SETPOINT",07/05/2026 7:30:00 AM,20,10,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 10 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 23.8 MW"
04ISIDROSOL_G01,"SETPOINT",07/05/2026 7:41:00 AM,10,20,VRE OUTPUT RESTRICTION,"Advise to increase set point to 20 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 26.6W"
04ISIDROSOL_G01,"SETPOINT",07/05/2026 7:48:00 AM,20,10,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 10 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 27.9W"
04ISIDROSOL_G01,"PPC OFF",07/05/2026 3:58:00 PM,10,100.48,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04LEYTE_A,"LOWER LOAD",07/04/2026 6:46:00 AM,325,310,SECURITY - LOWER,"Advised to lower load by 15 MW as Security lower dispatch. Line limitation of 230kV Kananga - Tabango Line 2, while 230kV Kananga "
04LEYTE_A,"LOWER LOAD",07/04/2026 7:50:00 AM,310,300,SECURITY - LOWER,"Advised to lower load by 10 MW as Security lower dispatch. Line limitation of 230kV Kananga - Tabango Line 2, while 230kV Kananga "
04LEYTE_A,"FOLLOW RTD",07/04/2026 3:45:00 PM,300,325,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04LEYTE_A,"LOWER LOAD",07/05/2026 6:44:00 AM,318,300,SECURITY - LOWER,"Advise to lower load under Security Lower as contingency measure for 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 318 MW"
04LEYTE_A,"FOLLOW RTD",07/05/2026 3:55:00 PM,300,318,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04LGPP_G01,"LOWER LOAD",07/04/2026 6:47:00 AM,115,90,SECURITY - LOWER,"Advised to lower load by 25 MW as Security lower dispatch. Line limitation of 230kV Kananga - Tabango Line 2, while 230kV Kananga "
04LGPP_G01,"TRIPPED",07/04/2026 10:01:00 AM,31.3,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Unit 3 Tripped due to Turbine vibration High-high."
04LGPP_G01,"FOLLOW RTD",07/04/2026 10:11:00 AM,90,75.3,RTD,"(Unit 1 and Unit 2) Advised to follow RTD energy schedule = 75.3 MW. from previous Security lower disptach."
04LGPP_G01,"LOWER LOAD",07/05/2026 6:41:00 AM,103,90,SECURITY - LOWER,"Advise to lower load under Security Lower as contingency measure for 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 104.5 MW"
04LGPP_G01,"FOLLOW RTD",07/05/2026 3:54:00 PM,90,104.5,RTD,"Advise to follow RTD-EN; from Security Lower dispatch"
04PHSOL_G01,"PPC CONTROLLER "ON"",07/04/2026 6:16:00 AM,24,24,VRE OUTPUT RESTRICTION,"Advise to switch 'PPC ON' and setpoint to maximum capacity as contingency measure of 230kV Tabango - Kananga Line 1 shutdown."
04PHSOL_G01,"SETPOINT",07/04/2026 8:28:00 AM,25,10,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 10 MW as contingency measure of 230kV Kananga - Tabango Line 1 shutdown (System Security)"
04PHSOL_G01,"PPC OFF",07/04/2026 3:49:00 PM,10,24,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04PHSOL_G01,"PPC CONTROLLER "ON"",07/05/2026 5:35:00 AM,24,24,VRE OUTPUT RESTRICTION,"Advise to switch PPC ON as contingency measure of 230kV Tabango - Kananga Line 2 shutdown. Setpoint to maximum capacity."
04PHSOL_G01,"SETPOINT",07/05/2026 7:40:00 AM,25,5,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 5 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 5.7 MW"
04PHSOL_G01,"PPC OFF",07/05/2026 3:58:00 PM,5,24,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04SEPSOL_G01,"PPC CONTROLLER "ON"",07/04/2026 6:16:00 AM,40,40,VRE OUTPUT RESTRICTION,"Advise to switch 'PPC ON' and setpoint to maximum capacity as contingency measure of 230kV Tabango - Kananga Line 1 shutdown."
04SEPSOL_G01,"SETPOINT",07/04/2026 8:27:00 AM,40,10,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 10 MW as contingency measure of 230kV Kananga - Tabango Line 1 shutdown (System Security)"
04SEPSOL_G01,"PPC OFF",07/04/2026 3:49:00 PM,10,40,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04SEPSOL_G01,"PPC CONTROLLER "ON"",07/05/2026 5:35:00 AM,40,40,VRE OUTPUT RESTRICTION,"Advise to switch PPC ON as contingency measure of 230kV Tabango - Kananga Line 2 shutdown. Setpoint to maximum capacity."
04SEPSOL_G01,"SETPOINT",07/05/2026 7:35:00 AM,42,5,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 5 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 13 MW"
04SEPSOL_G01,"PPC OFF",07/05/2026 3:58:00 PM,5,40,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04TAFTSOL_G01,"PPC CONTROLLER "ON"",07/04/2026 6:16:00 AM,17.5,17.5,VRE OUTPUT RESTRICTION,"Advise to switch 'PPC ON' and setpoint to maximum capacity as contingency measure of 230kV Tabango - Kananga Line 1 shutdown."
04TAFTSOL_G01,"PPC OFF",07/04/2026 3:49:00 PM,17.5,17.5,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
04TAFTSOL_G01,"PPC CONTROLLER "ON"",07/05/2026 5:35:00 AM,17.5,17.5,VRE OUTPUT RESTRICTION,"Advise to switch PPC ON as contingency measure of 230kV Tabango - Kananga Line 2 shutdown. Setpoint to maximum capacity."
04TAFTSOL_G01,"SETPOINT",07/05/2026 7:37:00 AM,17.5,5,VRE OUTPUT RESTRICTION,"Advise to decrease set point to 5 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 6 MW"
04TAFTSOL_G01,"SETPOINT",07/05/2026 9:42:00 AM,5,10,VRE OUTPUT RESTRICTION,"Advise to increase set point to 10 MW as contingency measure of 230kV Tabango-Kananga Line 2 shutdown (GOMP); RTD = 5 MW"
04TAFTSOL_G01,"PPC OFF",07/05/2026 3:58:00 PM,17.5,17.5,LIFTED VRE Output Restriction,"Advise to switch 'PPC OFF' thru Leyte ACC and setpoint set to rated capacity; Contingency measures for 230 KV Tabango-Kananga Line"
