Visayas System Operations
Dispatch Instruction Report
08Jul2026-08Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04IASMOD_G02,"ADVISE TO CUT-IN",07/08/2026 5:43:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 0544H"
04IASMOD_G02,"FOLLOW RTD",07/08/2026 6:14:00 AM,10,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT-IN",07/08/2026 5:43:00 AM,0,15,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 0544H"
04IASMOD_G03,"FOLLOW RTD",07/08/2026 6:14:00 AM,15,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch."
05CARMENDPP_U01,"ADVISE TO CUT IN",07/08/2026 10:33:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in: 1041H"
05CARMENDPP_U01,"CONTINUE  LOAD",07/08/2026 11:02:00 AM,10,10,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch. Real power balancing."
05CARMENDPP_U01,"CONTINUE  LOAD",07/08/2026 12:07:00 PM,10,10,MOT RAISE,"Advise to continue running as MOT Raise due to Real power balancing."
05CARMENDPP_U01,"FOLLOW RTD",07/08/2026 12:08:00 PM,10,0,RTD,"Advise to follow RTD-EN from MOT Raise dispatch.  (RTD-EN=0MW)"
05CARMENDPP_U01,"ADVISE TO CUT IN",07/08/2026 12:25:00 PM,0,10,MOT RAISE,"Advise to cut-in under MOT Raise due to Leyte-Cebu line limitation. Cut-in: 1232H"
05CARMENDPP_U01,"FOLLOW RTD",07/08/2026 2:56:00 PM,10,10,RTD,"Advised to follow RTD energy schedule = 10 MW, from previous MOT raise dispatch."
05CARMENDPP_U02,"ADVISE TO CUT IN",07/08/2026 10:33:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in: 1040H"
05CARMENDPP_U02,"CONTINUE  LOAD",07/08/2026 11:02:00 AM,10,10,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch. Real power balancing."
05CARMENDPP_U02,"CONTINUE  LOAD",07/08/2026 12:07:00 PM,10,10,MOT RAISE,"Advise to continue running as MOT Raise due to Real power balancing."
05CARMENDPP_U02,"FOLLOW RTD",07/08/2026 12:08:00 PM,10,0,RTD,"Advise to follow RTD-EN from MOT Raise dispatch.  (RTD-EN=0MW)"
05CARMENDPP_U02,"ADVISE TO CUT IN",07/08/2026 12:49:00 PM,0,4.7,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. (Actual running=6MW Pmin) Cut-in: 1256H"
05CARMENDPP_U02,"FOLLOW RTD",07/08/2026 2:56:00 PM,10,10,RTD,"Advised to follow RTD energy schedule = 10 MW, from previous MOT raise dispatch."
05CARMENDPP_U03,"ADVISE TO CUT IN",07/08/2026 10:41:00 AM,0,6.41,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Leyte-Cebu line limitation. Cut-in: 1048H"
05CARMENDPP_U03,"CONTINUE  LOAD",07/08/2026 11:02:00 AM,10,10,MOT RAISE,"Advise to continue running as MOT Raise dispatch from DR-RMS dispatch. Real power balancing."
05CARMENDPP_U03,"CONTINUE  LOAD",07/08/2026 12:07:00 PM,10,10,MOT RAISE,"Advise to continue running as MOT Raise due to Real power balancing."
05CARMENDPP_U03,"FOLLOW RTD",07/08/2026 12:08:00 PM,10,0,RTD,"Advise to follow RTD-EN from MOT Raise dispatch.  (RTD-EN=0MW)"
05CARMENDPP_U03,"ADVISE TO CUT IN",07/08/2026 12:25:00 PM,0,10,MOT RAISE,"Advise to cut-in under MOT Raise due to Leyte-Cebu line limitation. Cut-in: 1235H"
05CARMENDPP_U03,"FOLLOW RTD",07/08/2026 2:56:00 PM,10,10,RTD,"Advised to follow RTD energy schedule = 10 MW, from previous MOT raise dispatch."
05CARMEN_BAT,"RAISE LOAD",07/08/2026 10:33:00 AM,0,24.5,MOT RAISE,"Advise to discharge under MOT Raise due to Leyte-Cebu Line Limitation."
05CARMEN_BAT,"RAISE LOAD",07/08/2026 10:36:00 AM,0,0,NON COMPLIANT,"Did not follow dispatcher's instruction. Operator received management instruction to only follow RTD since units are still under warranty."
05CARMEN_BAT,"FOLLOW RTD",07/08/2026 10:41:00 AM,0,24,RTD,"Advise to follow RTD-EN."
05CPPC_U03,"ADVISE TO CUT IN",07/08/2026 11:01:00 AM,0,6.2,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in: 1110H"
05CPPC_U03,"FOLLOW RTD",07/08/2026 2:06:00 PM,6.2,6.2,RTD,"Advised to follow RTD energy schedule = 6.2 MW, from previous RMS dispatch."
05CPPC_U03,"CONTINUE RUNNING",07/08/2026 7:26:00 PM,6.2,6.2,MARKET INTERVENTION/SUSPENSION,"Advised to continue running under Market intervention"
05CPPC_U05,"ADVISE TO CUT IN",07/08/2026 11:01:00 AM,0,6.3,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in: 1105H"
05CPPC_U05,"FOLLOW RTD",07/08/2026 2:06:00 PM,6.3,6.3,RTD,"Advised to follow RTD energy schedule = 6.3 MW, from previous RMS dispatch."
05CPPC_U05,"CONTINUE RUNNING",07/08/2026 7:26:00 PM,6.3,6.3,MARKET INTERVENTION/SUSPENSION,"Advised to continue running under Market intervention"
05CPPC_U06,"ADVISE TO CUT IN",07/08/2026 11:01:00 AM,0,6.3,DISPATCHABLE RESERVE,"Advise to cut-in as DR-RMS dispatch. Real power balancing. Cut-in: 1110H"
05CPPC_U06,"FOLLOW RTD",07/08/2026 2:06:00 PM,6.3,6.3,RTD,"Advised to follow RTD energy schedule = 6.3 MW, from previous RMS dispatch."
05CPPC_U06,"CONTINUE RUNNING",07/08/2026 7:26:00 PM,6.3,6.3,MARKET INTERVENTION/SUSPENSION,"Advised to continue running under Market intervention"
