Visayas System Operations
Dispatch Instruction Report
20Jul2026-26Jul2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISED TO CUT IN",07/21/2026 12:16:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0026H. Real power balancing."
04CLBYBNK_G01,"FOLLOW RTD",07/21/2026 12:50:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/22/2026 12:15:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0022H. Real power balancing."
04CLBYBNK_G01,"FOLLOW RTD",07/22/2026 12:41:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/24/2026 6:44:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0651H."
04CLBYBNK_G01,"FOLLOW RTD",07/24/2026 7:21:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/24/2026 8:05:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0813H."
04CLBYBNK_G01,"FOLLOW RTD",07/24/2026 10:09:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/24/2026 10:53:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1059H."
04CLBYBNK_G01,"FOLLOW RTD",07/24/2026 11:16:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISED TO CUT IN",07/24/2026 12:06:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1211H."
04CLBYBNK_G01,"FOLLOW RTD",07/24/2026 12:31:00 PM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",07/25/2026 1:19:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1324H"
04CLBYBNK_G01,"FOLLOW RTD",07/25/2026 1:32:00 PM,10.9,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",07/26/2026 10:45:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1054H"
04CLBYBNK_G01,"FOLLOW RTD",07/26/2026 11:16:00 AM,10.9,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",07/26/2026 12:18:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1223H"
04CLBYBNK_G01,"FOLLOW RTD",07/26/2026 12:41:00 PM,10.9,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G01,"ADVISED TO CUT IN",07/24/2026 7:24:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS Dispatch. Real power balancing. Unit cut in at 0726H."
04IASMOD_G01,"FOLLOW RTD",07/24/2026 7:51:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G01,"ADVISED TO CUT IN",07/24/2026 8:41:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0850H."
04IASMOD_G01,"FOLLOW RTD",07/24/2026 9:17:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/21/2026 12:15:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0026H. Real power balancing."
04IASMOD_G02,"FOLLOW RTD",07/21/2026 12:46:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/22/2026 12:12:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0020H. Real power balancing."
04IASMOD_G02,"FOLLOW RTD",07/22/2026 12:41:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/24/2026 6:43:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0647H."
04IASMOD_G02,"FOLLOW RTD",07/24/2026 7:21:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/24/2026 8:04:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0811H."
04IASMOD_G02,"FOLLOW RTD",07/24/2026 8:47:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/24/2026 10:53:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1058H."
04IASMOD_G02,"FOLLOW RTD",07/24/2026 11:18:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/24/2026 12:06:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1212H."
04IASMOD_G02,"FOLLOW RTD",07/24/2026 12:26:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",07/25/2026 1:17:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1318H"
04IASMOD_G02,"FOLLOW RTD",07/25/2026 1:34:00 PM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",07/26/2026 8:58:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 0859H"
04IASMOD_G02,"FOLLOW RTD",07/26/2026 9:26:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",07/26/2026 10:35:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1036H"
04IASMOD_G02,"FOLLOW RTD",07/26/2026 11:01:00 AM,10,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/21/2026 12:15:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0026H. Real power balancing."
04IASMOD_G03,"FOLLOW RTD",07/21/2026 12:46:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/22/2026 12:12:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Unit cut in at 0020H. Real power balancing."
04IASMOD_G03,"FOLLOW RTD",07/22/2026 12:41:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/24/2026 6:43:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0647H."
04IASMOD_G03,"FOLLOW RTD",07/24/2026 7:21:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/24/2026 8:04:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0811H."
04IASMOD_G03,"FOLLOW RTD",07/24/2026 8:47:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/24/2026 10:53:00 AM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1058H."
04IASMOD_G03,"FOLLOW RTD",07/24/2026 11:18:00 AM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISED TO CUT IN",07/24/2026 12:06:00 PM,0,15,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 1212H."
04IASMOD_G03,"FOLLOW RTD",07/24/2026 12:26:00 PM,15,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT IN",07/25/2026 1:17:00 PM,0,15,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1318H"
04IASMOD_G03,"FOLLOW RTD",07/25/2026 1:34:00 PM,15,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT IN",07/26/2026 8:58:00 AM,0,15,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 0859H"
04IASMOD_G03,"FOLLOW RTD",07/26/2026 9:26:00 AM,15,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04IASMOD_G03,"ADVISE TO CUT IN",07/26/2026 10:35:00 AM,0,15,DISPATCHABLE RESERVE,"Advise to cut in under DR-RMS dispatch. Real Power Balancing. Cut In: 1036H"
04IASMOD_G03,"FOLLOW RTD",07/26/2026 11:01:00 AM,15,0,RTD,"Advise to follow RTD from DR-RMS dispatch."
04LEYTE_A,"LOWER LOAD",07/22/2026 10:51:00 AM,358,345,SECURITY - LOWER,"Advise to lower load as security lower dispatch. Real power balancing."
04LEYTE_A,"FOLLOW RTD",07/22/2026 11:00:00 AM,345,358,RTD,"Advise to follow RTD from security lower dispatch."
04ORMOC_BAT,"MANUAL DISCHARGE",07/26/2026 11:49:00 AM,0,20,CONTINGENCY RESERVE,"Advise to manual discharge as manual CR dispatch. Real Power Balancing."
04ORMOC_BAT,"APFC MODE OPERATION",07/26/2026 11:57:00 AM,20,0,CONTINGENCY RESERVE,"Advise to set APFC mode from manual CR dispatch. Real power balancing."
