Visayas System Operations
Dispatch Instruction Report
27Jul2026-02Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04CLBYBNK_G01,"ADVISED TO CUT IN",07/31/2026 1:52:00 AM,0,8.5,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0207H."
04CLBYBNK_G01,"FOLLOW RTD",07/31/2026 2:30:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",08/02/2026 9:05:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advise to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 0918H"
04CLBYBNK_G01,"FOLLOW RTD",08/02/2026 10:06:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",08/02/2026 10:16:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1023H"
04CLBYBNK_G01,"FOLLOW RTD",08/02/2026 11:06:00 AM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",08/02/2026 11:26:00 AM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1135H"
04CLBYBNK_G01,"FOLLOW RTD",08/02/2026 12:26:00 PM,10.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04CLBYBNK_G01,"ADVISE TO CUT IN",08/02/2026 1:30:00 PM,0,10.9,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1339H"
04CLBYBNK_G01,"FOLLOW RTD",08/02/2026 2:06:00 PM,10.9,0,RTD,"Advised to follow RTD from DR-RMS dispatch."
04IASMOD_G01,"ADVISE TO CUT IN",08/02/2026 9:06:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 0906H"
04IASMOD_G01,"FOLLOW RTD",08/02/2026 9:21:00 AM,7.9,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G01,"ADVISE TO CUT IN",08/02/2026 10:13:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1015H"
04IASMOD_G01,"FOLLOW RTD",08/02/2026 10:36:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G01,"ADVISE TO CUT IN",08/02/2026 11:55:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1157H"
04IASMOD_G01,"FOLLOW RTD",08/02/2026 12:16:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G01,"ADVISE TO CUT IN",08/02/2026 12:59:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1301H"
04IASMOD_G01,"FOLLOW RTD",08/02/2026 1:11:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G02,"ADVISED TO CUT IN",07/31/2026 1:50:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in unit as RMS dispatch. Real power balancing. Unit cut in at 0155H."
04IASMOD_G02,"FOLLOW RTD",07/31/2026 2:26:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",08/02/2026 9:04:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 0906H"
04IASMOD_G02,"FOLLOW RTD",08/02/2026 9:36:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",08/02/2026 10:13:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1015H"
04IASMOD_G02,"FOLLOW RTD",08/02/2026 10:41:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",08/02/2026 11:25:00 AM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1127H"
04IASMOD_G02,"FOLLOW RTD",08/02/2026 11:51:00 AM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",08/02/2026 12:59:00 PM,0,10,DISPATCHABLE RESERVE,"Advised to cut in as DR-RMS dispatch. Real Power Balancing. Cut In: 1301H"
04IASMOD_G02,"FOLLOW RTD",08/02/2026 1:26:00 PM,10,0,RTD,"Advised to follow RTD energy schedule = 0 MW, from previous DR-RMS dispatch."
04IASMOD_G02,"ADVISE TO CUT IN",08/02/2026 3:19:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut in as DR-RMS dispatch. Real Power Balancing. Cut in:1519H"
04IASMOD_G02,"FOLLOW RTD",08/02/2026 4:01:00 PM,10,0,RTD,"Advised to follow RTD from DR-RMS dispatch."
