Visayas System Operations
Dispatch Instruction Report
17Aug2026-23Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04IASMOD_G01,"MANUAL MODE",08/19/2026 10:08:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G01,"AGC MODE OPERATION",08/19/2026 11:10:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing on hold due to HVDC Vis-Luz on minimum reverse power flow"
04IASMOD_G01,"MANUAL MODE",08/19/2026 11:32:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Continuation of Tabango battery energy storage system ancillary services certification "
04IASMOD_G01,"AGC MODE OPERATION",08/20/2026 3:24:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing complete"
04IASMOD_G01,"MANUAL MODE",08/20/2026 9:50:00 PM,5.23,5.23,REGULATING RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G01,"APFC MODE OPERATION",08/20/2026 11:40:00 PM,0,0,REGULATING RESERVE,"Advise to switch to APFC mode operation"
04IASMOD_G02,"MANUAL MODE",08/20/2026 9:50:00 PM,5.23,5.23,REGULATING RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G02,"APFC MODE OPERATION",08/20/2026 11:40:00 PM,0,0,REGULATING RESERVE,"Advise to switch to APFC mode operation"
04IASMOD_G02,"ADVISE TO CUT - IN",08/22/2026 12:23:00 PM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 1225H"
04IASMOD_G02,"FOLLOW RTD",08/22/2026 12:45:00 PM,10,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
04IASMOD_G03,"MANUAL MODE",08/20/2026 9:50:00 PM,7.84,7.84,REGULATING RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G03,"APFC MODE OPERATION",08/20/2026 11:40:00 PM,0,0,REGULATING RESERVE,"Advise to switch to APFC mode operation"
04IASMOD_G03,"ADVISE TO CUT - IN",08/22/2026 12:23:00 PM,0,15,DISPATCHABLE RESERVE,"Advise to cut-in unit as DR-RMS dispatch; unit cut-in at 1225H"
04IASMOD_G03,"FOLLOW RTD",08/22/2026 12:45:00 PM,15,0,RTD,"Advise to follow RTD-EN; from DR-RMS dispatch"
04IASMOD_G04,"MANUAL MODE OPERATION",08/18/2026 2:11:00 AM,0,0,CONTINGENCY RESERVE,"Advise to set manual mode from AGC mode. AS testing Tabango BESS"
04IASMOD_G04,"AGC MODE OPERATION",08/18/2026 2:26:00 AM,0,0,CONTINGENCY RESERVE,"Advise to set  AGC mode."
04IASMOD_G04,"MANUAL MODE",08/19/2026 10:08:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G04,"AGC MODE OPERATION",08/19/2026 11:10:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing on hold due to HVDC Vis-Luz on minimum reverse power flow"
04IASMOD_G04,"MANUAL MODE",08/19/2026 11:32:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Continuation of Tabango battery energy storage system ancillary services certification "
04IASMOD_G04,"AGC MODE OPERATION",08/20/2026 3:24:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing complete"
04IASMOD_G04,"MANUAL MODE",08/20/2026 9:50:00 PM,10,10,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G04,"APFC MODE OPERATION",08/20/2026 11:40:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to APFC mode operation"
04IASMOD_G04,"MANUAL MODE",08/21/2026 12:39:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G04,"APFC MODE OPERATION",08/21/2026 4:02:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to APFC mode operation"
04IASMOD_G05,"MANUAL MODE OPERATION",08/18/2026 2:11:00 AM,0,0,CONTINGENCY RESERVE,"Advise to set manual mode from AGC mode. AS testing Tabango BESS"
04IASMOD_G05,"AGC MODE OPERATION",08/18/2026 2:26:00 AM,0,0,CONTINGENCY RESERVE,"Advise to set  AGC mode."
04IASMOD_G05,"MANUAL MODE",08/19/2026 10:08:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
04IASMOD_G05,"AGC MODE OPERATION",08/19/2026 11:10:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing on hold due to HVDC Vis-Luz on minimum reverse power flow"
04IASMOD_G05,"MANUAL MODE",08/19/2026 11:32:00 PM,0,0,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Continuation of Tabango battery energy storage system ancillary services certification "
04IASMOD_G05,"AGC MODE OPERATION",08/20/2026 3:24:00 AM,0,0,CONTINGENCY RESERVE,"Advise to switch to AGC mode operation; Tabango Bess testing complete"
04IASMOD_G05,"MANUAL MODE",08/20/2026 9:50:00 PM,3.75,3.75,CONTINGENCY RESERVE,"Advise to switch to manual mode operation; Tabango battery energy storage system ancillary services certification testing"
