Visayas System Operations
Dispatch Instruction Report
24Aug2026-24Aug2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
05CARMENDPP_U01,"RESERVE MARKET UTILIZATION",08/24/2026 8:01:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under Reserve Market schedule due to Leyte-Cebu Line Limitation; RTD = 0 MW; RM = 10 MW; Did not cut-in, cancel dispatch instruction"
05CARMENDPP_U01,"FOLLOW RTD",08/24/2026 8:06:00 AM,0,0,RTD,"Advise to follow RTD schedule; RTD = 0 MW; Cancel dispatch instruction"
05CARMENDPP_U01,"FOLLOW RTD",08/24/2026 12:42:00 PM,10,6,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CARMENDPP_U01,"FOLLOW RTD",08/24/2026 12:47:00 PM,10,10,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CARMENDPP_U02,"RESERVE MARKET UTILIZATION",08/24/2026 9:22:00 AM,0,10,DISPATCHABLE RESERVE,"Advise to cut-in under Reserve Market Schedule due to Leyte-Cebu Line Limitation; RTD = 0 MW; RM = 10 MW; Cut-in time 0929H"
05CARMENDPP_U02,"RESERVE MARKET UTILIZATION",08/24/2026 9:36:00 AM,10,8.5,DISPATCHABLE RESERVE,"Advise to continue running under Reserve Market Schedule due to Leyte-Cebu Line Limitation; RTD = 0 MW; RM = 8.5 MW"
05CARMENDPP_U02,"CONTINUE  LOAD",08/24/2026 9:39:00 AM,10,10,MOT RAISE,"Advise to continue running under MOT Raise on top of RTD due to Leyte-Cebu Line Limitation"
05CARMENDPP_U02,"FOLLOW RTD",08/24/2026 9:50:00 AM,10,10,RTD,"Advise to continue running and follow RTD schedule; RTD = 10 MW"
05CARMENDPP_U02,"FOLLOW RTD",08/24/2026 12:42:00 PM,10,6,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CARMENDPP_U02,"FOLLOW RTD",08/24/2026 12:47:00 PM,10,10,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CARMENDPP_U03,"FOLLOW RTD",08/24/2026 12:42:00 PM,10,6,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CARMENDPP_U03,"FOLLOW RTD",08/24/2026 12:47:00 PM,10,10,RTD,"Advise to continue running under RTD schedule; RTD = 10 MW; RM = 0 MW"
05CEDC_U02,"LOWER LOAD",08/24/2026 7:36:00 AM,50,45,MOT LOWER,"Advise to lower load under MOT Lower for Real Power Balancing; RTD = 49 MW"
05CEDC_U02,"FOLLOW RTD",08/24/2026 7:54:00 AM,37,52.2,RTD,"Advise to follow RTD schedule; RTD = 52.2 MW"
