RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
6/7/2026,03SNGAB_G01,6/7/2026 7:00:00 AM,6/7/2026 7:00:00 PM,STATUS,OUT,
6/7/2026,07BDPP_U01,6/10/2026 6:01:00 AM,6/10/2026 4:00:00 PM,STATUS,OUT,
6/7/2026,07BDPP_U02,6/10/2026 6:01:00 AM,6/10/2026 4:00:00 PM,STATUS,OUT,
6/7/2026,10AGUS2_U01,5/30/2026 8:01:00 AM,6/23/2026 11:59:00 PM,STATUS,OUT,
6/7/2026,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
6/7/2026,10AGUS6_U04,6/1/2026 12:01:00 AM,6/15/2026 11:59:00 PM,STATUS,OUT,
6/7/2026,11PULA4_U02,6/8/2026 8:00:00 AM,7/7/2026 11:59:00 PM,STATUS,OUT,
6/7/2026,12ASIGA_G01,6/3/2026 8:01:00 AM,6/18/2026 5:00:00 PM,STATUS,OUT,
6/7/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
6/7/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
EOF
