equipment,station,voltage_kv,days_bound,rtd_intervals,rtd_days,dap_days,max_overload_mw,max_pct_of_limit
5DAAN_4TAB2,05DAANBN,230,144,77,23,144,26.73,112.5
LEYTE_TO_CEBU,LEYTE_TO,,121,0,0,121,0.0,100.0
1EHVNGS_TR2,01EHVNAG,230,113,3030,96,111,0.0,100.0
1EHVNGS_TR1,01EHVNAG,230,113,996,85,111,0.0,100.0
5DAAN_4TAB1,04TABANG,230,112,34,6,111,11.89,105.9
1BAUA_1BPP1,01BPPC,230,65,1013,32,63,0.0,100.0
1SJO115_TR1,01EHVSJO,115,52,837,32,48,0.0,100.0
5DAAN_4TAB1,05DAANBN,230,38,4,1,38,14.06,107.0
1OLONG_TR2,01OLONGA,230,26,0,0,26,0.0,100.0
1BAUA_1LAT2,01BAUANG,230,25,396,18,16,3.86,101.3
1BAUA_1LAT1,01BAUANG,230,24,346,17,15,3.86,101.3
4MAAS_7UBA1,04MAASIN,138,24,0,0,24,0.0,100.0
1BAUA_1LAT2,01LATRIN,230,19,216,16,11,69.11,124.8
1BAUA_1LAT1,01LATRIN,230,17,257,15,11,69.11,124.8
1TGERAO_TR3,01TGEGAR,230,14,260,14,0,0.0,100.0
1MEXI_1HER2,01MEXICO,230,10,180,5,10,197.74,140.5
5DAAN_4TAB2,04TABANG,230,10,24,5,9,4.9,102.1
5MNDUE_TR2,05MANDAU,138,10,0,0,10,0.0,100.0
1SRAF_1SJO1,01SNRAFA,230,9,203,4,8,21.1,107.1
2SUCA_3BIN3,03BINAN,230,8,82,5,6,0.0,100.0
3AMAD_3CLA1,03CLACA,230,7,156,7,0,0.0,100.0
1MEXI_2QUE1,01MEXICO,230,7,0,0,7,3.13,101.1
8NABAS_TR2,08NABAS,69,6,0,0,6,0.0,100.0
8NABAS_TR1,08NABAS,69,6,0,0,6,0.0,100.0
1HERMO_TR2,01HERMOS,230,5,139,3,4,0.0,100.0
11JASA_12BUT1,11JASAA,138,5,80,5,0,0.0,100.0
1HERM_1DUH1,01HERMOS,230,5,35,2,5,0.0,100.0
1BING_1NGS2,01EHVNAG,230,5,22,1,5,0.0,100.0
1MEXI_1HER1,01MEXICO,230,5,18,1,5,0.0,100.0
3BINA_3DAS2,03DASMAE,230,4,75,3,1,48.26,104.0
