date,market,luzon_lwap_php_kwh,visayas_lwap_php_kwh,mindanao_lwap_php_kwh,spread_php_kwh,luzon_curtailed_mwh,visayas_curtailed_mwh,mindanao_curtailed_mwh,alert_advisories,reserve_price_max_php_kwh,rtd_binding_rows,top_binding_equipment
2026-04-07,False,5.636,5.635,5.642,0.007,1.1,,,,,79,1EHVNGS_TR2;1LBRAD_TR2;1EHVNGS_TR1
2026-04-08,False,6.041,6.045,6.048,0.007,,,1.6,0,8.1036,58,1EHVNGS_TR1;1EHVNGS_TR2;10MRAWI_TR1
2026-04-09,False,5.839,5.843,5.848,0.009,,,,0,12.3607,13,1EHVNGS_TR2;5DAAN_4TAB2;1EHVNGS_TR1
2026-04-10,False,5.391,5.395,5.396,0.005,13.3,,,0,8.3065,77,1EHVNGS_TR1;1EHVNGS_TR2;1SJO115_TR1
2026-04-11,False,4.963,4.963,4.965,0.002,0.5,,,0,2.5601,33,1SJO115_TR1;1EHVNGS_TR1;1EHVNGS_TR2
2026-04-12,False,4.593,4.592,4.594,0.002,,,,0,1.6732,2,1EHVNGS_TR2
2026-04-13,False,5.422,5.423,5.426,0.004,0.3,,,0,9.2245,100,1EHVNGS_TR2;1EHVNGS_TR1;1SJO115_TR1
2026-04-14,False,5.81,5.813,5.814,0.004,,,,0,10.9325,49,1EHVNGS_TR2;1EHVNGS_TR1;5DAAN_4TAB2
2026-04-15,False,6.224,6.233,6.232,0.009,16.9,,,0,6.377,117,1BAUAN_TR1;1EHVNGS_TR2;1EHVNGS_TR1
2026-04-16,False,6.257,6.256,6.262,0.006,0.2,,,4,8.2122,72,1BAUA_1BPP1;1EHVNGS_TR2;3AMAD_3CLA1
2026-04-17,False,5.884,5.885,5.885,0.001,,,,0,5.3438,39,1EHVNGS_TR2;1EHVNGS_TR1;5DAAN_4TAB2
2026-04-18,False,5.154,5.14,5.155,0.015,0.2,,,0,7.5029,17,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-04-19,False,4.788,4.787,4.789,0.002,,,,0,0.5758,10,5DAAN_4TAB2;3AMAD_3CLA1
2026-04-20,False,5.519,5.522,5.522,0.003,0.1,,,0,8.7217,4,1SJO115_TR1;5DAAN_4TAB2
2026-04-21,False,5.726,5.729,5.732,0.006,,,,0,14.4575,2,1EHVNGS_TR2
2026-04-22,False,6.041,6.046,6.044,0.005,194.6,,,0,7.1267,71,1BALI_1KDA2;1BAUA_1BPP1;1BALI_1KDA1
2026-04-23,False,6.279,6.281,6.282,0.003,0.6,,,0,17.9517,116,1MEXI_1HER2;1SJO115_TR1;1EHVNGS_TR2
2026-04-24,False,5.911,5.915,5.914,0.004,60.4,,,0,15.227,112,1MEXI_1HER2;1SJO115_TR1;1EHVNGS_TR2
2026-04-25,False,5.255,5.256,5.26,0.005,17.3,,,0,12.6656,83,1SJO115_TR1;1EHVNGS_TR2;2TAYTAY_TR2
2026-04-26,False,4.839,4.835,4.843,0.008,5.2,,,0,7.9316,40,1SJO115_TR1;1EHVNGS_TR2;3STRO_3CLA1
2026-04-27,False,5.543,5.547,5.548,0.005,1.9,,,0,11.0276,35,1SJO115_TR1;1EHVNGS_TR2;3STRO_3CLA1
2026-04-28,False,5.823,5.824,5.829,0.006,,,,0,15.7771,24,1BAUA_1BPP1;1EHVNGS_TR2;1EHVNGS_TR1
2026-04-29,False,6.169,6.172,6.173,0.004,,3.5,,0,11.7399,0,
2026-04-30,False,6.186,6.187,6.188,0.002,,,,,8.3862,42,1EHVNGS_TR2;1EHVNGS_TR1
2026-05-01,True,7.255,6.435,2.846,4.409,,,,0,,33,1SRAF_1SJO1
2026-05-02,True,5.567,5.561,4.16,1.407,,,,0,19.4492,77,1SRAF_1SJO1
2026-05-03,True,4.167,4.147,2.435,1.732,,,,0,24.9999,103,1SRAF_1SJO1;1PANT_1CBN1;1BAUA_1BPP1
2026-05-04,True,10.251,10.057,7.055,3.196,,,,0,19.5757,30,1BAUA_1LAT1;1BAUA_1LAT2;1SRAF_1SJO1
2026-05-05,True,13.545,13.742,11.208,2.534,,,,0,20.54,43,1EHVNGS_TR2;5DAAN_4TAB2;1BAUA_1LAT2
2026-05-06,True,9.954,11.958,11.191,2.004,,,,0,19.8598,51,1EHVNGS_TR2;1BAUA_1BPP1;1EHVNGS_TR1
2026-05-07,True,7.112,11.113,10.601,4.001,0.3,,,0,20.6649,121,1EHVNGS_TR2;1BAUA_1BPP1;1SJO115_TR1
2026-05-08,True,6.885,9.511,9.345,2.626,,,,0,20.5842,190,1BAUA_1BPP1;1EHVNGS_TR2;1EHVNGS_TR1
2026-05-09,True,5.301,7.195,6.743,1.894,,,,0,19.0451,106,1EHVNGS_TR2;1MEXI_1HER2;1BAUA_1BPP1
2026-05-10,True,3.714,6.353,5.18,2.639,,,0.6,0,20.3632,169,1EHVNGS_TR2;1BAUA_1BPP1;1MEXI_1HER2
2026-05-11,True,9.186,12.577,12.923,3.737,313.7,,,0,21.7307,362,1BAUA_1BPP1;1EHVNGS_TR2;1SJO115_TR1
2026-05-12,True,11.561,15.526,15.745,4.184,4.4,45.9,,6,23.8298,270,1EHVNGS_TR2;1BAUA_1BPP1;1EHVNGS_TR1
2026-05-13,True,10.094,12.188,13.132,3.038,53.4,3.9,,6,23.8138,226,3AMAD_3CLA1;1BAUA_1BPP1;1EHVNGS_TR2
2026-05-14,True,7.599,8.315,11.16,3.561,40.9,11.7,,10,23.0917,149,1BAUA_1BPP1;3AMAD_3CLA1;1EHVNGS_TR2
2026-05-15,True,10.806,11.36,11.93,1.124,82.7,94.6,,11,22.13,163,1BAUA_1BPP1;1EHVNGS_TR2;3AMAD_3CLA1
2026-05-16,True,4.199,11.262,5.85,7.063,12.0,,,5,21.9643,12,1EHVNGS_TR2;1EHVNGS_TR1;2DIMELD_TR1
2026-05-17,True,2.95,10.065,5.142,7.115,,,,0,16.3247,13,1BAUA_1LAT1;1BAUA_1LAT2
2026-05-18,True,4.859,13.257,13.066,8.398,,,,4,24.3166,40,1EHVNGS_TR2;1EHVNGS_TR1
2026-05-19,True,3.917,10.494,10.096,6.577,,,,4,22.7216,34,1EHVNGS_TR2;1EHVNGS_TR1
2026-05-20,True,5.707,16.166,15.086,10.459,,58.4,,5,22.7739,57,1EHVNGS_TR2;1EHVNGS_TR1;1BAUA_1BPP1
2026-05-21,True,8.339,16.238,17.281,8.942,9.1,355.8,,6,22.7092,129,1EHVNGS_TR2;1BAUA_1BPP1;1EHVNGS_TR1
2026-05-22,True,12.623,17.042,17.369,4.746,12.4,32.1,,4,22.7273,233,1EHVNGS_TR2;1EHVNGS_TR1;1BAUA_1BPP1
2026-05-23,True,6.344,13.264,10.142,6.92,6.2,2.6,,3,23.2219,168,1EHVNGS_TR2;1SJO115_TR1;1BAUA_1BPP1
2026-05-24,True,4.379,6.89,5.532,2.511,5.2,1.3,,0,21.3796,120,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-05-25,True,5.695,16.874,14.487,11.179,6.1,15.8,,5,21.5635,94,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-05-26,True,9.388,17.797,16.394,8.409,12.1,,,5,22.8007,147,1EHVNGS_TR2;1EHVNGS_TR1;1SJO115_TR1
2026-05-27,True,7.335,11.515,6.116,5.399,2.2,,,4,19.4563,65,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-05-28,True,14.162,15.586,15.53,1.424,3.9,168.5,,6,21.4798,140,1EHVNGS_TR2;1EHVNGS_TR1;1SJO115_TR1
2026-05-29,True,15.237,18.717,15.397,3.48,0.7,156.2,,5,21.5074,110,1EHVNGS_TR2;1BAUA_1BPP1;1EHVNGS_TR1
2026-05-30,True,5.839,7.291,5.757,1.534,9.2,,,4,22.8549,93,1SJO115_TR1;1EHVNGS_TR2;1EHVNGS_TR1
2026-05-31,True,3.783,7.392,4.445,3.609,,,,4,19.6144,56,1EHVNGS_TR2;11VILL_11JAS2;1EHVNGS_TR1
2026-06-01,True,6.095,15.269,8.874,9.174,,31.5,,5,21.0695,19,1EHVNGS_TR2;5DAAN_4TAB2;5DAAN_4TAB1
2026-06-02,True,4.134,11.681,6.817,7.547,,,,4,23.5468,50,1EHVNGS_TR2;1EHVNGS_TR1
2026-06-03,True,3.613,11.96,6.408,8.347,,35.7,,4,21.7237,9,1EHVNGS_TR2;5DAAN_4TAB2
2026-06-04,True,4.636,14.633,4.555,10.078,,11.9,,2,20.0151,0,
2026-06-05,True,4.097,14.717,9.072,10.62,,0.4,,4,23.1583,0,
2026-06-06,True,3.247,11.451,10.395,8.204,,,,3,19.5526,2,3DASMA_TR1;1EHVNGS_TR2
2026-06-07,True,3.647,9.803,6.983,6.156,,0.6,,3,18.3187,23,5DAAN_4TAB1;3AMAD_3CLA1
2026-06-08,True,5.942,20.494,21.664,15.722,,,,7,23.0755,2,5DAAN_4TAB2
2026-06-09,True,7.699,18.874,21.286,13.587,,,105.0,6,22.7975,27,1EHVNGS_TR2;1EHVNGS_TR1
2026-06-10,True,11.689,19.904,20.619,8.93,6.9,46.5,120.9,10,22.6113,155,1EHVNGS_TR2;1SJO115_TR1;1BAUA_1LAT1
2026-06-11,True,6.158,17.948,17.823,11.79,2.9,8.8,,5,21.8509,55,1EHVNGS_TR2;1BAUA_1LAT2;1EHVNGS_TR1
2026-06-12,True,6.89,10.321,10.416,3.526,0.0,1.9,,5,21.2136,94,1EHVNGS_TR2;3BINA_3DAS2;3BINA_3DAS1
2026-06-13,True,5.162,9.519,5.623,4.357,,1.0,4.8,6,24.402,125,3BINA_3DAS2;3BINA_3DAS1;1EHVNGS_TR2
2026-06-14,True,3.624,11.529,9.492,7.905,,,,3,22.3797,3,5DAAN_4TAB2
2026-06-15,True,7.419,18.232,18.031,10.813,,19.8,,5,22.2444,22,2SUCA_3BIN3;1BAUA_1LAT2;1EHVNGS_TR2
2026-06-16,True,8.471,18.503,20.828,12.357,,158.7,2.5,5,21.8619,35,1EHVNGS_TR2;1EHVNGS_TR1
2026-06-17,True,13.664,19.256,20.425,6.761,3.7,164.0,2.4,5,23.8535,121,1EHVNGS_TR2;2QUEZ_2ARA1;1TGERAO_TR3
2026-06-18,True,9.777,14.364,11.112,4.587,,113.0,51.1,6,22.2013,63,1EHVNGS_TR2;1EHVNGS_TR1;11JASA_12BUT1
2026-06-19,True,10.67,14.694,14.261,4.024,2.9,156.4,,4,23.5298,107,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-06-20,True,11.661,11.661,12.315,0.654,12.3,221.1,0.6,3,23.3785,138,1EHVNGS_TR2;1SJO115_TR1;1EHVNGS_TR1
2026-06-21,True,7.276,12.307,12.595,5.319,10.1,,,0,19.4862,124,1BAUA_1LAT1;1EHVNGS_TR2;1SJO115_TR1
2026-06-22,True,11.951,21.679,22.75,10.799,3.3,15.3,80.2,5,22.1469,70,1SJO115_TR1;1EHVNGS_TR2;1EHVNGS_TR1
2026-06-23,True,12.16,13.619,13.556,1.459,,100.6,56.6,7,24.0661,148,1BAUA_1LAT2;1BAUA_1LAT1;1EHVNGS_TR2
2026-06-24,True,10.2,10.275,9.818,0.457,,37.4,16.2,5,23.9138,209,1BAUA_1LAT1;1BAUA_1LAT2
2026-06-25,True,10.848,17.383,16.002,6.535,,514.6,0.5,6,23.5911,254,1BAUA_1LAT2;1BAUA_1LAT1
